"Fecha","Valor"
"30-09-2009",46.22
"31-10-2009",30.64
"30-11-2009",32.97
"31-12-2009",77.75
"31-01-2010",71.77
"28-02-2010",46.17
"31-03-2010",146.75
"30-04-2010",81.04
"31-05-2010",88.2
"30-06-2010",66.82
"31-07-2010",31.13
"31-08-2010",42.54
"30-09-2010",8.98
"31-10-2010",20.22
"30-11-2010",8.77
"31-12-2010",114.35
"31-01-2011",61.65
"28-02-2011",138.34
"31-03-2011",87.05
"30-04-2011",72.08
"31-05-2011",32.93
"30-06-2011",18.05
"31-07-2011",23.13
"31-08-2011",13.03
"30-09-2011",10.43
"31-10-2011",7.33
"30-11-2011",26.91
"31-12-2011",157.82
"31-01-2012",96.9
"29-02-2012",81.89
"31-03-2012",125.37
"30-04-2012",126.97
"31-05-2012",57.97
"30-06-2012",51.85
"31-07-2012",16.88
"31-08-2012",38.42
"30-09-2012",49.88
"31-10-2012",32.36
"30-11-2012",44.3
"31-12-2012",80.24
"31-01-2013",85.72
"28-02-2013",93.06
"31-03-2013",176.59
"30-04-2013",136.41
"31-05-2013",135.85
"30-06-2013",72.3
"31-07-2013",43.96
"31-08-2013",45.92
"30-09-2013",21.25
"31-10-2013",21.46
"30-11-2013",43.05
"31-12-2013",66.33
"31-01-2014",91.55
"28-02-2014",90.2
"31-03-2014",111.21
"30-04-2014",87.94
"31-05-2014",89.85
"30-06-2014",68.54
"31-07-2014",33.78
"31-08-2014",69.24
"30-09-2014",56.54
"31-10-2014",77.24
"30-11-2014",64.52
"31-12-2014",111.04
"31-01-2015",82.87
"28-02-2015",114.74
"31-03-2015",53.33
"30-04-2015",89.96
"31-05-2015",142.62
"30-06-2015",90.98
"31-07-2015",80.06
"31-08-2015",34.17
"30-09-2015",38.96
"31-10-2015",34.87
"30-11-2015",46.43
"31-12-2015",41.79
"31-01-2016",79.69
"29-02-2016",79.07
"31-03-2016",110.04
"30-04-2016",82.87
"31-05-2016",93.77
"30-06-2016",74.07
"31-07-2016",29.12
"31-08-2016",53.69
"30-09-2016",48.59
"31-10-2016",21.84
"30-11-2016",48.05
"31-12-2016",95.93
"31-01-2017",79.44
"28-02-2017",96.64
"31-03-2017",121.01
"30-04-2017",104
"31-05-2017",95.56
"30-06-2017",64.2
"31-07-2017",58.97
"31-08-2017",65.58
"30-09-2017",22.42
"31-10-2017",19.75
"30-11-2017",36.51
"31-12-2017",60.92
"31-01-2018",83.45
"28-02-2018",68.45
"31-03-2018",97.44
"30-04-2018",68.99
"31-05-2018",64.66
"30-06-2018",27.07
"31-07-2018",38.16
"31-08-2018",39.97
"30-09-2018",42.7
"31-10-2018",14.26
"30-11-2018",26.35
"31-12-2018",61.39
"31-01-2019",34.5
"28-02-2019",44.64
"31-03-2019",92.05
"30-04-2019",71.52
"31-05-2019",55.78
"30-06-2019",60.31
"31-07-2019",46.68
"31-08-2019",65.64
"30-09-2019",45.41
"31-10-2019",63.88
"30-11-2019",40.85
"31-12-2019",73.33
"31-01-2020",60.85
"29-02-2020",58.43
"31-03-2020",81.12
"30-04-2020",87.78
"31-05-2020",76.29
"30-06-2020",30.79
"31-07-2020",27.44
"31-08-2020",24.55
"30-09-2020",23.26
"31-10-2020",24.85
"30-11-2020",7.94
"31-12-2020",73.55
"31-01-2021",84.1
"28-02-2021",63.37
"31-03-2021",83.32
"30-04-2021",35.07
"31-05-2021",50.76
"30-06-2021",25.87
"31-07-2021",30.71
"31-08-2021",28.5
"30-09-2021",16.35
"31-10-2021",13.59
"30-11-2021",15.04
"31-12-2021",61.27
"31-01-2022",88.85
"28-02-2022",73.66
"31-03-2022",97.15
"30-04-2022",93.92
"31-05-2022",89.11
"30-06-2022",42.85
"31-07-2022",59.54
"31-08-2022",33.85
"30-09-2022",44.37
"31-10-2022",26.87
"30-11-2022",39.9
"31-12-2022",98.21
"31-01-2023",94.15
"28-02-2023",98.41
"31-03-2023",71.41
"30-04-2023",61.28
"31-05-2023",68.5
"30-06-2023",42.48
"31-07-2023",45.84
"31-08-2023",27.33
"30-09-2023",22.42
"31-10-2023",16.22
"30-11-2023",16.61
"31-12-2023",30.91
"31-01-2024",53
"29-02-2024",50.43
"31-03-2024",98.79
"30-04-2024",88.51
"31-05-2024",53.69
"30-06-2024",90.46
"31-07-2024",40.01
"31-08-2024",56.09
"30-09-2024",32.9
