"Fecha","Valor"
"30-09-2009",36.3
"31-10-2009",37.14
"30-11-2009",23.5
"31-12-2009",23.75
"31-01-2010",32.22
"28-02-2010",25.57
"31-03-2010",32.9
"30-04-2010",35.98
"31-05-2010",28.22
"30-06-2010",22.24
"31-07-2010",28.98
"31-08-2010",29.25
"30-09-2010",36.01
"31-10-2010",31.08
"30-11-2010",26.58
"31-12-2010",24.23
"31-01-2011",26.44
"28-02-2011",32.03
"31-03-2011",42.41
"30-04-2011",41.21
"31-05-2011",43.13
"30-06-2011",42.78
"31-07-2011",35.04
"31-08-2011",45.51
"30-09-2011",52.61
"31-10-2011",40.51
"30-11-2011",37.86
"31-12-2011",35.79
"31-01-2012",32.18
"29-02-2012",32.33
"31-03-2012",48.22
"30-04-2012",39.43
"31-05-2012",43.85
"30-06-2012",42.06
"31-07-2012",41.02
"31-08-2012",48.88
"30-09-2012",48.89
"31-10-2012",47.31
"30-11-2012",40.8
"31-12-2012",35.31
"31-01-2013",44.45
"28-02-2013",45.91
"31-03-2013",53.65
"30-04-2013",50.61
"31-05-2013",51.54
"30-06-2013",37.72
"31-07-2013",42.17
"31-08-2013",55.58
"30-09-2013",54.21
"31-10-2013",63.57
"30-11-2013",49.52
"31-12-2013",45.79
"31-01-2014",43.91
"28-02-2014",46.38
"31-03-2014",60.86
"30-04-2014",61.94
"31-05-2014",54.34
"30-06-2014",40.96
"31-07-2014",52.27
"31-08-2014",59.18
"30-09-2014",66.96
"31-10-2014",67.57
"30-11-2014",49.86
"31-12-2014",47.59
"31-01-2015",46.98
"28-02-2015",53.18
"31-03-2015",70.93
"30-04-2015",62.38
"31-05-2015",61.18
"30-06-2015",51.04
"31-07-2015",58.51
"31-08-2015",64.34
"30-09-2015",76.88
"31-10-2015",69.73
"30-11-2015",51.59
"31-12-2015",48.37
"31-01-2016",49.76
"29-02-2016",51.83
"31-03-2016",63.35
"30-04-2016",62.83
"31-05-2016",56.13
"30-06-2016",52.07
"31-07-2016",51.31
"31-08-2016",73.67
"30-09-2016",70.44
"31-10-2016",60.08
"30-11-2016",60.02
"31-12-2016",51.1
"31-01-2017",61.09
"28-02-2017",61.41
"31-03-2017",73.23
"30-04-2017",61.63
"31-05-2017",65.76
"30-06-2017",58.64
"31-07-2017",67.37
"31-08-2017",75.45
"30-09-2017",69.12
"31-10-2017",73.15
"30-11-2017",64.77
"31-12-2017",49.96
"31-01-2018",52.34
"28-02-2018",62.5
"31-03-2018",73.51
"30-04-2018",65.4
"31-05-2018",70.76
"30-06-2018",59.94
"31-07-2018",65.84
"31-08-2018",81.12
"30-09-2018",78.77
"31-10-2018",75.16
"30-11-2018",62.27
"31-12-2018",56.35
"31-01-2019",67.34
"28-02-2019",63.24
"31-03-2019",85.39
"30-04-2019",66.45
"31-05-2019",65.61
"30-06-2019",59.04
"31-07-2019",73.71
"31-08-2019",77.83
"30-09-2019",75.23
"31-10-2019",79.15
"30-11-2019",58.75
"31-12-2019",60.2
"31-01-2020",64.91
"29-02-2020",73.08
"31-03-2020",82.96
"30-04-2020",66.94
"31-05-2020",64.12
"30-06-2020",61.64
"31-07-2020",72.81
"31-08-2020",72.81
"30-09-2020",78.03
"31-10-2020",66.85
"30-11-2020",55.23
"31-12-2020",53.68
"31-01-2021",64.35
"28-02-2021",64.09
"31-03-2021",81.49
"30-04-2021",63.49
"31-05-2021",58.27
"30-06-2021",64.02
"31-07-2021",68.68
"31-08-2021",82.15
"30-09-2021",85.79
"31-10-2021",79.66
"30-11-2021",67.49
"31-12-2021",62.85
"31-01-2022",68.34
"28-02-2022",74.11
"31-03-2022",82.58
"30-04-2022",81.9
"31-05-2022",75.72
"30-06-2022",72.7
"31-07-2022",71.71
"31-08-2022",93.16
"30-09-2022",88.95
"31-10-2022",84.29
"30-11-2022",82.51
"31-12-2022",64.38
"31-01-2023",75.26
"28-02-2023",79.99
"31-03-2023",98.89
"30-04-2023",84.75
"31-05-2023",89.18
"30-06-2023",74.78
"31-07-2023",79.66
"31-08-2023",89.76
"30-09-2023",95.28
"31-10-2023",84.7
"30-11-2023",73.86
"31-12-2023",64.67
"31-01-2024",75.49
"29-02-2024",68.22
"31-03-2024",79.63
"30-04-2024",93.03
"31-05-2024",78.51
"30-06-2024",72.52
"31-07-2024",80.76
"31-08-2024",86.8
"30-09-2024",91.56
