"Fecha","Valor"
"30-09-2009",23.76
"31-10-2009",17.26
"30-11-2009",13.05
"31-12-2009",32.29
"31-01-2010",57.34
"28-02-2010",73.95
"31-03-2010",93.07
"30-04-2010",84.07
"31-05-2010",87.24
"30-06-2010",75.79
"31-07-2010",65.04
"31-08-2010",49.16
"30-09-2010",41.59
"31-10-2010",17.47
"30-11-2010",21.22
"31-12-2010",47.94
"31-01-2011",75.23
"28-02-2011",111.17
"31-03-2011",147.75
"30-04-2011",146.74
"31-05-2011",159.83
"30-06-2011",140.81
"31-07-2011",97.41
"31-08-2011",82
"30-09-2011",90.98
"31-10-2011",38.66
"30-11-2011",27.99
"31-12-2011",55.62
"31-01-2012",70.12
"29-02-2012",112.85
"31-03-2012",127.12
"30-04-2012",98.13
"31-05-2012",104.81
"30-06-2012",100.8
"31-07-2012",98.87
"31-08-2012",82.61
"30-09-2012",68.03
"31-10-2012",35.75
"30-11-2012",26.31
"31-12-2012",32.7
"31-01-2013",47.55
"28-02-2013",67.11
"31-03-2013",75.76
"30-04-2013",94.34
"31-05-2013",95.08
"30-06-2013",90.93
"31-07-2013",80.58
"31-08-2013",66.72
"30-09-2013",42.44
"31-10-2013",16.68
"30-11-2013",13.16
"31-12-2013",24.18
"31-01-2014",43.67
"28-02-2014",55.11
"31-03-2014",84.68
"30-04-2014",82.38
"31-05-2014",94.3
"30-06-2014",78.93
"31-07-2014",67.11
"31-08-2014",69.36
"30-09-2014",41.26
"31-10-2014",12.97
"30-11-2014",15.38
"31-12-2014",23.07
"31-01-2015",54.16
"28-02-2015",60.59
"31-03-2015",83.06
"30-04-2015",85.6
"31-05-2015",91.87
"30-06-2015",80.1
"31-07-2015",71.25
"31-08-2015",57.84
"30-09-2015",29.88
"31-10-2015",11.39
"30-11-2015",11.41
"31-12-2015",25.88
"31-01-2016",43.35
"29-02-2016",60.18
"31-03-2016",68.36
"30-04-2016",91.76
"31-05-2016",75.29
"30-06-2016",79.34
"31-07-2016",79.22
"31-08-2016",60.48
"30-09-2016",40.43
"31-10-2016",12.96
"30-11-2016",12.85
"31-12-2016",24.9
"31-01-2017",44.12
"28-02-2017",68.66
"31-03-2017",92.4
"30-04-2017",93.82
"31-05-2017",94.13
"30-06-2017",95.82
"31-07-2017",85.55
"31-08-2017",67.5
"30-09-2017",47.5
"31-10-2017",20.4
"30-11-2017",14.88
"31-12-2017",23.22
"31-01-2018",45.77
"28-02-2018",61.67
"31-03-2018",83.75
"30-04-2018",89.44
"31-05-2018",99.15
"30-06-2018",94.09
"31-07-2018",69.74
"31-08-2018",57.94
"30-09-2018",31.59
"31-10-2018",13.98
"30-11-2018",9.82
"31-12-2018",23
"31-01-2019",39.31
"28-02-2019",67.15
"31-03-2019",78.58
"30-04-2019",82.12
"31-05-2019",97.5
"30-06-2019",88.78
"31-07-2019",70.51
"31-08-2019",54.45
"30-09-2019",37.38
"31-10-2019",13.92
"30-11-2019",10.76
"31-12-2019",21.94
"31-01-2020",50.68
"29-02-2020",67.05
"31-03-2020",74.31
"30-04-2020",105.6
"31-05-2020",90.9
"30-06-2020",78.94
"31-07-2020",65.3
"31-08-2020",41.95
"30-09-2020",34.68
"31-10-2020",15.67
"30-11-2020",8.15
"31-12-2020",17.34
"31-01-2021",40.44
"28-02-2021",62.15
"31-03-2021",98.93
"30-04-2021",97.24
"31-05-2021",132.16
"30-06-2021",124.74
"31-07-2021",121.23
"31-08-2021",89.63
"30-09-2021",78.78
"31-10-2021",32.54
"30-11-2021",15.33
"31-12-2021",32.79
"31-01-2022",73.24
"28-02-2022",110.22
"31-03-2022",145
"30-04-2022",131.37
"31-05-2022",158.19
"30-06-2022",171.1
"31-07-2022",109.89
"31-08-2022",99.07
"30-09-2022",55.63
"31-10-2022",25.36
"30-11-2022",12.3
"31-12-2022",21.39
"31-01-2023",68.13
"28-02-2023",93.2
"31-03-2023",111.07
"30-04-2023",126.55
"31-05-2023",133.59
"30-06-2023",139.42
"31-07-2023",101.67
"31-08-2023",60.92
"30-09-2023",52.71
"31-10-2023",32.25
"30-11-2023",11.35
"31-12-2023",14.79
"31-01-2024",48.26
"29-02-2024",74.01
"31-03-2024",92.32
"30-04-2024",113.65
"31-05-2024",132.56
"30-06-2024",118.19
"31-07-2024",112.34
"31-08-2024",84
"30-09-2024",60.1
