"Fecha","Valor"
"30-09-2009",0.5
"31-10-2009",24.57
"30-11-2009",35.15
"31-12-2009",25.59
"31-01-2010",30.43
"28-02-2010",19.6
"31-03-2010",20.64
"30-04-2010",22.23
"31-05-2010",30.77
"30-06-2010",20.3
"31-07-2010",19.52
"31-08-2010",3.74
"30-09-2010",5
"31-10-2010",27.1
"30-11-2010",53.33
"31-12-2010",55.43
"31-01-2011",53.99
"28-02-2011",41.82
"31-03-2011",35.56
"30-04-2011",17.92
"31-05-2011",21.41
"30-06-2011",22.57
"31-07-2011",16.69
"31-08-2011",11.75
"30-09-2011",3.39
"31-10-2011",9.66
"30-11-2011",33.27
"31-12-2011",28.87
"31-01-2012",18.78
"29-02-2012",25.05
"31-03-2012",35.39
"30-04-2012",18.94
"31-05-2012",26.04
"30-06-2012",19.58
"31-07-2012",10.71
"31-08-2012",6.77
"30-09-2012",1.53
"31-10-2012",20.03
"30-11-2012",34.08
"31-12-2012",33.44
"31-01-2013",29.25
"28-02-2013",28.19
"31-03-2013",26.86
"30-04-2013",21.43
"31-05-2013",15.89
"30-06-2013",6.82
"31-07-2013",8.84
"31-08-2013",4.9
"30-09-2013",3.02
"31-10-2013",8.2
"30-11-2013",32.82
"31-12-2013",29.31
"31-01-2014",23.41
"28-02-2014",21.65
"31-03-2014",28.76
"30-04-2014",19.07
"31-05-2014",22.23
"30-06-2014",14.92
"31-07-2014",11.37
"31-08-2014",5.67
"30-09-2014",3.54
"31-10-2014",20.27
"30-11-2014",29.53
"31-12-2014",39.39
"31-01-2015",32.77
"28-02-2015",23.22
"31-03-2015",28.66
"30-04-2015",17.05
"31-05-2015",19.25
"30-06-2015",21.09
"31-07-2015",13.81
"31-08-2015",12.05
"30-09-2015",11.67
"31-10-2015",5.03
"30-11-2015",24.5
"31-12-2015",33.95
"31-01-2016",19.44
"29-02-2016",16.98
"31-03-2016",24.22
"30-04-2016",24.66
"31-05-2016",26.84
"30-06-2016",21.02
"31-07-2016",10.91
"31-08-2016",12.19
"30-09-2016",6.03
"31-10-2016",2.13
"30-11-2016",21.27
"31-12-2016",43.3
"31-01-2017",44.78
"28-02-2017",41.79
"31-03-2017",42.56
"30-04-2017",21.74
"31-05-2017",26.96
"30-06-2017",19.83
"31-07-2017",14.31
"31-08-2017",19.84
"30-09-2017",7.62
"31-10-2017",29.75
"30-11-2017",47.97
"31-12-2017",49.44
"31-01-2018",48.27
"28-02-2018",53.24
"31-03-2018",44.86
"30-04-2018",25.61
"31-05-2018",31.03
"30-06-2018",20.87
"31-07-2018",17.81
"31-08-2018",8.42
"30-09-2018",3.01
"31-10-2018",52.03
"30-11-2018",64.89
"31-12-2018",63.36
"31-01-2019",58.26
"28-02-2019",76.08
"31-03-2019",75.58
"30-04-2019",37.22
"31-05-2019",58.67
"30-06-2019",29.04
"31-07-2019",19.37
"31-08-2019",23.49
"30-09-2019",7.16
"31-10-2019",26.93
"30-11-2019",101.07
"31-12-2019",134.05
"31-01-2020",119.15
"29-02-2020",111.37
"31-03-2020",73.32
"30-04-2020",36.64
"31-05-2020",52.74
"30-06-2020",27.31
"31-07-2020",27.27
"31-08-2020",20.87
"30-09-2020",16.89
"31-10-2020",24.81
"30-11-2020",84.35
"31-12-2020",128.82
"31-01-2021",98.98
"28-02-2021",76.85
"31-03-2021",72.24
"30-04-2021",41.46
"31-05-2021",27.39
"30-06-2021",19.08
"31-07-2021",11.19
"31-08-2021",13.64
"30-09-2021",14.78
"31-10-2021",23.92
"30-11-2021",54.2
"31-12-2021",65.64
"31-01-2022",49.67
"28-02-2022",43.7
"31-03-2022",57.99
"30-04-2022",51.43
"31-05-2022",44.15
"30-06-2022",35.4
"31-07-2022",20.34
"31-08-2022",15.08
"30-09-2022",6.63
"31-10-2022",15.41
"30-11-2022",33.69
"31-12-2022",35.29
"31-01-2023",41.38
"28-02-2023",53.18
"31-03-2023",51.11
"30-04-2023",27.18
"31-05-2023",26.27
"30-06-2023",19.73
"31-07-2023",14.22
"31-08-2023",20.59
"30-09-2023",19.53
"31-10-2023",6.35
"30-11-2023",19.25
"31-12-2023",62.07
"31-01-2024",96.02
"29-02-2024",65.81
"31-03-2024",36.01
"30-04-2024",43.44
"31-05-2024",52.67
"30-06-2024",34.14
"31-07-2024",29.9
"31-08-2024",6.63
"30-09-2024",9.8
