"Fecha","Valor"
"30-09-2009",549.87
"31-10-2009",618.19
"30-11-2009",537.71
"31-12-2009",639.82
"31-01-2010",671.14
"28-02-2010",622.22
"31-03-2010",862.18
"30-04-2010",706.93
"31-05-2010",748.34
"30-06-2010",748.34
"31-07-2010",685.55
"31-08-2010",625.81
"30-09-2010",607.76
"31-10-2010",651.81
"30-11-2010",642.66
"31-12-2010",889.77
"31-01-2011",765.16
"28-02-2011",900.98
"31-03-2011",1051.84
"30-04-2011",936.11
"31-05-2011",890.45
"30-06-2011",875.5
"31-07-2011",823.84
"31-08-2011",851.77
"30-09-2011",818.44
"31-10-2011",732.44
"30-11-2011",790
"31-12-2011",964.36
"31-01-2012",744.21
"29-02-2012",859.93
"31-03-2012",1033.58
"30-04-2012",875.21
"31-05-2012",871.46
"30-06-2012",831.42
"31-07-2012",783.52
"31-08-2012",829.87
"30-09-2012",785.15
"31-10-2012",732.54
"30-11-2012",808.24
"31-12-2012",823.57
"31-01-2013",828.17
"28-02-2013",795.92
"31-03-2013",982.17
"30-04-2013",888.8
"31-05-2013",965.01
"30-06-2013",807.95
"31-07-2013",827.72
"31-08-2013",804.03
"30-09-2013",731.5
"31-10-2013",766.76
"30-11-2013",802.33
"31-12-2013",824.42
"31-01-2014",835.38
"28-02-2014",805.68
"31-03-2014",1036.35
"30-04-2014",939.63
"31-05-2014",946.47
"30-06-2014",891.25
"31-07-2014",948.59
"31-08-2014",874
"30-09-2014",883.54
"31-10-2014",883.35
"30-11-2014",839.18
"31-12-2014",920.06
"31-01-2015",879.19
"28-02-2015",885.11
"31-03-2015",1005.05
"30-04-2015",914.63
"31-05-2015",997.8
"30-06-2015",910.42
"31-07-2015",965.16
"31-08-2015",878.33
"30-09-2015",814.61
"31-10-2015",824.98
"30-11-2015",786.36
"31-12-2015",813.13
"31-01-2016",833.77
"29-02-2016",842.29
"31-03-2016",938.75
"30-04-2016",914.16
"31-05-2016",916.81
"30-06-2016",897.56
"31-07-2016",844.62
"31-08-2016",888.51
"30-09-2016",835.56
"31-10-2016",709.05
"30-11-2016",853.77
"31-12-2016",974.46
"31-01-2017",878.99
"28-02-2017",942.01
"31-03-2017",1086.9
"30-04-2017",947.12
"31-05-2017",978.04
"30-06-2017",901.07
"31-07-2017",906.2
"31-08-2017",890.42
"30-09-2017",837.18
"31-10-2017",851.77
"30-11-2017",875.38
"31-12-2017",887.28
"31-01-2018",879.37
"28-02-2018",928.28
"31-03-2018",1065.37
"30-04-2018",943.93
"31-05-2018",956.79
"30-06-2018",906.96
"31-07-2018",898.93
"31-08-2018",935.55
"30-09-2018",837.1
"31-10-2018",858.23
"30-11-2018",859.88
"31-12-2018",899.28
"31-01-2019",855.81
"28-02-2019",894.38
"31-03-2019",1064.53
"30-04-2019",917.03
"31-05-2019",948.29
"30-06-2019",952.92
"31-07-2019",919.05
"31-08-2019",958.32
"30-09-2019",876.93
"31-10-2019",875.82
"30-11-2019",916.76
"31-12-2019",990.51
"31-01-2020",1009.73
"29-02-2020",1031.9
"31-03-2020",1003.62
"30-04-2020",827
"31-05-2020",882.22
"30-06-2020",763.32
"31-07-2020",909.5
"31-08-2020",898.3
"30-09-2020",894.14
"31-10-2020",912.87
"30-11-2020",884.31
"31-12-2020",1084.27
"31-01-2021",1004.01
"28-02-2021",1031.07
"31-03-2021",1250.55
"30-04-2021",1049.82
"31-05-2021",1087.91
"30-06-2021",1136.03
"31-07-2021",1196.57
"31-08-2021",1133.49
"30-09-2021",1188.39
"31-10-2021",1119.64
"30-11-2021",1111.83
"31-12-2021",1310.5
"31-01-2022",1212.46
"28-02-2022",1282.23
"31-03-2022",1554.18
"30-04-2022",1309.39
"31-05-2022",1395
"30-06-2022",1427.87
"31-07-2022",1406.82
"31-08-2022",1286.39
"30-09-2022",1194.48
"31-10-2022",1164.59
"30-11-2022",1150.28
"31-12-2022",1270.53
"31-01-2023",1156.31
"28-02-2023",1255.26
"31-03-2023",1457.42
"30-04-2023",1222.53
"31-05-2023",1225.41
"30-06-2023",1223.14
"31-07-2023",1180.19
"31-08-2023",1114.24
"30-09-2023",1137.48
"31-10-2023",1001.13
"30-11-2023",1060.08
"31-12-2023",1152.51
"31-01-2024",1162.03
"29-02-2024",1177.94
"31-03-2024",1285.05
"30-04-2024",1216.21
"31-05-2024",1314.68
"30-06-2024",1272.95
"31-07-2024",1179.24
"31-08-2024",1301.23
"30-09-2024",1123.28
