"Fecha","Valor"
"30-09-2009",15.09
"31-10-2009",28.78
"30-11-2009",17.3
"31-12-2009",16.58
"31-01-2010",33.4
"28-02-2010",0
"31-03-2010",32.02
"30-04-2010",16.13
"31-05-2010",16.78
"30-06-2010",29.7
"31-07-2010",14.06
"31-08-2010",15.73
"30-09-2010",14.29
"31-10-2010",37.12
"30-11-2010",0
"31-12-2010",37.95
"31-01-2011",21.25
"28-02-2011",19.92
"31-03-2011",44.07
"30-04-2011",24.38
"31-05-2011",22.75
"30-06-2011",24.15
"31-07-2011",22.03
"31-08-2011",44.44
"30-09-2011",24.26
"31-10-2011",22.09
"30-11-2011",22.3
"31-12-2011",43.77
"31-01-2012",0
"29-02-2012",22.33
"31-03-2012",49.65
"30-04-2012",28.1
"31-05-2012",27.61
"30-06-2012",22.28
"31-07-2012",19.03
"31-08-2012",22.7
"30-09-2012",25.67
"31-10-2012",0
"30-11-2012",48.98
"31-12-2012",25.33
"31-01-2013",49.66
"28-02-2013",0
"31-03-2013",24.28
"30-04-2013",0
"31-05-2013",47.13
"30-06-2013",0
"31-07-2013",43.8
"31-08-2013",23.29
"30-09-2013",0
"31-10-2013",46.84
"30-11-2013",21.8
"31-12-2013",20.54
"31-01-2014",42.22
"28-02-2014",0
"31-03-2014",22.38
"30-04-2014",22.39
"31-05-2014",21.29
"30-06-2014",22.29
"31-07-2014",48
"31-08-2014",0
"30-09-2014",44.52
"31-10-2014",20.84
"30-11-2014",17.07
"31-12-2014",15.96
"31-01-2015",13.41
"28-02-2015",0
"31-03-2015",19.22
"30-04-2015",0
"31-05-2015",22.98
"30-06-2015",13.66
"31-07-2015",13.55
"31-08-2015",10.6
"30-09-2015",8.82
"31-10-2015",8.71
"30-11-2015",8.62
"31-12-2015",7.31
"31-01-2016",5.87
"29-02-2016",3.67
"31-03-2016",4.89
"30-04-2016",6.19
"31-05-2016",0
"30-06-2016",17.63
"31-07-2016",9.01
"31-08-2016",0
"30-09-2016",8.08
"31-10-2016",8.86
"30-11-2016",10.42
"31-12-2016",9.86
"31-01-2017",0.01
"28-02-2017",21.41
"31-03-2017",11.51
"30-04-2017",0
"31-05-2017",19.49
"30-06-2017",0
"31-07-2017",8.66
"31-08-2017",0
"30-09-2017",21.06
"31-10-2017",10.78
"30-11-2017",13.28
"31-12-2017",12.36
"31-01-2018",15.21
"28-02-2018",14.18
"31-03-2018",0
"30-04-2018",16.14
"31-05-2018",0
"30-06-2018",16.77
"31-07-2018",16.26
"31-08-2018",0
"30-09-2018",18.22
"31-10-2018",16.25
"30-11-2018",0
"31-12-2018",11.89
"31-01-2019",13.45
"28-02-2019",0
"31-03-2019",15.24
"30-04-2019",16.35
"31-05-2019",0
"30-06-2019",14.57
"31-07-2019",0
"31-08-2019",13.19
"30-09-2019",0
"31-10-2019",12.88
"30-11-2019",0
"31-12-2019",15.49
"31-01-2020",11.63
"29-02-2020",0
"31-03-2020",0
"30-04-2020",3.36
"31-05-2020",0
"30-06-2020",0
"31-07-2020",10.8
"31-08-2020",10.44
"30-09-2020",0
"31-10-2020",0
"30-11-2020",12.85
"31-12-2020",0
"31-01-2021",0
"28-02-2021",15.93
"31-03-2021",0
"30-04-2021",0
"31-05-2021",0
"30-06-2021",17.91
"31-07-2021",0
"31-08-2021",0
"30-09-2021",17.38
"31-10-2021",0
"30-11-2021",0
"31-12-2021",17.27
"31-01-2022",0
"28-02-2022",0
"31-03-2022",29.24
"30-04-2022",0
"31-05-2022",0
"30-06-2022",0
"31-07-2022",25.63
"31-08-2022",0
"30-09-2022",0
"31-10-2022",19.25
"30-11-2022",0
"31-12-2022",0
"31-01-2023",0
"28-02-2023",0
"31-03-2023",0
"30-04-2023",18.06
"31-05-2023",0
"30-06-2023",0
"31-07-2023",0
"31-08-2023",0
"30-09-2023",20.89
"31-10-2023",0
"30-11-2023",0
"31-12-2023",0
"31-01-2024",15.72
"29-02-2024",0
"31-03-2024",0
"30-04-2024",0
"31-05-2024",16.79
"30-06-2024",0
"31-07-2024",0
"31-08-2024",19.52
"30-09-2024",0
