"Fecha","Valor"
"30-06-2009",331.8
"30-09-2009",335.3
"31-12-2009",328.8
"31-03-2010",358.5
"30-06-2010",362.8
"30-09-2010",371.2
"31-12-2010",391.6
"31-03-2011",380.1
"30-06-2011",343
"30-09-2011",345.5
"31-12-2011",334.3
"31-03-2012",331.4
"30-06-2012",339.3
"30-09-2012",331.6
"31-12-2012",311.9
"31-03-2013",317.9
"30-06-2013",319.3
"30-09-2013",308.9
"31-12-2013",327.3
"31-03-2014",345.6
"30-06-2014",348.7
"30-09-2014",371.6
"31-12-2014",372
"31-03-2015",358.8
"30-06-2015",353.2
"30-09-2015",350.5
"31-12-2015",353.1
"31-03-2016",342.8
"30-06-2016",350.9
"30-09-2016",362.1
"31-12-2016",385.8
"31-03-2017",397.8
"30-06-2017",402.7
"30-09-2017",407.4
"31-12-2017",383.8
"31-03-2018",378.6
"30-06-2018",380.4
"30-09-2018",358.2
"31-12-2018",344.2
"31-03-2019",367.7
"30-06-2019",366.1
"30-09-2019",367.8
"31-12-2019",363.3
"31-03-2020",349.37
"30-06-2020",337.96
"30-09-2020",360.83
"31-12-2020",364.16
"31-03-2021",398.91
"30-06-2021",427.65
"30-09-2021",429.99
"31-12-2021",461.81
"31-03-2022",493.87
"30-06-2022",504.2
"30-09-2022",546.43
"31-12-2022",617.28
"31-03-2023",459.37
"30-06-2023",432.11
"30-09-2023",420.82
"31-12-2023",457.23
"31-03-2024",451.27
"30-06-2024",421.62
