"Fecha","Valor"
"30-06-2009",378
"30-09-2009",380
"31-12-2009",385.4
"31-03-2010",420.4
"30-06-2010",427.5
"30-09-2010",428.3
"31-12-2010",452.1
"31-03-2011",527.9
"30-06-2011",524.2
"30-09-2011",523.4
"31-12-2011",543.8
"31-03-2012",558.2
"30-06-2012",552.4
"30-09-2012",571
"31-12-2012",582.1
"31-03-2013",588.9
"30-06-2013",594.8
"30-09-2013",604.5
"31-12-2013",614.8
"31-03-2014",626.2
"30-06-2014",649.8
"30-09-2014",657.5
"31-12-2014",685.2
"31-03-2015",726.2
"30-06-2015",814.9
"30-09-2015",842.9
"31-12-2015",866.6
"31-03-2016",909.3
"30-06-2016",962.7
"30-09-2016",1037.1
"31-12-2016",1084.9
"31-03-2017",1145.5
"30-06-2017",1202.7
"30-09-2017",1255.1
"31-12-2017",1303
"31-03-2018",1352.1
"30-06-2018",1393.5
"30-09-2018",1420.9
"31-12-2018",1455.3
"31-03-2019",1490
"30-06-2019",1526.1
"30-09-2019",1571
"31-12-2019",1635.8
"31-03-2020",1669.54
"30-06-2020",1712.12
"30-09-2020",1746.94
"31-12-2020",1768.84
"31-03-2021",1935.65
"30-06-2021",2031.34
"30-09-2021",2156.52
"31-12-2021",2259.25
"31-03-2022",2430.76
"30-06-2022",2531.23
"30-09-2022",2985.16
"31-12-2022",2936.41
"31-03-2023",3099.55
"30-06-2023",3239.96
"30-09-2023",3428.67
"31-12-2023",3618.18
"31-03-2024",3780.78
"30-06-2024",3955.29
