"Fecha","Valor"
"30-06-2009",5846.2
"30-09-2009",5925.7
"31-12-2009",5990.5
"31-03-2010",6124.1
"30-06-2010",6217.1
"30-09-2010",6146
"31-12-2010",6215.3
"31-03-2011",6550.1
"30-06-2011",6837.8
"30-09-2011",7005.2
"31-12-2011",7229.4
"31-03-2012",7236.4
"30-06-2012",7353.9
"30-09-2012",7295.4
"31-12-2012",7270.5
"31-03-2013",7438.1
"30-06-2013",7644.9
"30-09-2013",7966.9
"31-12-2013",8275.2
"31-03-2014",9045.2
"30-06-2014",9131
"30-09-2014",8989.8
"31-12-2014",8911.5
"31-03-2015",9330
"30-06-2015",9517.6
"30-09-2015",9405
"31-12-2015",9593.7
"31-03-2016",10270.2
"30-06-2016",10532.8
"30-09-2016",10674.7
"31-12-2016",10305.2
"31-03-2017",10976.8
"30-06-2017",10466.2
"30-09-2017",10054
"31-12-2017",10410.6
"31-03-2018",10308.84
"30-06-2018",10191.7
"30-09-2018",10355.8
"31-12-2018",10432
"31-03-2019",10427.2
"30-06-2019",10412
"30-09-2019",10528
"31-12-2019",10337.2
"31-03-2020",11170.59
"30-06-2020",11081.64
"30-09-2020",11437.47
"31-12-2020",10950.69
"31-03-2021",11066.87
"30-06-2021",11511.21
"30-09-2021",11204.49
"31-12-2021",13418.5
"31-03-2022",13938.94
"30-06-2022",13931.86
"30-09-2022",13303.34
"31-12-2022",13891.42
"31-03-2023",14305.68
"30-06-2023",15055.43
"30-09-2023",16290.09
"31-12-2023",16972.59
"31-03-2024",17830.06
"30-06-2024",19095.72
