"Fecha","Valor"
"30-06-2009",1059.9
"30-09-2009",1125.9
"31-12-2009",1133.5
"31-03-2010",1155.7
"30-06-2010",1155.9
"30-09-2010",1169.3
"31-12-2010",1151.6
"31-03-2011",1131.7
"30-06-2011",1118.6
"30-09-2011",1094.8
"31-12-2011",773.8
"31-03-2012",775.3
"30-06-2012",1493.8
"30-09-2012",1567.3
"31-12-2012",1569.9
"31-03-2013",2123.7
"30-06-2013",1979.6
"30-09-2013",1696.5
"31-12-2013",2053.4
"31-03-2014",2934.7
"30-06-2014",3036.9
"30-09-2014",3058.7
"31-12-2014",3024.1
"31-03-2015",3077.2
"30-06-2015",3015.9
"30-09-2015",2920.1
"31-12-2015",2725.1
"31-03-2016",2929.1
"30-06-2016",3619.8
"30-09-2016",3745.2
"31-12-2016",3546
"31-03-2017",3554.7
"30-06-2017",4428.1
"30-09-2017",4423.1
"31-12-2017",4416.7
"31-03-2018",4260
"30-06-2018",4132.7
"30-09-2018",4143.6
"31-12-2018",4112.8
"31-03-2019",4069.7
"30-06-2019",5383.12
"30-09-2019",5507.1
"31-12-2019",5201.9
"31-03-2020",4736.48
"30-06-2020",6246.4
"30-09-2020",6478.99
"31-12-2020",5938.81
"31-03-2021",5666.25
"30-06-2021",6543.34
"30-09-2021",6377.92
"31-12-2021",7267.59
"31-03-2022",7719.28
"30-06-2022",5966.27
"30-09-2022",6507.23
"31-12-2022",6773.43
"31-03-2023",6566.23
"30-06-2023",7441.12
"30-09-2023",7378.6
"31-12-2023",8394.14
"31-03-2024",8547.18
"30-06-2024",8515.09
