"Fecha","Valor"
"30-06-2009",11689.4
"30-09-2009",11914.1
"31-12-2009",11913.4
"31-03-2010",12446.5
"30-06-2010",12851.1
"30-09-2010",12600.7
"31-12-2010",13008.8
"31-03-2011",13645.1
"30-06-2011",14083.6
"30-09-2011",14173.2
"31-12-2011",14291.5
"31-03-2012",14262.9
"30-06-2012",15053.3
"30-09-2012",14947.8
"31-12-2012",14854.4
"31-03-2013",15620.8
"30-06-2013",15626
"30-09-2013",15459.9
"31-12-2013",16485.9
"31-03-2014",17123.7
"30-06-2014",17221.9
"30-09-2014",17164.1
"31-12-2014",17298.1
"31-03-2015",18181.3
"30-06-2015",18399.4
"30-09-2015",18130.5
"31-12-2015",18559.8
"31-03-2016",19180.5
"30-06-2016",20538.2
"30-09-2016",21084
"31-12-2016",20931.6
"31-03-2017",21939.8
"30-06-2017",22860.7
"30-09-2017",22980.2
"31-12-2017",23862.2
"31-03-2018",23775.74
"30-06-2018",23940
"30-09-2018",24439.4
"31-12-2018",24982.4
"31-03-2019",25039.4
"30-06-2019",26578.8
"30-09-2019",26977.7
"31-12-2019",27120.2
"31-03-2020",28522.47
"30-06-2020",30118.89
"30-09-2020",31151.78
"31-12-2020",31547.23
"31-03-2021",32096.59
"30-06-2021",32714.37
"30-09-2021",33613.56
"31-12-2021",37074.52
"31-03-2022",37622.22
"30-06-2022",36838.24
"30-09-2022",37257.77
"31-12-2022",37460.18
"31-03-2023",38203.63
"30-06-2023",39883.31
"30-09-2023",40427.54
"31-12-2023",42362.75
"31-03-2024",43163.74
"30-06-2024",44880.28
