"Fecha","Valor"
"30-06-2009",5133.4
"30-09-2009",5273.1
"31-12-2009",5208.7
"31-03-2010",5543.5
"30-06-2010",5843.7
"30-09-2010",5655.2
"31-12-2010",5949.8
"31-03-2011",6187
"30-06-2011",6378.6
"30-09-2011",6299.1
"31-12-2011",6184
"31-03-2012",6136.9
"30-06-2012",6807.7
"30-09-2012",6749.8
"31-12-2012",6689.9
"31-03-2013",7275.9
"30-06-2013",7067
"30-09-2013",6579.6
"31-12-2013",7268.6
"31-03-2014",7106.7
"30-06-2014",7092.4
"30-09-2014",7145.2
"31-12-2014",7329.4
"31-03-2015",7766.3
"30-06-2015",7713.7
"30-09-2015",7532.1
"31-12-2015",7746.4
"31-03-2016",7658.2
"30-06-2016",8691.8
"30-09-2016",9010.1
"31-12-2016",9155.7
"31-03-2017",9419.7
"30-06-2017",10789.1
"30-09-2017",11263.7
"31-12-2017",11764.8
"31-03-2018",11736.2
"30-06-2018",11974.4
"30-09-2018",12304.5
"31-12-2018",12750.9
"31-03-2019",12754.5
"30-06-2019",14274.6
"30-09-2019",14510.9
"31-12-2019",14783.9
"31-03-2020",15332.97
"30-06-2020",16987.16
"30-09-2020",17606.53
"31-12-2020",18463.55
"31-03-2021",18695.16
"30-06-2021",18744.17
"30-09-2021",19822.57
"31-12-2021",20934.96
"31-03-2022",20758.64
"30-06-2022",19870.94
"30-09-2022",20422.84
"31-12-2022",20015.07
"31-03-2023",20339.02
"30-06-2023",21155.81
"30-09-2023",20287.95
"31-12-2023",21314.75
"31-03-2024",21101.63
"30-06-2024",21407.65
