"Fecha","Valor"
"30-06-2009",-2884
"30-09-2009",-2782.3
"31-12-2009",-3156.4
"31-03-2010",-3265.5
"30-06-2010",-3270.1
"30-09-2010",-3646.6
"31-12-2010",-3835.3
"31-03-2011",-3966.7
"30-06-2011",-4478.6
"30-09-2011",-5134.7
"31-12-2011",-5623.2
"31-03-2012",-6458
"30-06-2012",-6737.3
"30-09-2012",-7017.9
"31-12-2012",-7751.9
"31-03-2013",-8003.6
"30-06-2013",-8548.1
"30-09-2013",-9318.1
"31-12-2013",-10080.7
"31-03-2014",-10240.3
"30-06-2014",-10848.5
"30-09-2014",-11570.9
"31-12-2014",-12478.4
"31-03-2015",-11831
"30-06-2015",-12353.8
"30-09-2015",-13088.9
"31-12-2015",-13534.4
"31-03-2016",-13165.3
"30-06-2016",-12790.5
"30-09-2016",-12850.9
"31-12-2016",-13794.1
"31-03-2017",-13211.4
"30-06-2017",-13313.5
"30-09-2017",-13577.9
"31-12-2017",-13543.6
"31-03-2018",-13181.76
"30-06-2018",-13010.6
"30-09-2018",-12532.5
"31-12-2018",-12488.9
"31-03-2019",-11978.3
"30-06-2019",-11571.32
"30-09-2019",-11377.6
"31-12-2019",-11404.8
"31-03-2020",-10285.67
"30-06-2020",-9870.42
"30-09-2020",-8658.01
"31-12-2020",-8251.08
"31-03-2021",-7177.14
"30-06-2021",-7043.61
"30-09-2021",-6691.1
"31-12-2021",-7169.32
"31-03-2022",-7041.98
"30-06-2022",-6065.04
"30-09-2022",-6301.56
"31-12-2022",-6183.16
"31-03-2023",-5293.23
"30-06-2023",-4216.56
"30-09-2023",-3433.96
"31-12-2023",-3513.24
"31-03-2024",-3254.04
"30-06-2024",-2363.79
