"Fecha","Valor"
"31-10-2009",5091.3
"30-11-2009",5111
"31-12-2009",5212.6
"31-01-2010",5526.2
"28-02-2010",5565.5
"31-03-2010",5547.3
"30-04-2010",5601.6
"31-05-2010",5675.6
"30-06-2010",5847.6
"31-07-2010",5732
"31-08-2010",5681.9
"30-09-2010",5659.2
"31-10-2010",5650.5
"30-11-2010",5594.9
"31-12-2010",5953.8
"31-01-2011",5910.1
"28-02-2011",6042.5
"31-03-2011",6191
"30-04-2011",6393.1
"31-05-2011",6421.1
"30-06-2011",6382.5
"31-07-2011",6333.8
"31-08-2011",6398.6
"30-09-2011",6303
"31-10-2011",6574
"30-11-2011",6037.6
"31-12-2011",6187.9
"31-01-2012",6185.7
"29-02-2012",6126.9
"31-03-2012",6140.8
"30-04-2012",6183.3
"31-05-2012",6112.7
"30-06-2012",6811.6
"31-07-2012",6778.1
"31-08-2012",6765.7
"30-09-2012",6753.7
"31-10-2012",6804.2
"30-11-2012",6711.2
"31-12-2012",6693.8
"31-01-2013",6649.7
"28-02-2013",7276.7
"31-03-2013",7279.8
"30-04-2013",7220.8
"31-05-2013",7252.9
"30-06-2013",7070.9
"31-07-2013",6727.1
"31-08-2013",6745.8
"30-09-2013",6583.6
"31-10-2013",6657.8
"30-11-2013",6957.6
"31-12-2013",7272.6
"31-01-2014",7164.6
"28-02-2014",7163.9
"31-03-2014",7110.7
"30-04-2014",7214.9
"31-05-2014",7174.4
"30-06-2014",7096.4
"31-07-2014",7132.7
"31-08-2014",7248.1
"30-09-2014",7149.2
"31-10-2014",7097.5
"30-11-2014",7053.5
"31-12-2014",7333.4
"31-01-2015",7656
"28-02-2015",7625.4
"31-03-2015",7770.3
"30-04-2015",7721.3
"31-05-2015",7649.8
"30-06-2015",7717.7
"31-07-2015",7584.5
"31-08-2015",7572.6
"30-09-2015",7536.1
"31-10-2015",7564.4
"30-11-2015",7421.7
"31-12-2015",7751.2
"31-01-2016",7680.4
"29-02-2016",7711.4
"31-03-2016",7663
"30-04-2016",7752.7
"31-05-2016",8625.8
"30-06-2016",8696.4
"31-07-2016",8861
"31-08-2016",8919.3
"30-09-2016",9014.8
"31-10-2016",9063.2
"30-11-2016",9003.6
"31-12-2016",9160.4
"31-01-2017",9065.2
"28-02-2017",9267.5
"31-03-2017",9424.5
"30-04-2017",9792.7
"31-05-2017",9916
"30-06-2017",10793.9
"31-07-2017",11024.9
"31-08-2017",11277.9
"30-09-2017",11268.4
"31-10-2017",11494.4
"30-11-2017",11572.6
"31-12-2017",11769.5
"31-01-2018",11345.9
"28-02-2018",11475.2
"31-03-2018",11740.8
"30-04-2018",11845.9
"31-05-2018",11849.5
"30-06-2018",11979.2
"31-07-2018",12127.1
"31-08-2018",12535.8
"30-09-2018",12309.2
"31-10-2018",12357.4
"30-11-2018",12472.7
"31-12-2018",12755.6
"31-01-2019",12452.4
"28-02-2019",12557.2
"31-03-2019",12759.2
"30-04-2019",12845.9
"31-05-2019",14070.1
"30-06-2019",14279.8
"31-07-2019",14386.4
"31-08-2019",14700.1
"30-09-2019",14516
"31-10-2019",14631
"30-11-2019",14604.1
"31-12-2019",14789
"31-01-2020",14895.4
"29-02-2020",15203.2
"31-03-2020",15337.7
"30-04-2020",16549.4
"31-05-2020",16708.1
"30-06-2020",16991.8
"31-07-2020",17398.1
"31-08-2020",17623
"30-09-2020",17611.2
"31-10-2020",18314.8
"30-11-2020",18249.4
"31-12-2020",18468.2
"31-01-2021",18253.3
"28-02-2021",18374.4
"31-03-2021",18699.8
"30-04-2021",18812.2
"31-05-2021",18929.7
"30-06-2021",18748.8
"31-07-2021",19167.1
"31-08-2021",19810.4
"30-09-2021",19827.2
"31-10-2021",20663.2
"30-11-2021",20701.8
"31-12-2021",20939.6
"31-01-2022",20813.4
"28-02-2022",20835.9
"31-03-2022",20763.5
"30-04-2022",20843.7
"31-05-2022",20986.7
"30-06-2022",19875.6
"31-07-2022",20808.2
"31-08-2022",21106.3
"30-09-2022",20427.5
"31-10-2022",20138
"30-11-2022",20398.8
"31-12-2022",20019.8
"31-01-2023",20139.4
"28-02-2023",20047.1
"31-03-2023",20343.7
"30-04-2023",20173.6
"31-05-2023",20044
"30-06-2023",21160.5
"31-07-2023",20969.8
"31-08-2023",20661.8
"30-09-2023",20292.6
"31-10-2023",21067.4
"30-11-2023",21038.5
"31-12-2023",21319.4
"31-01-2024",21227.3
"29-02-2024",20714.7
"31-03-2024",21106.3
"30-04-2024",21222.7
"31-05-2024",21671.3
"30-06-2024",21412.4
"31-07-2024",22139.3
"31-08-2024",23993.2
"30-09-2024",24233.1
"31-10-2024",24216.4
