"Fecha","Valor"
"30-09-2009",4764.5
"31-10-2009",4752.1
"30-11-2009",4804.04
"31-12-2009",4927.62
"31-01-2010",5257.87
"28-02-2010",5240.21
"31-03-2010",5228.29
"30-04-2010",5287.92
"31-05-2010",5275.03
"30-06-2010",5419.78
"31-07-2010",5423.6
"31-08-2010",5405.83
"30-09-2010",5412.36
"31-10-2010",5438.06
"30-11-2010",5445.4
"31-12-2010",5562
"31-01-2011",5548.76
"28-02-2011",5539.68
"31-03-2011",5522.45
"30-04-2011",5518.8
"31-05-2011",5537.6
"30-06-2011",5530.85
"31-07-2011",5522.8
"31-08-2011",5498.4
"30-09-2011",5475.1
"31-10-2011",5736.94
"30-11-2011",5402.6
"31-12-2011",5604.92
"31-01-2012",5587.88
"29-02-2012",5551.62
"31-03-2012",5527.99
"30-04-2012",5516.21
"31-05-2012",5516.42
"30-06-2012",6238.35
"31-07-2012",6213.25
"31-08-2012",6252.05
"30-09-2012",6247.12
"31-10-2012",6297.68
"30-11-2012",6281.1
"31-12-2012",6304.9
"31-01-2013",6264.98
"28-02-2013",6934.4
"31-03-2013",6908.3
"30-04-2013",6953.5
"31-05-2013",6937.8
"30-06-2013",6973.68
"31-07-2013",6650.9
"31-08-2013",6639.77
"30-09-2013",6620.5
"31-10-2013",6623.4
"30-11-2013",6807.41
"31-12-2013",7070.23
"31-01-2014",7045.47
"28-02-2014",7023.7
"31-03-2014",7028.1
"30-04-2014",7026.55
"31-05-2014",7016.3
"30-06-2014",7029.08
"31-07-2014",7001.63
"31-08-2014",7011.66
"30-09-2014",6985.08
"31-10-2014",6996.5
"30-11-2014",7017.9
"31-12-2014",7039.3
"31-01-2015",7356.32
"28-02-2015",7404.4
"31-03-2015",7382.33
"30-04-2015",7496.05
"31-05-2015",7484.72
"30-06-2015",7485.79
"31-07-2015",7451.64
"31-08-2015",7429.95
"30-09-2015",7403.55
"31-10-2015",7400.3
"30-11-2015",7377.1
"31-12-2015",7489.9
"31-01-2016",7447.45
"29-02-2016",7430.37
"31-03-2016",7410.78
"30-04-2016",7401.01
"31-05-2016",8069.07
"30-06-2016",8064.97
"31-07-2016",8022.7
"31-08-2016",8005.81
"30-09-2016",7996.81
"31-10-2016",7962.48
"30-11-2016",8014.39
"31-12-2016",8015.5
"31-01-2017",7983.97
"28-02-2017",7944.78
"31-03-2017",7906.4
"30-04-2017",7870.29
"31-05-2017",7859.4
"30-06-2017",8344.87
"31-07-2017",8309.74
"31-08-2017",8286.06
"30-09-2017",8243
"31-10-2017",8245.09
"30-11-2017",8233.88
"31-12-2017",8183.24
"31-01-2018",8164.54
"28-02-2018",8158.21
"31-03-2018",8139.69
"30-04-2018",8118.4
"31-05-2018",8102.32
"30-06-2018",8088.04
"31-07-2018",8065.43
"31-08-2018",8305.12
"30-09-2018",8272.86
"31-10-2018",8246.54
"30-11-2018",8228.6
"31-12-2018",8224.65
"31-01-2019",8214.38
"28-02-2019",8166.29
"31-03-2019",8129.39
"30-04-2019",8078.57
"31-05-2019",9263.17
"30-06-2019",9251.46
"31-07-2019",9215.04
"31-08-2019",9177
"30-09-2019",9139.31
"31-10-2019",9125.33
"30-11-2019",9113.67
"31-12-2019",9105.81
"31-01-2020",9105.51
"29-02-2020",9040.42
"31-03-2020",9003.72
"30-04-2020",10477.72
"31-05-2020",10462.27
"30-06-2020",10448.61
"31-07-2020",10423.2
"31-08-2020",10389.4
"30-09-2020",10346.33
"31-10-2020",10416.26
"30-11-2020",10410.41
"31-12-2020",10449.77
"31-01-2021",10411.52
"28-02-2021",10365.87
"31-03-2021",10327.19
"30-04-2021",10308.75
"31-05-2021",10287.19
"30-06-2021",10274.33
"31-07-2021",10249.66
"31-08-2021",10205.96
"30-09-2021",10176.16
"31-10-2021",11118.69
"30-11-2021",11135.26
"31-12-2021",11097.15
"31-01-2022",11069.85
"28-02-2022",11028.74
"31-03-2022",10989.29
"30-04-2022",10925.92
"31-05-2022",10942.74
"30-06-2022",10225.57
"31-07-2022",10728.34
"31-08-2022",11181.5
"30-09-2022",11152.77
"31-10-2022",11093.94
"30-11-2022",11089.06
"31-12-2022",11090.86
"31-01-2023",11107.78
"28-02-2023",11064.8
"31-03-2023",11047.89
"30-04-2023",11009.25
"31-05-2023",10983.93
"30-06-2023",11974.64
"31-07-2023",11977.53
"31-08-2023",11957.06
"30-09-2023",11933.97
"31-10-2023",12446.32
"30-11-2023",12441.39
"31-12-2023",12445.8
"31-01-2024",12394.33
"29-02-2024",12349.62
"31-03-2024",12324.36
"30-04-2024",12261.49
"31-05-2024",12253.74
"30-06-2024",12245.69
"31-07-2024",12198.58
"31-08-2024",13576.45
"30-09-2024",13553.25
