"Fecha","Valor"
"30-09-2009",128.7
"31-10-2009",133.8
"30-11-2009",140.81
"31-12-2009",137.8
"31-01-2010",137.38
"28-02-2010",136.83
"31-03-2010",135.15
"30-04-2010",134.42
"31-05-2010",133.67
"30-06-2010",133.42
"31-07-2010",134.2
"31-08-2010",134.14
"30-09-2010",135.04
"31-10-2010",136.15
"30-11-2010",133.57
"31-12-2010",135.05
"31-01-2011",135.08
"28-02-2011",133.83
"31-03-2011",133.4
"30-04-2011",134.5
"31-05-2011",133.5
"30-06-2011",131.33
"31-07-2011",131.9
"31-08-2011",131.9
"30-09-2011",129.5
"31-10-2011",129.34
"30-11-2011",128.36
"31-12-2011",125.23
"31-01-2012",125.33
"29-02-2012",123.84
"31-03-2012",121.86
"30-04-2012",122.31
"31-05-2012",121.39
"30-06-2012",118.6
"31-07-2012",118.13
"31-08-2012",118.15
"30-09-2012",117.35
"31-10-2012",116.49
"30-11-2012",115
"31-12-2012",111.6
"31-01-2013",109.9
"28-02-2013",109.1
"31-03-2013",107.94
"30-04-2013",107.38
"31-05-2013",105.8
"30-06-2013",103.01
"31-07-2013",102.4
"31-08-2013",102.41
"30-09-2013",102.4
"31-10-2013",102.2
"30-11-2013",100.82
"31-12-2013",97.16
"31-01-2014",96.6
"28-02-2014",96.9
"31-03-2014",96.4
"30-04-2014",96.48
"31-05-2014",95.8
"30-06-2014",92.54
"31-07-2014",91.31
"31-08-2014",90.96
"30-09-2014",89.15
"31-10-2014",88.39
"30-11-2014",87.3
"31-12-2014",83.7
"31-01-2015",82.6
"28-02-2015",82.26
"31-03-2015",81.4
"30-04-2015",81.8
"31-05-2015",80.6
"30-06-2015",77.6
"31-07-2015",76.8
"31-08-2015",77.2
"30-09-2015",77
"31-10-2015",76.82
"30-11-2015",76.1
"31-12-2015",72.8
"31-01-2016",72.05
"29-02-2016",72.9
"31-03-2016",73
"30-04-2016",73.6
"31-05-2016",72.9
"30-06-2016",70.1
"31-07-2016",70.1
"31-08-2016",70
"30-09-2016",69.98
"31-10-2016",69.35
"30-11-2016",67.66
"31-12-2016",64.1
"31-01-2017",64.7
"28-02-2017",64.58
"31-03-2017",64.3
"30-04-2017",64.54
"31-05-2017",64.81
"30-06-2017",61.96
"31-07-2017",61.39
"31-08-2017",61.53
"30-09-2017",60.94
"31-10-2017",60.76
"30-11-2017",60.46
"31-12-2017",58.26
"31-01-2018",57.88
"28-02-2018",57.87
"31-03-2018",58.02
"30-04-2018",57.28
"31-05-2018",56.58
"30-06-2018",55.42
"31-07-2018",53.09
"31-08-2018",53.12
"30-09-2018",52.58
"31-10-2018",52.44
"30-11-2018",52.46
"31-12-2018",49.51
"31-01-2019",49.62
"28-02-2019",49.4
"31-03-2019",49.33
"30-04-2019",48.97
"31-05-2019",49.11
"30-06-2019",46.95
"31-07-2019",46.78
"31-08-2019",45.9
"30-09-2019",45.43
"31-10-2019",45.54
"30-11-2019",45.38
"31-12-2019",42.44
"31-01-2020",43.2
"29-02-2020",42.17
"31-03-2020",42.14
"30-04-2020",41.91
"31-05-2020",41.98
"30-06-2020",38.71
"31-07-2020",39.1
"31-08-2020",39.2
"30-09-2020",38.77
"31-10-2020",38.8
"30-11-2020",38.96
"31-12-2020",35.83
"31-01-2021",35.71
"28-02-2021",35.65
"31-03-2021",35.02
"30-04-2021",35.24
"31-05-2021",35.28
"30-06-2021",31.84
"31-07-2021",31.85
"31-08-2021",31.82
"30-09-2021",31.36
"31-10-2021",31.33
"30-11-2021",31.23
"31-12-2021",27.97
"31-01-2022",27.9
"28-02-2022",27.91
"31-03-2022",27.49
"30-04-2022",27.17
"31-05-2022",27.26
"30-06-2022",24.03
"31-07-2022",23.91
"31-08-2022",23.84
"30-09-2022",23.73
"31-10-2022",23.48
"30-11-2022",23.69
"31-12-2022",21.57
"31-01-2023",22.8
"28-02-2023",21.55
"31-03-2023",21.63
"30-04-2023",21.41
"31-05-2023",21.26
"30-06-2023",21.35
"31-07-2023",19.16
"31-08-2023",19.08
"30-09-2023",18.97
"31-10-2023",18.98
"30-11-2023",18.8
"31-12-2023",16.59
"31-01-2024",16.51
"29-02-2024",16.5
"31-03-2024",16.48
"30-04-2024",16.13
"31-05-2024",16.2
"30-06-2024",15.26
"31-07-2024",13.93
"31-08-2024",14.02
"30-09-2024",14.06
