"Fecha","Valor"
"30-09-2009",3859.73
"31-10-2009",3716.24
"30-11-2009",4036.4
"31-12-2009",3737.73
"31-01-2010",4112.52
"28-02-2010",4130.34
"31-03-2010",4259.96
"30-04-2010",4507.46
"31-05-2010",4672.18
"30-06-2010",4224.17
"31-07-2010",4826.3
"31-08-2010",4408.89
"30-09-2010",4304.57
"31-10-2010",4481.22
"30-11-2010",4621.72
"31-12-2010",4228.99
"31-01-2011",4470.77
"28-02-2011",4367.76
"31-03-2011",4295.61
"30-04-2011",4384.99
"31-05-2011",4446.73
"30-06-2011",4566.58
"31-07-2011",4515.87
"31-08-2011",4494.81
"30-09-2011",4319.12
"31-10-2011",4555.69
"30-11-2011",4342.68
"31-12-2011",4524.9
"31-01-2012",5094.41
"29-02-2012",5273.09
"31-03-2012",5292.54
"30-04-2012",5474.78
"31-05-2012",5476.06
"30-06-2012",5560.3
"31-07-2012",5529.15
"31-08-2012",5573.53
"30-09-2012",5947.28
"31-10-2012",5949.6
"30-11-2012",6248
"31-12-2012",6112.4
"31-01-2013",6282.23
"28-02-2013",6162.29
"31-03-2013",6235.88
"30-04-2013",6174.15
"31-05-2013",6641.86
"30-06-2013",6753.97
"31-07-2013",6880.22
"31-08-2013",7385.53
"30-09-2013",7208.05
"31-10-2013",7643.17
"30-11-2013",7738.96
"31-12-2013",7240.75
"31-01-2014",7827.3
"28-02-2014",7883.17
"31-03-2014",7109.04
"30-04-2014",6663
"31-05-2014",6554.82
"30-06-2014",6501.69
"31-07-2014",6987.42
"31-08-2014",7084.01
"30-09-2014",6962.09
"31-10-2014",7185.66
"30-11-2014",7019.62
"31-12-2014",6460.5
"31-01-2015",7057.44
"28-02-2015",7022.94
"31-03-2015",6181.28
"30-04-2015",6518.99
"31-05-2015",5910.36
"30-06-2015",6049.37
"31-07-2015",6014.03
"31-08-2015",6376.14
"30-09-2015",6507.44
"31-10-2015",6698.5
"30-11-2015",6735.49
"31-12-2015",5918.72
"31-01-2016",6057.2
"29-02-2016",6040.55
"31-03-2016",5865.04
"30-04-2016",6325.85
"31-05-2016",6403.28
"30-06-2016",6525.29
"31-07-2016",6871.78
"31-08-2016",6848.39
"30-09-2016",7217.1
"31-10-2016",7359.47
"30-11-2016",7822.09
"31-12-2016",8061.63
"31-01-2017",8067.54
"28-02-2017",8021.64
"31-03-2017",7890.94
"30-04-2017",8012.53
"31-05-2017",8126.62
"30-06-2017",8204.71
"31-07-2017",8733.11
"31-08-2017",9362.27
"30-09-2017",9400.8
"31-10-2017",9146.49
"30-11-2017",10175.51
"31-12-2017",10728.01
"31-01-2018",10848.3
"28-02-2018",11228.42
"31-03-2018",11503.49
"30-04-2018",12273.37
"31-05-2018",12435.87
"30-06-2018",12925.08
"31-07-2018",13096.34
"31-08-2018",13056.96
"30-09-2018",14025.75
"31-10-2018",14971.74
"30-11-2018",15525.8
"31-12-2018",15486.3
"31-01-2019",15764.84
"28-02-2019",15585.09
"31-03-2019",16025.46
"30-04-2019",16851.2
"31-05-2019",16946.79
"30-06-2019",17853.83
"31-07-2019",18403.83
"31-08-2019",18997.71
"30-09-2019",19179.29
"31-10-2019",19744.19
"30-11-2019",20049.6
"31-12-2019",19339.4
"31-01-2020",20030.52
"29-02-2020",20958.3
"31-03-2020",20200.71
"30-04-2020",20748.91
"31-05-2020",20789.31
"30-06-2020",20353.89
"31-07-2020",20548.57
"31-08-2020",21233.48
"30-09-2020",22407.99
"31-10-2020",23003.45
"30-11-2020",23627.28
"31-12-2020",22651.55
"31-01-2021",22949.55
"28-02-2021",23522.34
"31-03-2021",21811.19
"30-04-2021",21891.1
"31-05-2021",21635.76
"30-06-2021",20948.95
"31-07-2021",20541.6
"31-08-2021",20643.38
"30-09-2021",21520.56
"31-10-2021",21366.66
"30-11-2021",21082.56
"31-12-2021",19223.03
"31-01-2022",20564.53
"28-02-2022",21565.54
"31-03-2022",20974.84
"30-04-2022",21410.13
"31-05-2022",21119.58
"30-06-2022",20144.71
"31-07-2022",20028.46
"31-08-2022",20445.04
"30-09-2022",21445.43
"31-10-2022",21272.35
"30-11-2022",21043.24
"31-12-2022",21024.51
"31-01-2023",22034.76
"28-02-2023",22646.81
"31-03-2023",22153.87
"30-04-2023",22395.94
"31-05-2023",22612.01
"30-06-2023",23171.41
"31-07-2023",23234.7
"31-08-2023",23299.44
"30-09-2023",22765.04
"31-10-2023",22582.55
"30-11-2023",22056.94
"31-12-2023",19572.39
"31-01-2024",19657.35
"29-02-2024",19903.42
"31-03-2024",20340.87
"30-04-2024",20642.05
"31-05-2024",20746.07
"30-06-2024",17144.53
"31-07-2024",17500.85
"31-08-2024",17973.18
"30-09-2024",19203.15
