"Fecha","Valor"
"30-09-2009",30387.69
"31-10-2009",30659.5
"30-11-2009",30629.1
"31-12-2009",30598.2
"31-01-2010",30437.83
"28-02-2010",30401.8
"31-03-2010",30370.8
"30-04-2010",29880.3
"31-05-2010",29695.1
"30-06-2010",32410
"31-07-2010",33832
"31-08-2010",34298.2
"30-09-2010",35098.2
"31-10-2010",35098.2
"30-11-2010",35098.2
"31-12-2010",36769.15
"31-01-2011",36949.8
"28-02-2011",38896
"31-03-2011",39749.9
"30-04-2011",40139.5
"31-05-2011",40307.2
"30-06-2011",41692.1
"31-07-2011",42169.3
"31-08-2011",43102.4
"30-09-2011",44194.1
"31-10-2011",45584.9
"30-11-2011",46302.3
"31-12-2011",45074.6
"31-01-2012",44936.42
"29-02-2012",45814.78
"31-03-2012",46128.76
"30-04-2012",47461.2
"31-05-2012",47489.9
"30-06-2012",47160.42
"31-07-2012",47445.81
"31-08-2012",47588.46
"30-09-2012",47214.5
"31-10-2012",47214.2
"30-11-2012",47183.9
"31-12-2012",47094
"31-01-2013",47992.82
"28-02-2013",49634.31
"31-03-2013",49623.95
"30-04-2013",49619.22
"31-05-2013",49481.19
"30-06-2013",49458.53
"31-07-2013",49429.28
"31-08-2013",49414.04
"30-09-2013",49408.8
"31-10-2013",49408.8
"30-11-2013",49406.8
"31-12-2013",49406.8
"31-01-2014",49041.8
"28-02-2014",51132.1
"31-03-2014",53103.52
"30-04-2014",55790.88
"31-05-2014",56741.06
"30-06-2014",56624.28
"31-07-2014",56149.61
"31-08-2014",55859.61
"30-09-2014",55561.23
"31-10-2014",54920.99
"30-11-2014",54823.29
"31-12-2014",57623.3
"31-01-2015",59864.09
"28-02-2015",59566.58
"31-03-2015",62675.13
"30-04-2015",62650.44
"31-05-2015",62079.74
"30-06-2015",61723.48
"31-07-2015",61348.31
"31-08-2015",61346.11
"30-09-2015",61294.91
"31-10-2015",61294.91
"30-11-2015",61292.91
"31-12-2015",61623.26
"31-01-2016",62824.52
"29-02-2016",63361.88
"31-03-2016",64492.51
"30-04-2016",63932.02
"31-05-2016",63416.92
"30-06-2016",63603.67
"31-07-2016",63695.67
"31-08-2016",64022.86
"30-09-2016",64449.98
"31-10-2016",64308.98
"30-11-2016",65641.84
"31-12-2016",65641.84
"31-01-2017",66112.84
"28-02-2017",66892.09
"31-03-2017",68276.89
"30-04-2017",68185.87
"31-05-2017",69530.83
"30-06-2017",69793.62
"31-07-2017",70183.62
"31-08-2017",70142.15
"30-09-2017",70223.08
"31-10-2017",70522.84
"30-11-2017",71938.41
"31-12-2017",72735.92
"31-01-2018",72728.92
"28-02-2018",74022.41
"31-03-2018",75006.26
"30-04-2018",75766.7
"31-05-2018",76648.77
"30-06-2018",77187.37
"31-07-2018",78086.19
"31-08-2018",79504.5
"30-09-2018",80706.24
"31-10-2018",81611.78
"30-11-2018",82249.34
"31-12-2018",82446.03
"31-01-2019",83233.49
"28-02-2019",84804.46
"31-03-2019",85501.07
"30-04-2019",86620.88
"31-05-2019",87425.37
"30-06-2019",87593.28
"31-07-2019",87920.82
"31-08-2019",87908.68
"30-09-2019",87470.02
"31-10-2019",87210.19
"30-11-2019",87211.3
"31-12-2019",87312.2
"31-01-2020",87165.56
"29-02-2020",88225.76
"31-03-2020",90033.32
"30-04-2020",93482.77
"31-05-2020",93650.85
"30-06-2020",100852.86
"31-07-2020",105591.86
"31-08-2020",105849.29
"30-09-2020",107911.4
"31-10-2020",108426.5
"30-11-2020",108848.9
"31-12-2020",107743.9
"31-01-2021",107605.22
"28-02-2021",107261.94
"31-03-2021",113394.23
"30-04-2021",115141.56
"31-05-2021",115835.61
"30-06-2021",119648.64
"31-07-2021",120486.02
"31-08-2021",120433.55
"30-09-2021",118165.21
"31-10-2021",118947.23
"30-11-2021",118892.77
"31-12-2021",119005.7
"31-01-2022",118984.49
"28-02-2022",118992.47
"31-03-2022",122353.68
"30-04-2022",122530.11
"31-05-2022",123204.39
"30-06-2022",125350.1
"31-07-2022",125297.06
"31-08-2022",127427.39
"30-09-2022",127600.4
"31-10-2022",127603.37
"30-11-2022",127636.96
"31-12-2022",127667.46
"31-01-2023",127368.31
"28-02-2023",126277.93
"31-03-2023",126213.66
"30-04-2023",125322.78
"31-05-2023",125662.5
"30-06-2023",125733.34
"31-07-2023",125740.25
"31-08-2023",125496.09
"30-09-2023",125180.23
"31-10-2023",125164.74
"30-11-2023",125162.71
"31-12-2023",125162.19
"31-01-2024",125153.72
"29-02-2024",125155.85
"31-03-2024",125017.9
"30-04-2024",125004.44
"31-05-2024",124200.36
"30-06-2024",130000.27
"31-07-2024",130524.06
"31-08-2024",130515.95
"30-09-2024",129781.81
