"Fecha","Valor"
"30-09-2009",-52.4
"31-10-2009",-162.4
"30-11-2009",-21.7
"31-12-2009",1532.9
"31-01-2010",2778
"28-02-2010",-151
"31-03-2010",-70.7
"30-04-2010",525.6
"31-05-2010",1.7
"30-06-2010",1110.5
"31-07-2010",-65.8
"31-08-2010",-207.8
"30-09-2010",11.3
"31-10-2010",8.1
"30-11-2010",321
"31-12-2010",848.8
"31-01-2011",-126.42
"28-02-2011",-82.53
"31-03-2011",-129.15
"30-04-2011",-107.82
"31-05-2011",-16.49
"30-06-2011",148
"31-07-2011",-134.89
"31-08-2011",-201.96
"30-09-2011",-82.93
"31-10-2011",1864.63
"30-11-2011",-2473.09
"31-12-2011",1650.76
"31-01-2012",-216.44
"29-02-2012",-193.53
"31-03-2012",-112.55
"30-04-2012",-142.43
"31-05-2012",62.15
"30-06-2012",5689.71
"31-07-2012",-209.81
"31-08-2012",289.61
"30-09-2012",-68.67
"31-10-2012",405.56
"30-11-2012",-38.94
"31-12-2012",278.3
"31-01-2013",-244.62
"28-02-2013",5264.93
"31-03-2013",-205.07
"30-04-2013",468.16
"31-05-2013",-45.15
"30-06-2013",174.65
"31-07-2013",-82.54
"31-08-2013",-2466.84
"30-09-2013",-179.89
"31-10-2013",-4.27
"30-11-2013",1531.22
"31-12-2013",2153.9
"31-01-2014",-199.9
"28-02-2014",-196.06
"31-03-2014",51.68
"30-04-2014",-27.44
"31-05-2014",-93.69
"30-06-2014",-8.34
"31-07-2014",-65.21
"31-08-2014",170.19
"30-09-2014",-107.76
"31-10-2014",129.81
"30-11-2014",-138.45
"31-12-2014",607.77
"31-01-2015",2417.67
"28-02-2015",-262.67
"31-03-2015",582.79
"30-04-2015",842.11
"31-05-2015",-45.9
"30-06-2015",37.39
"31-07-2015",-269.77
"31-08-2015",-170.1
"30-09-2015",-206.26
"31-10-2015",-94.42
"30-11-2015",-46.81
"31-12-2015",853.67
"31-01-2016",-311.46
"29-02-2016",-205.9
"31-03-2016",-195.35
"30-04-2016",-130.02
"31-05-2016",5225.52
"30-06-2016",-89.81
"31-07-2016",-323.55
"31-08-2016",-118.78
"30-09-2016",-92.32
"31-10-2016",-198.93
"30-11-2016",494.03
"31-12-2016",71.28
"31-01-2017",-294.89
"28-02-2017",-278.56
"31-03-2017",-287.38
"30-04-2017",-282.14
"31-05-2017",-100.45
"30-06-2017",3597.52
"31-07-2017",-293.94
"31-08-2017",-179.93
"30-09-2017",-272.67
"31-10-2017",-46.96
"30-11-2017",-35.05
"31-12-2017",-345.84
"31-01-2018",-204.69
"28-02-2018",-51.44
"31-03-2018",-259.06
"30-04-2018",11.25
"31-05-2018",-105.63
"30-06-2018",-78.03
"31-07-2018",-140.2
"31-08-2018",1786.92
"30-09-2018",-219.57
"31-10-2018",-129.85
"30-11-2018",-261.85
"31-12-2018",106.44
"31-01-2019",-201.29
"28-02-2019",-320.44
"31-03-2019",-208.6
"30-04-2019",-343.62
"31-05-2019",9114.44
"30-06-2019",-84.68
"31-07-2019",-282.47
"31-08-2019",-279.2
"30-09-2019",-237.6
"31-10-2019",-355.45
"30-11-2019",59.24
"31-12-2019",52.88
"31-01-2020",-293.21
"29-02-2020",-330.7
"31-03-2020",-155.78
"30-04-2020",11356.95
"31-05-2020",-127.82
"30-06-2020",-83.19
"31-07-2020",-251.77
"31-08-2020",-247.01
"30-09-2020",-316.78
"31-10-2020",532.16
"30-11-2020",-86.48
"31-12-2020",340.92
"31-01-2021",-272.93
"28-02-2021",-332.04
"31-03-2021",-231.85
"30-04-2021",-176.61
"31-05-2021",-162.79
"30-06-2021",-49.8
"31-07-2021",-201.65
"31-08-2021",-328.64
"30-09-2021",-198.8
"31-10-2021",7290.14
"30-11-2021",-95.8
"31-12-2021",-3.3
"31-01-2022",-202.38
"28-02-2022",-317.7
"31-03-2022",-238.01
"30-04-2022",-392.89
"31-05-2022",109.86
"30-06-2022",-5525.77
"31-07-2022",3887.82
"31-08-2022",3539.56
"30-09-2022",-178.84
"31-10-2022",-440.71
"30-11-2022",-115.16
"31-12-2022",-16.04
"31-01-2023",92.07
"28-02-2023",-271.91
"31-03-2023",-170.32
"30-04-2023",-270.35
"31-05-2023",-171.91
"30-06-2023",7775.23
"31-07-2023",19.18
"31-08-2023",-125.71
"30-09-2023",-179.73
"31-10-2023",4017.65
"30-11-2023",-27.33
"31-12-2023",14.02
"31-01-2024",-357.24
"29-02-2024",-339.95
"31-03-2024",-231.42
"30-04-2024",-407.09
"31-05-2024",-69.47
"30-06-2024",-54.95
"31-07-2024",-385.97
"31-08-2024",10641.53
"30-09-2024",-198.83
