"Fecha","Valor"
"30-09-2009",1705.6
"31-10-2009",160.7
"30-11-2009",2508.1
"31-12-2009",298.9
"31-01-2010",-3164.3
"28-02-2010",885.6
"31-03-2010",912.4
"30-04-2010",-1193.8
"31-05-2010",2089.1
"30-06-2010",-633.6
"31-07-2010",769.3
"31-08-2010",1814.4
"30-09-2010",887.5
"31-10-2010",288
"30-11-2010",1291.8
"31-12-2010",1904.2
"31-01-2011",-380.37
"28-02-2011",1161.88
"31-03-2011",-124.85
"30-04-2011",203.93
"31-05-2011",1938.45
"30-06-2011",371.56
"31-07-2011",654.09
"31-08-2011",1473.98
"30-09-2011",956.06
"31-10-2011",-2069.53
"30-11-2011",3107.69
"31-12-2011",2756
"31-01-2012",-479.02
"29-02-2012",416.5
"31-03-2012",-354.51
"30-04-2012",-334.81
"31-05-2012",579.92
"30-06-2012",-5124.2
"31-07-2012",1009.57
"31-08-2012",1548.26
"30-09-2012",1626.73
"31-10-2012",-492.14
"30-11-2012",2881.14
"31-12-2012",2425.34
"31-01-2013",-1145.34
"28-02-2013",-4408.77
"31-03-2013",168.54
"30-04-2013",-142.7
"31-05-2013",944.95
"30-06-2013",1311.3
"31-07-2013",744.06
"31-08-2013",3255.89
"30-09-2013",1002.92
"31-10-2013",-998.23
"30-11-2013",427.14
"31-12-2013",1485.51
"31-01-2014",-1308.66
"28-02-2014",587.1
"31-03-2014",340.84
"30-04-2014",265.54
"31-05-2014",1554.28
"30-06-2014",1472.76
"31-07-2014",206.1
"31-08-2014",1461.67
"30-09-2014",735.11
"31-10-2014",-1834.75
"30-11-2014",1628.95
"31-12-2014",3362.85
"31-01-2015",-3496.6
"28-02-2015",1502.07
"31-03-2015",617.55
"30-04-2015",-673.29
"31-05-2015",1311.91
"30-06-2015",846.36
"31-07-2015",-165.11
"31-08-2015",1502.93
"30-09-2015",847.09
"31-10-2015",-795.38
"30-11-2015",394.1
"31-12-2015",1478.17
"31-01-2016",-1093.56
"29-02-2016",1025.44
"31-03-2016",508.19
"30-04-2016",-975.66
"31-05-2016",-5314.37
"30-06-2016",1040.59
"31-07-2016",20.85
"31-08-2016",961.99
"30-09-2016",1244
"31-10-2016",-259.69
"30-11-2016",1067.68
"31-12-2016",3222.53
"31-01-2017",-964.07
"28-02-2017",838.28
"31-03-2017",-132.94
"30-04-2017",-268.56
"31-05-2017",1326.6
"30-06-2017",-3625.66
"31-07-2017",30.82
"31-08-2017",1230.31
"30-09-2017",1510.58
"31-10-2017",-732.11
"30-11-2017",1231.15
"31-12-2017",5663.82
"31-01-2018",-1461.78
"28-02-2018",638.64
"31-03-2018",84.72
"30-04-2018",-575.12
"31-05-2018",1039.19
"30-06-2018",1571.79
"31-07-2018",26.05
"31-08-2018",-78.27
"30-09-2018",1745.62
"31-10-2018",-444.08
"30-11-2018",2364.1
"31-12-2018",5003.44
"31-01-2019",-853.57
"28-02-2019",1463.53
"31-03-2019",652.81
"30-04-2019",1124.9
"31-05-2019",-8195.74
"30-06-2019",2300.08
"31-07-2019",-68.77
"31-08-2019",2150.22
"30-09-2019",2157.11
"31-10-2019",-206.15
"30-11-2019",1673.98
"31-12-2019",4169.9
"31-01-2020",-1153.18
"29-02-2020",854.75
"31-03-2020",2462.37
"30-04-2020",-12167.77
"31-05-2020",3982.03
"30-06-2020",5037.41
"31-07-2020",1988.88
"31-08-2020",4470.52
"30-09-2020",4402.72
"31-10-2020",-599.37
"30-11-2020",3274.36
"31-12-2020",6573.38
"31-01-2021",-1270.32
"28-02-2021",831.5
"31-03-2021",-417.39
"30-04-2021",776.95
"31-05-2021",1695.52
"30-06-2021",1367.26
"31-07-2021",-329.21
"31-08-2021",1646.24
"30-09-2021",1201.22
"31-10-2021",-10276.56
"30-11-2021",3711.59
"31-12-2021",3598.08
"31-01-2022",-1711.87
"28-02-2022",1699.11
"31-03-2022",-426.42
"30-04-2022",-636.47
"31-05-2022",1853.93
"30-06-2022",7221.74
"31-07-2022",-4842.84
"31-08-2022",-1725.91
"30-09-2022",2228.27
"31-10-2022",-517.67
"30-11-2022",3282.17
"31-12-2022",6027.91
"31-01-2023",-2227.59
"28-02-2023",2811.05
"31-03-2023",-76.71
"30-04-2023",655.59
"31-05-2023",2165.41
"30-06-2023",-5720.59
"31-07-2023",-744.07
"31-08-2023",1665.28
"30-09-2023",1557.89
"31-10-2023",-7084.61
"30-11-2023",2927.13
"31-12-2023",3600.93
"31-01-2024",-1911.07
"29-02-2024",931.06
"31-03-2024",-1329.31
"30-04-2024",-2381.49
"31-05-2024",1222.49
"30-06-2024",3144.14
"31-07-2024",-1279.81
"31-08-2024",-9012.56
"30-09-2024",1581.19
