"Fecha","Valor"
"30-09-2009",1653.2
"31-10-2009",-1.7
"30-11-2009",2486.4
"31-12-2009",1831.8
"31-01-2010",-386.3
"28-02-2010",734.6
"31-03-2010",841.7
"30-04-2010",-668.2
"31-05-2010",2090.8
"30-06-2010",476.9
"31-07-2010",703.5
"31-08-2010",1606.6
"30-09-2010",898.8
"31-10-2010",296.1
"30-11-2010",1612.8
"31-12-2010",2753
"31-01-2011",-506.8
"28-02-2011",1079.35
"31-03-2011",-254
"30-04-2011",96.11
"31-05-2011",1921.96
"30-06-2011",519.56
"31-07-2011",519.2
"31-08-2011",1272.02
"30-09-2011",873.12
"31-10-2011",-204.91
"30-11-2011",634.61
"31-12-2011",4406.76
"31-01-2012",-695.46
"29-02-2012",222.98
"31-03-2012",-467.06
"30-04-2012",-477.24
"31-05-2012",642.07
"30-06-2012",565.52
"31-07-2012",799.77
"31-08-2012",1837.87
"30-09-2012",1558.06
"31-10-2012",-86.59
"30-11-2012",2842.2
"31-12-2012",2703.64
"31-01-2013",-1389.95
"28-02-2013",856.16
"31-03-2013",-36.53
"30-04-2013",325.46
"31-05-2013",899.8
"30-06-2013",1485.96
"31-07-2013",661.52
"31-08-2013",789.05
"30-09-2013",823.03
"31-10-2013",-1002.5
"30-11-2013",1958.36
"31-12-2013",3639.41
"31-01-2014",-1508.56
"28-02-2014",391.04
"31-03-2014",392.52
"30-04-2014",238.1
"31-05-2014",1460.6
"30-06-2014",1464.42
"31-07-2014",140.89
"31-08-2014",1631.86
"30-09-2014",627.36
"31-10-2014",-1704.94
"30-11-2014",1490.5
"31-12-2014",3970.62
"31-01-2015",-1078.93
"28-02-2015",1239.4
"31-03-2015",1200.34
"30-04-2015",168.81
"31-05-2015",1266.02
"30-06-2015",883.75
"31-07-2015",-434.89
"31-08-2015",1332.83
"30-09-2015",640.83
"31-10-2015",-889.81
"30-11-2015",347.3
"31-12-2015",2331.84
"31-01-2016",-1405.01
"29-02-2016",819.54
"31-03-2016",312.84
"30-04-2016",-1105.69
"31-05-2016",-88.85
"30-06-2016",950.79
"31-07-2016",-302.7
"31-08-2016",843.21
"30-09-2016",1151.67
"31-10-2016",-458.62
"30-11-2016",1561.71
"31-12-2016",3293.81
"31-01-2017",-1258.96
"28-02-2017",559.72
"31-03-2017",-420.31
"30-04-2017",-550.71
"31-05-2017",1226.15
"30-06-2017",-28.15
"31-07-2017",-263.12
"31-08-2017",1050.37
"30-09-2017",1237.91
"31-10-2017",-779.07
"30-11-2017",1196.09
"31-12-2017",5317.98
"31-01-2018",-1666.47
"28-02-2018",587.21
"31-03-2018",-174.34
"30-04-2018",-563.86
"31-05-2018",933.56
"30-06-2018",1493.76
"31-07-2018",-114.15
"31-08-2018",1708.64
"30-09-2018",1526.05
"31-10-2018",-573.92
"30-11-2018",2102.25
"31-12-2018",5109.89
"31-01-2019",-1054.86
"28-02-2019",1143.1
"31-03-2019",444.2
"30-04-2019",781.28
"31-05-2019",918.7
"30-06-2019",2215.4
"31-07-2019",-351.24
"31-08-2019",1871.02
"30-09-2019",1919.51
"31-10-2019",-561.6
"30-11-2019",1733.22
"31-12-2019",4222.78
"31-01-2020",-1446.39
"29-02-2020",524.05
"31-03-2020",2306.59
"30-04-2020",-810.82
"31-05-2020",3854.21
"30-06-2020",4954.23
"31-07-2020",1737.11
"31-08-2020",4223.51
"30-09-2020",4085.94
"31-10-2020",-67.21
"30-11-2020",3187.88
"31-12-2020",6914.3
"31-01-2021",-1543.25
"28-02-2021",499.46
"31-03-2021",-649.23
"30-04-2021",600.34
"31-05-2021",1532.72
"30-06-2021",1317.46
"31-07-2021",-530.86
"31-08-2021",1317.6
"30-09-2021",1002.42
"31-10-2021",-2986.42
"30-11-2021",3615.79
"31-12-2021",3594.77
"31-01-2022",-1914.25
"28-02-2022",1381.41
"31-03-2022",-664.43
"30-04-2022",-1029.36
"31-05-2022",1963.78
"30-06-2022",1695.96
"31-07-2022",-955.02
"31-08-2022",1813.65
"30-09-2022",2049.43
"31-10-2022",-958.38
"30-11-2022",3167.01
"31-12-2022",6011.87
"31-01-2023",-2135.52
"28-02-2023",2539.14
"31-03-2023",-247.03
"30-04-2023",385.24
"31-05-2023",1993.5
"30-06-2023",2054.65
"31-07-2023",-724.89
"31-08-2023",1539.57
"30-09-2023",1378.15
"31-10-2023",-3066.96
"30-11-2023",2899.79
"31-12-2023",3614.95
"31-01-2024",-2268.31
"29-02-2024",591.1
"31-03-2024",-1560.73
"30-04-2024",-2788.59
"31-05-2024",1153.01
"30-06-2024",3089.19
"31-07-2024",-1665.79
"31-08-2024",1628.97
"30-09-2024",1382.35
