"Fecha","Valor"
"31-10-2009",29.2
"30-11-2009",10.7
"31-12-2009",135.6
"31-01-2010",3.4
"28-02-2010",8.9
"31-03-2010",81.2
"30-04-2010",65.8
"31-05-2010",5.6
"30-06-2010",74.2
"31-07-2010",38.9
"31-08-2010",4.2
"30-09-2010",17.3
"31-10-2010",35.6
"30-11-2010",68.9
"31-12-2010",13.5
"31-01-2011",1.41
"28-02-2011",0.65
"31-03-2011",79.67
"30-04-2011",6.63
"31-05-2011",72.78
"30-06-2011",84.66
"31-07-2011",49.24
"31-08-2011",14.96
"30-09-2011",18.92
"31-10-2011",126.35
"30-11-2011",98.02
"31-12-2011",18.03
"31-01-2012",18
"29-02-2012",0.34
"31-03-2012",4.01
"30-04-2012",3.69
"31-05-2012",1.92
"30-06-2012",38.21
"31-07-2012",11.53
"31-08-2012",108.49
"30-09-2012",62.75
"31-10-2012",37.28
"30-11-2012",23.05
"31-12-2012",97.72
"31-01-2013",0
"28-02-2013",14.42
"31-03-2013",1.37
"30-04-2013",78.89
"31-05-2013",5.12
"30-06-2013",34.37
"31-07-2013",1.34
"31-08-2013",12.62
"30-09-2013",2.19
"31-10-2013",45.25
"30-11-2013",50.14
"31-12-2013",139.68
"31-01-2014",0
"28-02-2014",0.15
"31-03-2014",0
"30-04-2014",3.71
"31-05-2014",30.82
"30-06-2014",44.14
"31-07-2014",11.49
"31-08-2014",1.56
"30-09-2014",16.64
"31-10-2014",35.71
"30-11-2014",8.36
"31-12-2014",26.72
"31-01-2015",0
"28-02-2015",9.73
"31-03-2015",6
"30-04-2015",13.51
"31-05-2015",0.46
"30-06-2015",11.3
"31-07-2015",2.37
"31-08-2015",19.15
"30-09-2015",0.61
"31-10-2015",3.46
"30-11-2015",0.15
"31-12-2015",37.86
"31-01-2016",7.78
"29-02-2016",4.22
"31-03-2016",1.92
"30-04-2016",0.37
"31-05-2016",12.16
"30-06-2016",4.11
"31-07-2016",2.54
"31-08-2016",2.49
"30-09-2016",5.82
"31-10-2016",2.65
"30-11-2016",8.02
"31-12-2016",14.82
"31-01-2017",13.48
"28-02-2017",5.06
"31-03-2017",1.18
"30-04-2017",0
"31-05-2017",2.96
"30-06-2017",3.74
"31-07-2017",1.9
"31-08-2017",3.8
"30-09-2017",19.69
"31-10-2017",11.15
"30-11-2017",77.67
"31-12-2017",1.57
"31-01-2018",9.42
"28-02-2018",3.64
"31-03-2018",15.73
"30-04-2018",2.26
"31-05-2018",42.14
"30-06-2018",4.06
"31-07-2018",40.09
"31-08-2018",8.45
"30-09-2018",19.57
"31-10-2018",3.43
"30-11-2018",0.32
"31-12-2018",47.6
"31-01-2019",5.18
"28-02-2019",0
"31-03-2019",0
"30-04-2019",2.24
"31-05-2019",2.49
"30-06-2019",1.27
"31-07-2019",9.19
"31-08-2019",5.02
"30-09-2019",3.02
"31-10-2019",28.78
"30-11-2019",1.48
"31-12-2019",28.03
"31-01-2020",2.84
"29-02-2020",0
"31-03-2020",0
"30-04-2020",12.99
"31-05-2020",1.37
"30-06-2020",0
"31-07-2020",0
"31-08-2020",7.64
"30-09-2020",4.18
"31-10-2020",32.06
"30-11-2020",0.23
"31-12-2020",5.36
"31-01-2021",28.78
"28-02-2021",4.03
"31-03-2021",0
"30-04-2021",21.1
"31-05-2021",0
"30-06-2021",5.62
"31-07-2021",4.59
"31-08-2021",14.9
"30-09-2021",8.25
"31-10-2021",21.5
"30-11-2021",8.39
"31-12-2021",6.96
"31-01-2022",0
"28-02-2022",0.36
"31-03-2022",0
"30-04-2022",20.31
"31-05-2022",6.2
"30-06-2022",0
"31-07-2022",0.45
"31-08-2022",0
"30-09-2022",8.51
"31-10-2022",5.92
"30-11-2022",1.09
"31-12-2022",12.92
"31-01-2023",0
"28-02-2023",3.33
"31-03-2023",0
"30-04-2023",9.46
"31-05-2023",4.26
"30-06-2023",0.03
"31-07-2023",5.98
"31-08-2023",7.99
"30-09-2023",2.66
"31-10-2023",0
"30-11-2023",0
"31-12-2023",18.54
"31-01-2024",4.44
"29-02-2024",0
"31-03-2024",0
"30-04-2024",0
"31-05-2024",0
"30-06-2024",1
"31-07-2024",0
"31-08-2024",0
"30-09-2024",0.19
"31-10-2024",0
