"Fecha","Valor"
"31-10-2009",940.2
"30-11-2009",1943.9
"31-12-2009",1695.8
"31-01-2010",717.9
"28-02-2010",525.8
"31-03-2010",1101.8
"30-04-2010",348.7
"31-05-2010",1527.9
"30-06-2010",620.2
"31-07-2010",1317
"31-08-2010",1721.2
"30-09-2010",988.6
"31-10-2010",1185
"30-11-2010",1019.3
"31-12-2010",2655.3
"31-01-2011",427.34
"28-02-2011",781.05
"31-03-2011",1156.39
"30-04-2011",916.63
"31-05-2011",1439.09
"30-06-2011",1001.62
"31-07-2011",920.05
"31-08-2011",1275.7
"30-09-2011",1249.17
"31-10-2011",1341.96
"30-11-2011",1330.31
"31-12-2011",2897.5
"31-01-2012",506.35
"29-02-2012",517.61
"31-03-2012",631.23
"30-04-2012",783.04
"31-05-2012",911.95
"30-06-2012",970.01
"31-07-2012",988.55
"31-08-2012",1212.03
"30-09-2012",1262.77
"31-10-2012",1127.61
"30-11-2012",1730.9
"31-12-2012",2370
"31-01-2013",552.09
"28-02-2013",591.55
"31-03-2013",743.37
"30-04-2013",1005.13
"31-05-2013",894.41
"30-06-2013",1025.91
"31-07-2013",1302.38
"31-08-2013",717.76
"30-09-2013",968.81
"31-10-2013",905.25
"30-11-2013",1545.39
"31-12-2013",2461.64
"31-01-2014",584.92
"28-02-2014",543.41
"31-03-2014",631.73
"30-04-2014",1147.91
"31-05-2014",1554.31
"30-06-2014",1058.53
"31-07-2014",1358.78
"31-08-2014",1433.16
"30-09-2014",857
"31-10-2014",852.48
"30-11-2014",1060.08
"31-12-2014",2265.2
"31-01-2015",614.09
"28-02-2015",640.27
"31-03-2015",984.86
"30-04-2015",1088.83
"31-05-2015",956.43
"30-06-2015",977.64
"31-07-2015",830.23
"31-08-2015",1149.83
"30-09-2015",705.82
"31-10-2015",844.46
"30-11-2015",731.93
"31-12-2015",1109.8
"31-01-2016",535.16
"29-02-2016",556.84
"31-03-2016",569.46
"30-04-2016",610.05
"31-05-2016",616
"30-06-2016",1149.58
"31-07-2016",1049.79
"31-08-2016",774.19
"30-09-2016",793.05
"31-10-2016",1201.25
"30-11-2016",1147.78
"31-12-2016",2002.34
"31-01-2017",581.86
"28-02-2017",637.77
"31-03-2017",760.4
"30-04-2017",804.35
"31-05-2017",868.7
"30-06-2017",804.73
"31-07-2017",929.65
"31-08-2017",1069.59
"30-09-2017",1081.36
"31-10-2017",1004.62
"30-11-2017",1229.2
"31-12-2017",2361.07
"31-01-2018",567.46
"28-02-2018",615.26
"31-03-2018",744.21
"30-04-2018",1029.59
"31-05-2018",731.51
"30-06-2018",1240.07
"31-07-2018",1058.09
"31-08-2018",1419.24
"30-09-2018",1363.79
"31-10-2018",1232.72
"30-11-2018",1351.9
"31-12-2018",3001.16
"31-01-2019",638.8
"28-02-2019",991.9
"31-03-2019",1142.58
"30-04-2019",1597.41
"31-05-2019",1173.2
"30-06-2019",1241.59
"31-07-2019",1300.86
"31-08-2019",1326.72
"30-09-2019",1613.39
"31-10-2019",1481.27
"30-11-2019",1233.78
"31-12-2019",2544.21
"31-01-2020",665.21
"29-02-2020",716.7
"31-03-2020",967
"30-04-2020",1302.64
"31-05-2020",2805.34
"30-06-2020",1062.6
"31-07-2020",976.36
"31-08-2020",1275.83
"30-09-2020",1794.79
"31-10-2020",1709.03
"30-11-2020",1326.32
"31-12-2020",3358.2
"31-01-2021",643.33
"28-02-2021",758.55
"31-03-2021",1087.07
"30-04-2021",1399.67
"31-05-2021",1364.78
"30-06-2021",1166.56
"31-07-2021",1297.15
"31-08-2021",1423.7
"30-09-2021",1305.14
"31-10-2021",1341.18
"30-11-2021",1620.64
"31-12-2021",2399.6
"31-01-2022",870.06
"28-02-2022",938.93
"31-03-2022",1660.46
"30-04-2022",1431.04
"31-05-2022",1438.75
"30-06-2022",1455.99
"31-07-2022",1272.89
"31-08-2022",1375.57
"30-09-2022",1530.27
"31-10-2022",1592.39
"30-11-2022",1895.89
"31-12-2022",2983.05
"31-01-2023",902.9
"28-02-2023",1598.85
"31-03-2023",1639.49
"30-04-2023",1883.12
"31-05-2023",1508.12
"30-06-2023",1813.53
"31-07-2023",1843.19
"31-08-2023",1568.14
"30-09-2023",1639.44
"31-10-2023",1739.96
"30-11-2023",2011.33
"31-12-2023",2535.04
"31-01-2024",901.45
"29-02-2024",871.09
"31-03-2024",1063.19
"30-04-2024",1037.77
"31-05-2024",1720.96
"30-06-2024",1475.68
"31-07-2024",1483.15
"31-08-2024",1557.32
"30-09-2024",1427.81
"31-10-2024",3493.35
