"Fecha","Valor"
"31-10-2009",2916.5
"30-11-2009",2975.5
"31-12-2009",3258.6
"31-01-2010",2215.8
"28-02-2010",2598.5
"31-03-2010",2946.9
"30-04-2010",2761.6
"31-05-2010",2996.1
"30-06-2010",2506.7
"31-07-2010",3420
"31-08-2010",2695.9
"30-09-2010",2558.6
"31-10-2010",2971.2
"30-11-2010",3486
"31-12-2010",3499.4
"31-01-2011",2604.96
"28-02-2011",2963.08
"31-03-2011",3116.86
"30-04-2011",3247.47
"31-05-2011",3482.37
"30-06-2011",2869.15
"31-07-2011",3993.67
"31-08-2011",3105.79
"30-09-2011",2800.71
"31-10-2011",2958.96
"30-11-2011",2610.83
"31-12-2011",5020.32
"31-01-2012",2771.37
"29-02-2012",2864.06
"31-03-2012",3189.77
"30-04-2012",2831.99
"31-05-2012",3121.15
"30-06-2012",3056.83
"31-07-2012",4534.14
"31-08-2012",4071.96
"30-09-2012",3408.42
"31-10-2012",3627.66
"30-11-2012",4435.97
"31-12-2012",4394.2
"31-01-2013",2666.78
"28-02-2013",3472.72
"31-03-2013",3564.93
"30-04-2013",4363.25
"31-05-2013",3748.79
"30-06-2013",3680.16
"31-07-2013",4791.57
"31-08-2013",3603.98
"30-09-2013",3338.36
"31-10-2013",3483.22
"30-11-2013",3949.77
"31-12-2013",4891.75
"31-01-2014",2842.26
"28-02-2014",3163.18
"31-03-2014",4130.9
"30-04-2014",4421.67
"31-05-2014",3702.62
"30-06-2014",4123.13
"31-07-2014",4732.91
"31-08-2014",4007.59
"30-09-2014",3529.3
"31-10-2014",2856.42
"30-11-2014",4125.87
"31-12-2014",5835.35
"31-01-2015",3305.96
"28-02-2015",4169.5
"31-03-2015",4762.4
"30-04-2015",4450.78
"31-05-2015",4058.58
"30-06-2015",3765.3
"31-07-2015",4723.55
"31-08-2015",3969.85
"30-09-2015",3592.76
"31-10-2015",3738.82
"30-11-2015",3377.93
"31-12-2015",5341.55
"31-01-2016",3399.53
"29-02-2016",3864.26
"31-03-2016",4260.43
"30-04-2016",3847.16
"31-05-2016",4055.6
"30-06-2016",3875.01
"31-07-2016",5152.55
"31-08-2016",4461.24
"30-09-2016",4267.97
"31-10-2016",4260.45
"30-11-2016",4631.91
"31-12-2016",5998.7
"31-01-2017",3670.57
"28-02-2017",3813.45
"31-03-2017",4071.34
"30-04-2017",4625.74
"31-05-2017",4534.17
"30-06-2017",4047.67
"31-07-2017",5306.36
"31-08-2017",4286.23
"30-09-2017",4215.56
"31-10-2017",4528.17
"30-11-2017",4488.13
"31-12-2017",7554.12
"31-01-2018",3758.43
"28-02-2018",4040.34
"31-03-2018",4238.06
"30-04-2018",4715.33
"31-05-2018",4798.72
"30-06-2018",4798.86
"31-07-2018",5759.03
"31-08-2018",4764.59
"30-09-2018",4357.01
"31-10-2018",4925.33
"30-11-2018",5455.41
"31-12-2018",6744.38
"31-01-2019",4583.22
"28-02-2019",4351
"31-03-2019",4792.84
"30-04-2019",5691.31
"31-05-2019",4713.35
"30-06-2019",5524.03
"31-07-2019",5692.06
"31-08-2019",5329.92
"30-09-2019",4874.26
"31-10-2019",5447.94
"30-11-2019",5428.56
"31-12-2019",7122.12
"31-01-2020",4808.47
"29-02-2020",4384.64
"31-03-2020",5353.89
"30-04-2020",5118.31
"31-05-2020",4806.44
"30-06-2020",7754.49
"31-07-2020",7156.36
"31-08-2020",7214.49
"30-09-2020",6829.33
"31-10-2020",6127.61
"30-11-2020",6871.4
"31-12-2020",9143.57
"31-01-2021",5033.92
"28-02-2021",4787.14
"31-03-2021",4915.69
"30-04-2021",7328.73
"31-05-2021",5587.03
"30-06-2021",5827.68
"31-07-2021",7398.95
"31-08-2021",5548.76
"30-09-2021",5297.02
"31-10-2021",5170.28
"30-11-2021",8005.97
"31-12-2021",9357.24
"31-01-2022",5347.3
"28-02-2022",6011.44
"31-03-2022",5788.41
"30-04-2022",7143.68
"31-05-2022",7069.08
"30-06-2022",6932.84
"31-07-2022",8436.18
"31-08-2022",7087.26
"30-09-2022",7111
"31-10-2022",7862.99
"30-11-2022",8056.63
"31-12-2022",10433.55
"31-01-2023",6196.04
"28-02-2023",7065.35
"31-03-2023",7132.99
"30-04-2023",8706.71
"31-05-2023",7754.82
"30-06-2023",7248.84
"31-07-2023",8928.14
"31-08-2023",7336.53
"30-09-2023",6546.77
"31-10-2023",7479.46
"30-11-2023",7858.37
"31-12-2023",9309.32
"31-01-2024",6799.15
"29-02-2024",6737.21
"31-03-2024",6694.83
"30-04-2024",7630.43
"31-05-2024",7191
"30-06-2024",8637.89
"31-07-2024",9169.31
"31-08-2024",7541.24
"30-09-2024",7091.76
"31-10-2024",10164.23
