"Fecha","Valor"
"31-10-2009",3856.7
"30-11-2009",4919.4
"31-12-2009",4954.4
"31-01-2010",2933.7
"28-02-2010",3124.3
"31-03-2010",4048.7
"30-04-2010",3110.3
"31-05-2010",4524
"30-06-2010",3126.9
"31-07-2010",4737
"31-08-2010",4417.1
"30-09-2010",3547.2
"31-10-2010",4156.2
"30-11-2010",4505.3
"31-12-2010",6154.7
"31-01-2011",3032.31
"28-02-2011",3744.13
"31-03-2011",4273.25
"30-04-2011",4164.11
"31-05-2011",4921.46
"30-06-2011",3870.77
"31-07-2011",4913.72
"31-08-2011",4381.49
"30-09-2011",4049.88
"31-10-2011",4300.92
"30-11-2011",3941.14
"31-12-2011",7917.83
"31-01-2012",3277.72
"29-02-2012",3381.67
"31-03-2012",3821.01
"30-04-2012",3615.03
"31-05-2012",4033.1
"30-06-2012",4026.84
"31-07-2012",5522.68
"31-08-2012",5284
"30-09-2012",4671.2
"31-10-2012",4755.27
"30-11-2012",6166.87
"31-12-2012",6764.19
"31-01-2013",3218.86
"28-02-2013",4064.27
"31-03-2013",4308.3
"30-04-2013",5368.38
"31-05-2013",4643.2
"30-06-2013",4706.07
"31-07-2013",6093.95
"31-08-2013",4321.74
"30-09-2013",4307.16
"31-10-2013",4388.46
"30-11-2013",5495.16
"31-12-2013",7353.39
"31-01-2014",3427.18
"28-02-2014",3706.58
"31-03-2014",4762.63
"30-04-2014",5569.59
"31-05-2014",5256.92
"30-06-2014",5181.66
"31-07-2014",6091.69
"31-08-2014",5440.76
"30-09-2014",4386.3
"31-10-2014",3708.89
"30-11-2014",5185.94
"31-12-2014",8100.55
"31-01-2015",3920.05
"28-02-2015",4809.77
"31-03-2015",5747.26
"30-04-2015",5539.61
"31-05-2015",5015.02
"30-06-2015",4742.94
"31-07-2015",5553.78
"31-08-2015",5119.68
"30-09-2015",4298.58
"31-10-2015",4583.29
"30-11-2015",4109.87
"31-12-2015",6451.35
"31-01-2016",3934.69
"29-02-2016",4421.1
"31-03-2016",4829.89
"30-04-2016",4457.21
"31-05-2016",4671.6
"30-06-2016",5024.59
"31-07-2016",6202.34
"31-08-2016",5235.43
"30-09-2016",5061.03
"31-10-2016",5461.7
"30-11-2016",5779.69
"31-12-2016",8001.04
"31-01-2017",4252.42
"28-02-2017",4451.22
"31-03-2017",4831.75
"30-04-2017",5430.09
"31-05-2017",5402.87
"30-06-2017",4852.4
"31-07-2017",6236.01
"31-08-2017",5355.82
"30-09-2017",5296.92
"31-10-2017",5532.79
"30-11-2017",5717.32
"31-12-2017",9915.18
"31-01-2018",4325.89
"28-02-2018",4655.6
"31-03-2018",4982.28
"30-04-2018",5744.92
"31-05-2018",5530.23
"30-06-2018",6038.93
"31-07-2018",6817.12
"31-08-2018",6183.84
"30-09-2018",5720.8
"31-10-2018",6158.04
"30-11-2018",6807.31
"31-12-2018",9745.54
"31-01-2019",5222.03
"28-02-2019",5342.9
"31-03-2019",5935.41
"30-04-2019",7288.72
"31-05-2019",5886.55
"30-06-2019",6765.62
"31-07-2019",6992.92
"31-08-2019",6656.64
"30-09-2019",6487.66
"31-10-2019",6929.2
"30-11-2019",6662.34
"31-12-2019",9666.32
"31-01-2020",5473.68
"29-02-2020",5101.34
"31-03-2020",6320.89
"30-04-2020",6420.95
"31-05-2020",7611.77
"30-06-2020",8817.08
"31-07-2020",8132.72
"31-08-2020",8490.33
"30-09-2020",8624.12
"31-10-2020",7836.64
"30-11-2020",8197.71
"31-12-2020",12501.76
"31-01-2021",5677.25
"28-02-2021",5545.69
"31-03-2021",6002.76
"30-04-2021",8728.4
"31-05-2021",6951.82
"30-06-2021",6994.24
"31-07-2021",8696.1
"31-08-2021",6972.46
"30-09-2021",6602.16
"31-10-2021",6511.46
"30-11-2021",9626.61
"31-12-2021",11756.84
"31-01-2022",6217.36
"28-02-2022",6950.37
"31-03-2022",7448.87
"30-04-2022",8574.72
"31-05-2022",8507.83
"30-06-2022",8388.83
"31-07-2022",9709.07
"31-08-2022",8462.83
"30-09-2022",8641.27
"31-10-2022",9455.38
"30-11-2022",9952.53
"31-12-2022",13416.6
"31-01-2023",7098.94
"28-02-2023",8664.2
"31-03-2023",8772.48
"30-04-2023",10589.83
"31-05-2023",9262.94
"30-06-2023",9062.38
"31-07-2023",10771.32
"31-08-2023",8904.67
"30-09-2023",8186.21
"31-10-2023",9219.42
"30-11-2023",9869.69
"31-12-2023",11844.35
"31-01-2024",7700.6
"29-02-2024",7608.3
"31-03-2024",7758.02
"30-04-2024",8668.2
"31-05-2024",8911.95
"30-06-2024",10113.58
"31-07-2024",10652.46
"31-08-2024",9098.56
"30-09-2024",8519.57
"31-10-2024",13657.57
