"Fecha","Valor"
"31-10-2009",153.8
"30-11-2009",132.9
"31-12-2009",355.6
"31-01-2010",75.8
"28-02-2010",126.2
"31-03-2010",141.5
"30-04-2010",252.1
"31-05-2010",62.8
"30-06-2010",158.9
"31-07-2010",253.7
"31-08-2010",225
"30-09-2010",193.1
"31-10-2010",152
"30-11-2010",156.7
"31-12-2010",410
"31-01-2011",65.86
"28-02-2011",143.15
"31-03-2011",231.88
"30-04-2011",172.83
"31-05-2011",87.45
"30-06-2011",267.8
"31-07-2011",158.75
"31-08-2011",92.24
"30-09-2011",251.55
"31-10-2011",88.94
"30-11-2011",291.73
"31-12-2011",425.43
"31-01-2012",86.66
"29-02-2012",293.96
"31-03-2012",188.11
"30-04-2012",88.03
"31-05-2012",341.7
"30-06-2012",168.4
"31-07-2012",219.99
"31-08-2012",234.76
"30-09-2012",145.87
"31-10-2012",188.25
"30-11-2012",179.82
"31-12-2012",492.77
"31-01-2013",102.74
"28-02-2013",162.15
"31-03-2013",200.22
"30-04-2013",187.83
"31-05-2013",297.78
"30-06-2013",153.65
"31-07-2013",219.51
"31-08-2013",217.76
"30-09-2013",302.55
"31-10-2013",228.47
"30-11-2013",185.54
"31-12-2013",271.31
"31-01-2014",238.83
"28-02-2014",175.02
"31-03-2014",280.22
"30-04-2014",258.52
"31-05-2014",199.04
"30-06-2014",270.23
"31-07-2014",349.44
"31-08-2014",204.84
"30-09-2014",213.59
"31-10-2014",113.21
"30-11-2014",218.17
"31-12-2014",419.78
"31-01-2015",205.25
"28-02-2015",219.62
"31-03-2015",343.7
"30-04-2015",243.19
"31-05-2015",229.76
"30-06-2015",315.16
"31-07-2015",209.23
"31-08-2015",226.49
"30-09-2015",227.08
"31-10-2015",115.36
"30-11-2015",236.89
"31-12-2015",450.58
"31-01-2016",409.9
"29-02-2016",246.64
"31-03-2016",270.54
"30-04-2016",251.9
"31-05-2016",290
"30-06-2016",241.06
"31-07-2016",244.91
"31-08-2016",248.44
"30-09-2016",230.51
"31-10-2016",239.73
"30-11-2016",231.82
"31-12-2016",421.45
"31-01-2017",233.89
"28-02-2017",267.08
"31-03-2017",355.95
"30-04-2017",237.87
"31-05-2017",232.67
"30-06-2017",237.79
"31-07-2017",240.95
"31-08-2017",243.07
"30-09-2017",268.05
"31-10-2017",251.63
"30-11-2017",244.64
"31-12-2017",343.61
"31-01-2018",232.16
"28-02-2018",277.76
"31-03-2018",349.34
"30-04-2018",244.78
"31-05-2018",260.39
"30-06-2018",315.78
"31-07-2018",267.75
"31-08-2018",264.3
"30-09-2018",250.27
"31-10-2018",269.01
"30-11-2018",256.3
"31-12-2018",318.97
"31-01-2019",282.65
"28-02-2019",280.92
"31-03-2019",399.55
"30-04-2019",275.03
"31-05-2019",367.63
"30-06-2019",309.23
"31-07-2019",300.15
"31-08-2019",309.08
"30-09-2019",300.54
"31-10-2019",331.15
"30-11-2019",291.38
"31-12-2019",423.61
"31-01-2020",329.75
"29-02-2020",316.16
"31-03-2020",360.49
"30-04-2020",265.67
"31-05-2020",278.24
"30-06-2020",330.83
"31-07-2020",241.23
"31-08-2020",324.89
"30-09-2020",278.28
"31-10-2020",278.68
"30-11-2020",278.33
"31-12-2020",434.65
"31-01-2021",292.81
"28-02-2021",299.57
"31-03-2021",387.33
"30-04-2021",313.31
"31-05-2021",151.31
"30-06-2021",547.92
"31-07-2021",301.01
"31-08-2021",309.76
"30-09-2021",306.28
"31-10-2021",306.25
"30-11-2021",271.48
"31-12-2021",482.11
"31-01-2022",360.24
"28-02-2022",331.57
"31-03-2022",455.37
"30-04-2022",330.4
"31-05-2022",329.5
"30-06-2022",480.05
"31-07-2022",319.07
"31-08-2022",374.5
"30-09-2022",317.74
"31-10-2022",322.91
"30-11-2022",337.46
"31-12-2022",446.36
"31-01-2023",357.21
"28-02-2023",368.59
"31-03-2023",648.2
"30-04-2023",348.86
"31-05-2023",400.11
"30-06-2023",427.1
"31-07-2023",367.37
"31-08-2023",653.6
"30-09-2023",390.72
"31-10-2023",1090.54
"30-11-2023",158.9
"31-12-2023",1114.75
"31-01-2024",449.69
"29-02-2024",393.2
"31-03-2024",735.87
"30-04-2024",409.61
"31-05-2024",455.68
"30-06-2024",440.35
"31-07-2024",451.36
"31-08-2024",404.63
"30-09-2024",366.25
"31-10-2024",132.35
