"Fecha","Valor"
"31-10-2009",24958
"30-11-2009",24551.6
"31-12-2009",24106.6
"31-01-2010",24099.6
"28-02-2010",23034.2
"31-03-2010",22566
"30-04-2010",22775.9
"31-05-2010",22710.5
"30-06-2010",22502.9
"31-07-2010",22474.7
"31-08-2010",22360.7
"30-09-2010",23108.6
"31-10-2010",23209.8
"30-11-2010",23972.8
"31-12-2010",24862.5
"31-01-2011",25103.7
"28-02-2011",25666.7
"31-03-2011",25259
"30-04-2011",25580.7
"31-05-2011",25937.3
"30-06-2011",26876
"31-07-2011",27498.3
"31-08-2011",28048.9
"30-09-2011",29563.5
"31-10-2011",30167.9
"30-11-2011",31199.1
"31-12-2011",32210.7
"31-01-2012",31769.2
"29-02-2012",31405.3
"31-03-2012",31428.2
"30-04-2012",31539.1
"31-05-2012",32257.5
"30-06-2012",32837.2
"31-07-2012",33746.3
"31-08-2012",35015.3
"30-09-2012",36217
"31-10-2012",36409.8
"30-11-2012",37049.7
"31-12-2012",39409.4
"31-01-2013",39260.2
"28-02-2013",39376.8
"31-03-2013",39539.2
"30-04-2013",40041.3
"31-05-2013",40502.7
"30-06-2013",41338.1
"31-07-2013",43837.5
"31-08-2013",45002.1
"30-09-2013",45691.7
"31-10-2013",46404.5
"30-11-2013",46948.2
"31-12-2013",46600.4
"31-01-2014",46526.6
"28-02-2014",46193.2
"31-03-2014",46077.2
"30-04-2014",47123.9
"31-05-2014",47958.4
"30-06-2014",49295.5
"31-07-2014",50933.7
"31-08-2014",50671.2
"30-09-2014",50900.3
"31-10-2014",51100.7
"30-11-2014",51583.5
"31-12-2014",53413.5
"31-01-2015",54309
"28-02-2015",55628.3
"31-03-2015",56214.4
"30-04-2015",57834.7
"31-05-2015",58622.9
"30-06-2015",58518.4
"31-07-2015",59230.8
"31-08-2015",60692.4
"30-09-2015",61534
"31-10-2015",62307.7
"30-11-2015",62876.7
"31-12-2015",63040.6
"31-01-2016",63449.1
"29-02-2016",62759.5
"31-03-2016",62378.1
"30-04-2016",62190.4
"31-05-2016",62007.7
"30-06-2016",61299.2
"31-07-2016",61486.9
"31-08-2016",61180.6
"30-09-2016",60941.6
"31-10-2016",60501.5
"30-11-2016",62179.8
"31-12-2016",64711.7
"31-01-2017",63714.4
"28-02-2017",62984.5
"31-03-2017",62384.7
"30-04-2017",62541
"31-05-2017",61904.8
"30-06-2017",62632.9
"31-07-2017",62470.4
"31-08-2017",62571.4
"30-09-2017",63229
"31-10-2017",63859.7
"30-11-2017",64795.9
"31-12-2017",66375
"31-01-2018",66606.7
"28-02-2018",66439.5
"31-03-2018",67379.2
"30-04-2018",67624.3
"31-05-2018",68659.7
"30-06-2018",68664.2
"31-07-2018",68561.4
"31-08-2018",68301.4
"30-09-2018",69806.7
"31-10-2018",70523.9
"30-11-2018",70806.6
"31-12-2018",72126.5
"31-01-2019",71622.6
"28-02-2019",72109.3
"31-03-2019",72195.7
"30-04-2019",71973
"31-05-2019",71997.3
"30-06-2019",72081.8
"31-07-2019",71452.7
"31-08-2019",71248.2
"30-09-2019",71916.8
"31-10-2019",70680.3
"30-11-2019",70570.1
"31-12-2019",71054.9
"31-01-2020",71087.7
"29-02-2020",71750.6
"31-03-2020",75078
"30-04-2020",75524.8
"31-05-2020",74712.6
"30-06-2020",75021.4
"31-07-2020",73932
"31-08-2020",73490
"30-09-2020",73197.8
"31-10-2020",73416.7
"30-11-2020",73151.2
"31-12-2020",73786
"31-01-2021",73982.5
"28-02-2021",73644.4
"31-03-2021",73864.4
"30-04-2021",74331.9
"31-05-2021",74878.5
"30-06-2021",76089.5
"31-07-2021",77481.2
"31-08-2021",77627
"30-09-2021",77777.5
"31-10-2021",79475
"30-11-2021",80976.8
"31-12-2021",81861.3
"31-01-2022",81656
"28-02-2022",82766
"31-03-2022",83944.8
"30-04-2022",84597.5
"31-05-2022",85847.4
"30-06-2022",88674.7
"31-07-2022",89003.1
"31-08-2022",89263.4
"30-09-2022",90506.3
"31-10-2022",93254.3
"30-11-2022",88656.6
"31-12-2022",90134.2
"31-01-2023",90229.4
"28-02-2023",89370.4
"31-03-2023",89094.3
"30-04-2023",89043.6
"31-05-2023",88803.2
"30-06-2023",88963.4
"31-07-2023",89165.2
"31-08-2023",88524.7
"30-09-2023",90354.2
"31-10-2023",90166
"30-11-2023",91636.5
"31-12-2023",92613
"31-01-2024",94632.9
"29-02-2024",95143.3
"31-03-2024",95425.6
"30-04-2024",95786.5
"31-05-2024",96393.7
"30-06-2024",95972.1
"31-07-2024",95540.6
"31-08-2024",96510.2
"30-09-2024",96713.6
"31-10-2024",96747.4
