"Fecha","Valor"
"31-10-2009",9665.6
"30-11-2009",9505.6
"31-12-2009",9512.4
"31-01-2010",10003.9
"28-02-2010",10095
"31-03-2010",9994.9
"30-04-2010",10528.6
"31-05-2010",10539.2
"30-06-2010",10551.3
"31-07-2010",10778.2
"31-08-2010",10610.3
"30-09-2010",10779.1
"31-10-2010",10761.6
"30-11-2010",10650.8
"31-12-2010",10962.9
"31-01-2011",11146.9
"28-02-2011",11501.5
"31-03-2011",11970.8
"30-04-2011",11847.1
"31-05-2011",12016.6
"30-06-2011",12173.9
"31-07-2011",13341.8
"31-08-2011",12697.6
"30-09-2011",12340.8
"31-10-2011",12391.2
"30-11-2011",12475
"31-12-2011",13250.6
"31-01-2012",12646.8
"29-02-2012",12261.3
"31-03-2012",12858.6
"30-04-2012",12548.8
"31-05-2012",12962.4
"30-06-2012",12722.1
"31-07-2012",12682.5
"31-08-2012",12941.2
"30-09-2012",13057.8
"31-10-2012",13048.7
"30-11-2012",13418.2
"31-12-2012",15058
"31-01-2013",14713.2
"28-02-2013",14979.7
"31-03-2013",14825.5
"30-04-2013",15144
"31-05-2013",16219.1
"30-06-2013",15981.2
"31-07-2013",15959.9
"31-08-2013",16620.7
"30-09-2013",16294.2
"31-10-2013",16323.2
"30-11-2013",17128.4
"31-12-2013",16868.5
"31-01-2014",17062
"28-02-2014",17120.7
"31-03-2014",17250.9
"30-04-2014",16892.4
"31-05-2014",16881.1
"30-06-2014",16856.1
"31-07-2014",17209.4
"31-08-2014",17162.5
"30-09-2014",17380.7
"31-10-2014",17816.9
"30-11-2014",17769.8
"31-12-2014",17372
"31-01-2015",17580.2
"28-02-2015",17500.4
"31-03-2015",17819.3
"30-04-2015",18499.5
"31-05-2015",18865.5
"30-06-2015",18235.7
"31-07-2015",18633.1
"31-08-2015",18548.1
"30-09-2015",19057.7
"31-10-2015",18767.7
"30-11-2015",18600.8
"31-12-2015",19144.3
"31-01-2016",19109.8
"29-02-2016",19425.9
"31-03-2016",19365.5
"30-04-2016",19276.7
"31-05-2016",19230.7
"30-06-2016",18530.8
"31-07-2016",18317.7
"31-08-2016",18656.2
"30-09-2016",18992.9
"31-10-2016",19077.2
"30-11-2016",19164.6
"31-12-2016",19278.2
"31-01-2017",19745.4
"28-02-2017",20014.7
"31-03-2017",20001.8
"30-04-2017",20042.7
"31-05-2017",20612.9
"30-06-2017",20676.3
"31-07-2017",20652.6
"31-08-2017",20743.8
"30-09-2017",20518.4
"31-10-2017",20584.5
"30-11-2017",20358.3
"31-12-2017",20335.3
"31-01-2018",20696
"28-02-2018",20664.6
"31-03-2018",21446.9
"30-04-2018",21728
"31-05-2018",22319.7
"30-06-2018",22667.5
"31-07-2018",23403
"31-08-2018",23533.2
"30-09-2018",24733.2
"31-10-2018",24897
"30-11-2018",24694.2
"31-12-2018",25789.9
"31-01-2019",25170
"28-02-2019",24870.9
"31-03-2019",24913.8
"30-04-2019",24787.5
"31-05-2019",25806.2
"30-06-2019",26205.2
"31-07-2019",26121.1
"31-08-2019",26244.7
"30-09-2019",26785.8
"31-10-2019",25670.6
"30-11-2019",26633.7
"31-12-2019",26319.6
"31-01-2020",26355.7
"29-02-2020",26084
"31-03-2020",26830.8
"30-04-2020",28045.3
"31-05-2020",29057.2
"30-06-2020",29121.3
"31-07-2020",29179.2
"31-08-2020",29118
"30-09-2020",28699.8
"31-10-2020",29132.6
"30-11-2020",30047.4
"31-12-2020",29194.5
"31-01-2021",29664.3
"28-02-2021",32420.5
"31-03-2021",33245
"30-04-2021",34048.8
"31-05-2021",34976.2
"30-06-2021",35202.3
"31-07-2021",35217.8
"31-08-2021",36663.3
"30-09-2021",36737.3
"31-10-2021",37818.7
"30-11-2021",38425.3
"31-12-2021",38261.3
"31-01-2022",39559.1
"28-02-2022",39825.4
"31-03-2022",39835.4
"30-04-2022",40617.1
"31-05-2022",41752.8
"30-06-2022",42157.5
"31-07-2022",44436.8
"31-08-2022",44716.3
"30-09-2022",44903.7
"31-10-2022",45970.6
"30-11-2022",45882.8
"31-12-2022",45275.8
"31-01-2023",46150.9
"28-02-2023",45890.2
"31-03-2023",45967.2
"30-04-2023",46404.5
"31-05-2023",46912.5
"30-06-2023",46927
"31-07-2023",47255.2
"31-08-2023",47240
"30-09-2023",47153.6
"31-10-2023",45862.6
"30-11-2023",45139.1
"31-12-2023",45043.8
"31-01-2024",44714
"29-02-2024",44696.5
"31-03-2024",45149.8
"30-04-2024",46171.5
"31-05-2024",46547.2
"30-06-2024",46536.8
"31-07-2024",46121.7
"31-08-2024",47381.8
"30-09-2024",46762.6
"31-10-2024",46484.6
