"Fecha","Valor"
"31-10-2009",-8359.5
"30-11-2009",-6838.8
"31-12-2009",-5647.7
"31-01-2010",-7414.2
"28-02-2010",-7909.8
"31-03-2010",-5774.9
"30-04-2010",-5864.9
"31-05-2010",-5813.3
"30-06-2010",-9242.5
"31-07-2010",-8357.6
"31-08-2010",-8242.4
"30-09-2010",-7413.1
"31-10-2010",-7452.1
"30-11-2010",-7113.8
"31-12-2010",-6474.7
"31-01-2011",-5952.6
"28-02-2011",-7242.2
"31-03-2011",-6603.6
"30-04-2011",-7694.6
"31-05-2011",-7810.8
"30-06-2011",-7342.4
"31-07-2011",-7023
"31-08-2011",-6870.2
"30-09-2011",-7326.7
"31-10-2011",-10764.3
"30-11-2011",-8437.6
"31-12-2011",-5208.6
"31-01-2012",-4636.2
"29-02-2012",-5283.1
"31-03-2012",-5308.5
"30-04-2012",-7389.7
"31-05-2012",-7744.3
"30-06-2012",-12331.2
"31-07-2012",-11644.3
"31-08-2012",-9565
"30-09-2012",-8578.2
"31-10-2012",-8478.8
"30-11-2012",-6616.9
"31-12-2012",-4367.5
"31-01-2013",-5086.5
"28-02-2013",-11939.2
"31-03-2013",-10583.7
"30-04-2013",-11007.4
"31-05-2013",-9726.7
"30-06-2013",-8812.7
"31-07-2013",-5211.8
"31-08-2013",-4669.1
"30-09-2013",-5510
"31-10-2013",-5144.2
"30-11-2013",-6568.5
"31-12-2013",-3391.2
"31-01-2014",-2770.3
"28-02-2014",-4004.9
"31-03-2014",-5065.1
"30-04-2014",-6815.3
"31-05-2014",-8589
"30-06-2014",-6518.9
"31-07-2014",-4162.2
"31-08-2014",-4147.5
"30-09-2014",-4377.3
"31-10-2014",-3045.1
"30-11-2014",-3384.2
"31-12-2014",-3352.3
"31-01-2015",-4750.8
"28-02-2015",-5955.9
"31-03-2015",-7004.6
"30-04-2015",-7737.1
"31-05-2015",-7094.6
"30-06-2015",-6040.8
"31-07-2015",-4418.1
"31-08-2015",-5045.4
"30-09-2015",-4233
"31-10-2015",-3659.2
"30-11-2015",-5682.7
"31-12-2015",-3580.1
"31-01-2016",-4897.5
"29-02-2016",-4903.9
"31-03-2016",-4044.2
"30-04-2016",-4581.4
"31-05-2016",-11105.2
"30-06-2016",-9449.7
"31-07-2016",-8109
"31-08-2016",-9281.3
"30-09-2016",-8654
"31-10-2016",-8291.9
"30-11-2016",-9104.4
"31-12-2016",-6376.1
"31-01-2017",-6500.1
"28-02-2017",-8853.7
"31-03-2017",-8695.4
"30-04-2017",-8297.5
"31-05-2017",-10657.6
"30-06-2017",-14228.5
"31-07-2017",-13721.3
"31-08-2017",-13597.8
"30-09-2017",-12556.5
"31-10-2017",-12727.8
"30-11-2017",-12622.3
"31-12-2017",-8773.3
"31-01-2018",-9933.7
"28-02-2018",-10967.3
"31-03-2018",-11194.6
"30-04-2018",-11890.3
"31-05-2018",-12337.1
"30-06-2018",-11792.8
"31-07-2018",-12009.4
"31-08-2018",-14664.7
"30-09-2018",-14654.6
"31-10-2018",-14373.3
"30-11-2018",-15314.8
"31-12-2018",-9826.6
"31-01-2019",-10767.4
"28-02-2019",-11161.3
"31-03-2019",-10417.4
"30-04-2019",-11740.3
"31-05-2019",-10719.3
"30-06-2019",-18169.1
"31-07-2019",-17287.7
"31-08-2019",-16281
"30-09-2019",-15310.9
"31-10-2019",-13084.5
"30-11-2019",-12987.9
"31-12-2019",-7813.3
"31-01-2020",-7825.9
"29-02-2020",-9318.7
"31-03-2020",-9688.8
"30-04-2020",-19312.2
"31-05-2020",-18362.3
"30-06-2020",-20086.5
"31-07-2020",-19786.7
"31-08-2020",-16721.1
"30-09-2020",-10385.7
"31-10-2020",-9012.6
"30-11-2020",-9475.6
"31-12-2020",-937.1
"31-01-2021",-1707.9
"28-02-2021",-1651.8
"31-03-2021",-7752.9
"30-04-2021",-8522
"31-05-2021",-10244.3
"30-06-2021",-13063.1
"31-07-2021",-11601.9
"31-08-2021",-14204.7
"30-09-2021",-8931.3
"31-10-2021",-16667.8
"30-11-2021",-19198.6
"31-12-2021",-13107.9
"31-01-2022",-14121.7
"28-02-2022",-14902.9
"31-03-2022",-16200.1
"30-04-2022",-15206.3
"31-05-2022",-18364.3
"30-06-2022",-12083.1
"31-07-2022",-13830.5
"31-08-2022",-23050.8
"30-09-2022",-19246.6
"31-10-2022",-17334.3
"30-11-2022",-19864.3
"31-12-2022",-10678.4
"31-01-2023",-12243.9
"28-02-2023",-11538.9
"31-03-2023",-7245.9
"30-04-2023",-5520.1
"31-05-2023",-8353.4
"30-06-2023",-11621.9
"31-07-2023",-9311.3
"31-08-2023",-10006
"30-09-2023",-8442.8
"31-10-2023",-12450
"30-11-2023",-14003.3
"31-12-2023",-8316.5
"31-01-2024",-11142.2
"29-02-2024",-8944.4
"31-03-2024",-8916
"30-04-2024",-9767.7
"31-05-2024",-10561.4
"30-06-2024",-14441.7
"31-07-2024",-15227.4
"31-08-2024",-25368.1
"30-09-2024",-25390.9
"31-10-2024",-20255.1
