"Fecha","Valor"
"31-10-2009",13212.9
"30-11-2009",13722.2
"31-12-2009",13638.4
"31-01-2010",13669.6
"28-02-2010",13139.8
"31-03-2010",13656.8
"30-04-2010",13502.8
"31-05-2010",13724.3
"30-06-2010",13578.4
"31-07-2010",13961.3
"31-08-2010",14230.9
"30-09-2010",14012.1
"31-10-2010",14427.7
"30-11-2010",13565.2
"31-12-2010",14358.9
"31-01-2011",15655.8
"28-02-2011",14934.8
"31-03-2011",14724.7
"30-04-2011",15970.7
"31-05-2011",14697.1
"30-06-2011",15670.2
"31-07-2011",15108.5
"31-08-2011",15624.9
"30-09-2011",14927.1
"31-10-2011",15237.6
"30-11-2011",15913.6
"31-12-2011",17096.4
"31-01-2012",16413.8
"29-02-2012",16294.6
"31-03-2012",17002.2
"30-04-2012",16921.1
"31-05-2012",15549.8
"30-06-2012",17352.9
"31-07-2012",17564.1
"31-08-2012",16486.3
"30-09-2012",16829.3
"31-10-2012",17778.3
"30-11-2012",18684.9
"31-12-2012",19987.6
"31-01-2013",18098.7
"28-02-2013",17451
"31-03-2013",20118.9
"30-04-2013",19267.5
"31-05-2013",19489.5
"30-06-2013",19794.3
"31-07-2013",19808.2
"31-08-2013",20008.3
"30-09-2013",19161.6
"31-10-2013",20103.5
"30-11-2013",19569.2
"31-12-2013",20687.5
"31-01-2014",17711.4
"28-02-2014",18388.1
"31-03-2014",19492.1
"30-04-2014",19939.6
"31-05-2014",19891.5
"30-06-2014",19440.9
"31-07-2014",19781.9
"31-08-2014",20271.5
"30-09-2014",20059.5
"31-10-2014",18730.4
"30-11-2014",20437.8
"31-12-2014",22669.3
"31-01-2015",21271.6
"28-02-2015",20130.7
"31-03-2015",22933.9
"30-04-2015",22361.6
"31-05-2015",21181.4
"30-06-2015",23571.8
"31-07-2015",21279.2
"31-08-2015",22723.3
"30-09-2015",22936.9
"31-10-2015",23342.7
"30-11-2015",23212.4
"31-12-2015",24546.6
"31-01-2016",24191.4
"29-02-2016",23410.9
"31-03-2016",22704.6
"30-04-2016",24565.3
"31-05-2016",25234.1
"30-06-2016",25390.8
"31-07-2016",24539.9
"31-08-2016",25728.2
"30-09-2016",24993.6
"31-10-2016",24305
"30-11-2016",25905.3
"31-12-2016",29660
"31-01-2017",26442.2
"28-02-2017",25578.5
"31-03-2017",24918.4
"30-04-2017",26444.5
"31-05-2017",26572
"30-06-2017",27575.6
"31-07-2017",26828.5
"31-08-2017",26155.3
"30-09-2017",27577.5
"31-10-2017",26864.9
"30-11-2017",26379
"31-12-2017",32746.6
"31-01-2018",28539.2
"28-02-2018",28174.9
"31-03-2018",28565.7
"30-04-2018",27613.5
"31-05-2018",27785.6
"30-06-2018",28734.3
"31-07-2018",25919.4
"31-08-2018",28108.7
"30-09-2018",28888.8
"31-10-2018",28816.9
"30-11-2018",25684.3
"31-12-2018",33140.1
"31-01-2019",27927.4
"28-02-2019",29491.8
"31-03-2019",29381.8
"30-04-2019",29612.6
"31-05-2019",30031.8
"30-06-2019",30421
"31-07-2019",32026.7
"31-08-2019",29654.6
"30-09-2019",30352.7
"31-10-2019",31775.1
"30-11-2019",30012.7
"31-12-2019",35213.4
"31-01-2020",31363.8
"29-02-2020",28754
"31-03-2020",33565.1
"30-04-2020",35493.9
"31-05-2020",29744.5
"30-06-2020",33069.1
"31-07-2020",32159.1
"31-08-2020",32344
"30-09-2020",38018.2
"31-10-2020",32506.7
"30-11-2020",35875.5
"31-12-2020",47048
"31-01-2021",34921.9
"28-02-2021",36161.9
"31-03-2021",38859.6
"30-04-2021",33510.6
"31-05-2021",37726.2
"30-06-2021",41093.8
"31-07-2021",35339.3
"31-08-2021",37440.1
"30-09-2021",39686.4
"31-10-2021",36159
"30-11-2021",39856.4
"31-12-2021",52085.1
"31-01-2022",38533.9
"28-02-2022",38975.2
"31-03-2022",41235.3
"30-04-2022",39032.7
"31-05-2022",41063.2
"30-06-2022",45276.1
"31-07-2022",42316.5
"31-08-2022",41696.7
"30-09-2022",42198.5
"31-10-2022",43693.8
"30-11-2022",42483.9
"31-12-2022",52266.8
"31-01-2023",44583.4
"28-02-2023",45816.5
"31-03-2023",42931.2
"30-04-2023",43736.6
"31-05-2023",45395.7
"30-06-2023",49780.8
"31-07-2023",45931.6
"31-08-2023",45028
"30-09-2023",42269.4
"31-10-2023",43827
"30-11-2023",47750.3
"31-12-2023",54682
"31-01-2024",48048.1
"29-02-2024",47431.5
"31-03-2024",51934.4
"30-04-2024",46844.7
"31-05-2024",47003.8
"30-06-2024",53433.4
"31-07-2024",54148.9
"31-08-2024",43546.2
"30-09-2024",48963.6
"31-10-2024",54313
