"Fecha","Valor"
"31-10-2009",8.09
"30-11-2009",8.09
"31-12-2009",8.12
"31-01-2010",8.11
"28-02-2010",8.09
"31-03-2010",7.98
"30-04-2010",7.9
"31-05-2010",7.89
"30-06-2010",7.83
"31-07-2010",7.74
"31-08-2010",7.63
"30-09-2010",7.51
"31-10-2010",7.41
"30-11-2010",7.29
"31-12-2010",7.12
"31-01-2011",7.04
"28-02-2011",6.91
"31-03-2011",6.85
"30-04-2011",6.78
"31-05-2011",6.73
"30-06-2011",6.64
"31-07-2011",6.57
"31-08-2011",6.47
"30-09-2011",6.42
"31-10-2011",6.4
"30-11-2011",6.35
"31-12-2011",6.29
"31-01-2012",6.32
"29-02-2012",6.31
"31-03-2012",6.29
"30-04-2012",6.32
"31-05-2012",6.3
"30-06-2012",6.3
"31-07-2012",6.22
"31-08-2012",6.19
"30-09-2012",6.18
"31-10-2012",6.17
"30-11-2012",6.2
"31-12-2012",6.19
"31-01-2013",6.18
"28-02-2013",6.16
"31-03-2013",6.15
"30-04-2013",6.14
"31-05-2013",6.09
"30-06-2013",6.09
"31-07-2013",6.08
"31-08-2013",6.07
"30-09-2013",6.09
"31-10-2013",6.07
"30-11-2013",6.07
"31-12-2013",6.06
"31-01-2014",6.06
"28-02-2014",6.07
"31-03-2014",6.08
"30-04-2014",6.07
"31-05-2014",6.06
"30-06-2014",6.05
"31-07-2014",6.06
"31-08-2014",6.06
"30-09-2014",6.04
"31-10-2014",6.01
"30-11-2014",6.02
"31-12-2014",5.98
"31-01-2015",5.96
"28-02-2015",5.94
"31-03-2015",5.94
"30-04-2015",5.93
"31-05-2015",5.92
"30-06-2015",5.92
"31-07-2015",5.93
"31-08-2015",5.92
"30-09-2015",5.93
"31-10-2015",5.91
"30-11-2015",5.91
"31-12-2015",5.91
"31-01-2016",5.94
"29-02-2016",5.94
"31-03-2016",5.97
"30-04-2016",5.97
"31-05-2016",5.98
"30-06-2016",5.98
"31-07-2016",5.99
"31-08-2016",5.98
"30-09-2016",5.99
"31-10-2016",6.01
"30-11-2016",5.97
"31-12-2016",5.93
"31-01-2017",6
"28-02-2017",5.98
"31-03-2017",5.98
"30-04-2017",5.99
"31-05-2017",5.99
"30-06-2017",6
"31-07-2017",6.04
"31-08-2017",6.03
"30-09-2017",6.04
"31-10-2017",6.04
"30-11-2017",6.03
"31-12-2017",6.03
"31-01-2018",6.08
"28-02-2018",6.08
"31-03-2018",6.11
"30-04-2018",6.2
"31-05-2018",6.22
"30-06-2018",6.29
"31-07-2018",6.36
"31-08-2018",6.37
"30-09-2018",6.36
"31-10-2018",6.39
"30-11-2018",6.42
"31-12-2018",6.45
"31-01-2019",6.55
"28-02-2019",6.56
"31-03-2019",6.59
"30-04-2019",6.6
"31-05-2019",6.59
"30-06-2019",6.57
"31-07-2019",6.53
"31-08-2019",6.52
"30-09-2019",6.51
"31-10-2019",6.47
"30-11-2019",6.44
"31-12-2019",6.41
"31-01-2020",6.37
"29-02-2020",6.37
"31-03-2020",6.31
"30-04-2020",6.21
"31-05-2020",6.22
"30-06-2020",6.21
"31-07-2020",6.18
"31-08-2020",6.16
"30-09-2020",6.15
"31-10-2020",6.12
"30-11-2020",6.11
"31-12-2020",6.07
"31-01-2021",6.06
"28-02-2021",6.04
"31-03-2021",5.99
"30-04-2021",5.95
"31-05-2021",5.92
"30-06-2021",5.89
"31-07-2021",5.8
"31-08-2021",5.76
"30-09-2021",5.73
"31-10-2021",5.69
"30-11-2021",5.66
"31-12-2021",5.61
"31-01-2022",5.66
"28-02-2022",5.6
"31-03-2022",5.53
"30-04-2022",5.52
"31-05-2022",5.56
"30-06-2022",5.52
"31-07-2022",5.65
"31-08-2022",5.71
"30-09-2022",5.74
"31-10-2022",5.85
"30-11-2022",6.03
"31-12-2022",6.15
"31-01-2023",6.25
"28-02-2023",6.36
"31-03-2023",6.4
"30-04-2023",6.48
"31-05-2023",6.52
"30-06-2023",6.56
"31-07-2023",6.59
"31-08-2023",6.61
"30-09-2023",6.62
"31-10-2023",6.63
"30-11-2023",6.72
"31-12-2023",6.77
"31-01-2024",6.93
"29-02-2024",6.95
"31-03-2024",6.98
"30-04-2024",7.01
"31-05-2024",7.04
"30-06-2024",7.08
"31-07-2024",7.15
"31-08-2024",7.2
"30-09-2024",7.21
"31-10-2024",7.2
