"Fecha","Valor"
"31-10-2009",13.93
"30-11-2009",13.68
"31-12-2009",13.57
"31-01-2010",13.52
"28-02-2010",13.5
"31-03-2010",13.47
"30-04-2010",13.42
"31-05-2010",13.36
"30-06-2010",13.33
"31-07-2010",13.29
"31-08-2010",13.27
"30-09-2010",13.27
"31-10-2010",13.21
"30-11-2010",13.21
"31-12-2010",13.25
"31-01-2011",13.28
"28-02-2011",13.37
"31-03-2011",13.37
"30-04-2011",13.44
"31-05-2011",13.37
"30-06-2011",13.39
"31-07-2011",13.37
"31-08-2011",13.45
"30-09-2011",13.51
"31-10-2011",13.53
"30-11-2011",13.53
"31-12-2011",13.51
"31-01-2012",13.56
"29-02-2012",13.47
"31-03-2012",13.39
"30-04-2012",13.41
"31-05-2012",13.43
"30-06-2012",13.46
"31-07-2012",13.51
"31-08-2012",13.49
"30-09-2012",13.52
"31-10-2012",13.58
"30-11-2012",13.55
"31-12-2012",13.47
"31-01-2013",13.52
"28-02-2013",13.5
"31-03-2013",13.5
"30-04-2013",13.53
"31-05-2013",13.59
"30-06-2013",13.62
"31-07-2013",13.63
"31-08-2013",13.62
"30-09-2013",13.63
"31-10-2013",13.66
"30-11-2013",13.68
"31-12-2013",13.7
"31-01-2014",13.78
"28-02-2014",13.81
"31-03-2014",13.8
"30-04-2014",13.78
"31-05-2014",13.83
"30-06-2014",13.84
"31-07-2014",13.87
"31-08-2014",13.74
"30-09-2014",13.73
"31-10-2014",13.73
"30-11-2014",13.7
"31-12-2014",13.64
"31-01-2015",13.6
"28-02-2015",13.48
"31-03-2015",13.37
"30-04-2015",13.29
"31-05-2015",13.21
"30-06-2015",13.16
"31-07-2015",13.12
"31-08-2015",13.09
"30-09-2015",13.11
"31-10-2015",13.12
"30-11-2015",13.12
"31-12-2015",13.06
"31-01-2016",13.08
"29-02-2016",13.07
"31-03-2016",13.11
"30-04-2016",13.13
"31-05-2016",13.15
"30-06-2016",13.14
"31-07-2016",13.11
"31-08-2016",13.12
"30-09-2016",13.12
"31-10-2016",13.1
"30-11-2016",13.08
"31-12-2016",13.03
"31-01-2017",13.05
"28-02-2017",13.05
"31-03-2017",13.08
"30-04-2017",13.08
"31-05-2017",13.04
"30-06-2017",13.05
"31-07-2017",13.06
"31-08-2017",13.06
"30-09-2017",13.05
"31-10-2017",13.08
"30-11-2017",13.05
"31-12-2017",13
"31-01-2018",13.07
"28-02-2018",13.05
"31-03-2018",13.01
"30-04-2018",13.02
"31-05-2018",12.98
"30-06-2018",12.94
"31-07-2018",12.96
"31-08-2018",12.92
"30-09-2018",12.87
"31-10-2018",12.85
"30-11-2018",12.81
"31-12-2018",12.72
"31-01-2019",12.74
"28-02-2019",12.77
"31-03-2019",12.79
"30-04-2019",12.75
"31-05-2019",12.74
"30-06-2019",12.75
"31-07-2019",12.77
"31-08-2019",12.79
"30-09-2019",12.78
"31-10-2019",12.7
"30-11-2019",12.67
"31-12-2019",12.64
"31-01-2020",12.65
"29-02-2020",12.68
"31-03-2020",12.64
"30-04-2020",12.62
"31-05-2020",12.66
"30-06-2020",12.65
"31-07-2020",12.46
"31-08-2020",12.48
"30-09-2020",12.48
"31-10-2020",12.33
"30-11-2020",12.32
"31-12-2020",12.33
"31-01-2021",12.34
"28-02-2021",12.32
"31-03-2021",12.32
"30-04-2021",12.28
"31-05-2021",12.25
"30-06-2021",12.24
"31-07-2021",12.14
"31-08-2021",12.14
"30-09-2021",12.16
"31-10-2021",12.13
"30-11-2021",12.02
"31-12-2021",11.92
"31-01-2022",11.92
"28-02-2022",11.92
"31-03-2022",11.95
"30-04-2022",11.93
"31-05-2022",11.94
"30-06-2022",11.98
"31-07-2022",11.98
"31-08-2022",12.02
"30-09-2022",11.94
"31-10-2022",11.84
"30-11-2022",11.83
"31-12-2022",11.83
"31-01-2023",11.89
"28-02-2023",11.94
"31-03-2023",11.93
"30-04-2023",11.93
"31-05-2023",11.98
"30-06-2023",11.98
"31-07-2023",11.98
"31-08-2023",11.96
"30-09-2023",11.95
"31-10-2023",12
"30-11-2023",11.91
"31-12-2023",12.09
"31-01-2024",12.18
"29-02-2024",12.24
"31-03-2024",12.21
"30-04-2024",12.24
"31-05-2024",12.29
"30-06-2024",12.34
"31-07-2024",12.38
"31-08-2024",12.44
"30-09-2024",12.51
"31-10-2024",12.59
