"Fecha","Valor"
"12-11-2009",1.57
"19-11-2009",1.6
"26-11-2009",1.61
"03-12-2009",1.63
"10-12-2009",1.62
"17-12-2009",1.62
"24-12-2009",1.61
"31-12-2009",1.6
"07-01-2010",1.62
"14-01-2010",1.62
"21-01-2010",1.62
"28-01-2010",1.62
"04-02-2010",1.64
"11-02-2010",1.67
"18-02-2010",1.65
"25-02-2010",1.64
"04-03-2010",1.62
"11-03-2010",1.62
"18-03-2010",1.61
"25-03-2010",1.62
"01-04-2010",1.6
"08-04-2010",1.61
"15-04-2010",1.58
"22-04-2010",1.55
"29-04-2010",1.55
"06-05-2010",1.5
"13-05-2010",1.49
"20-05-2010",1.52
"27-05-2010",1.52
"03-06-2010",1.51
"10-06-2010",1.49
"17-06-2010",1.47
"24-06-2010",1.48
"01-07-2010",1.49
"08-07-2010",1.51
"15-07-2010",1.52
"22-07-2010",1.53
"29-07-2010",1.54
"05-08-2010",1.57
"12-08-2010",1.54
"19-08-2010",1.54
"26-08-2010",1.52
"02-09-2010",1.54
"09-09-2010",1.5
"16-09-2010",1.52
"23-09-2010",1.53
"30-09-2010",1.48
"07-10-2010",1.47
"14-10-2010",1.48
"21-10-2010",1.49
"28-10-2010",1.52
"04-11-2010",1.51
"11-11-2010",1.5
"18-11-2010",1.51
"25-11-2010",1.51
"02-12-2010",1.52
"09-12-2010",1.51
"16-12-2010",1.56
"23-12-2010",1.51
"30-12-2010",1.46
"06-01-2011",1.41
"13-01-2011",1.41
"20-01-2011",1.43
"27-01-2011",1.41
"03-02-2011",1.44
"10-02-2011",1.44
"17-02-2011",1.44
"24-02-2011",1.44
"03-03-2011",1.52
"10-03-2011",1.51
"17-03-2011",1.52
"24-03-2011",1.52
"31-03-2011",1.49
"07-04-2011",1.49
"14-04-2011",1.46
"21-04-2011",1.47
"28-04-2011",1.48
"05-05-2011",1.46
"12-05-2011",1.48
"19-05-2011",1.48
"26-05-2011",1.47
"02-06-2011",1.49
"09-06-2011",1.42
"16-06-2011",1.44
"23-06-2011",1.41
"30-06-2011",1.4
"07-07-2011",1.39
"14-07-2011",1.41
"21-07-2011",1.43
"28-07-2011",1.44
"04-08-2011",1.38
"11-08-2011",1.4
"18-08-2011",1.41
"25-08-2011",1.41
"01-09-2011",1.43
"08-09-2011",1.43
"15-09-2011",1.43
"22-09-2011",1.45
"29-09-2011",1.41
"06-10-2011",1.43
"13-10-2011",1.47
"20-10-2011",1.45
"27-10-2011",1.44
"03-11-2011",1.4
"10-11-2011",1.42
"17-11-2011",1.42
"24-11-2011",1.44
"01-12-2011",1.42
"08-12-2011",1.4
"15-12-2011",1.4
"22-12-2011",1.36
"29-12-2011",1.35
"05-01-2012",1.35
"12-01-2012",1.34
"19-01-2012",1.34
"26-01-2012",1.34
"02-02-2012",1.34
"09-02-2012",1.34
"16-02-2012",1.34
"23-02-2012",1.35
"01-03-2012",1.29
"08-03-2012",1.29
"15-03-2012",1.31
"22-03-2012",1.33
"29-03-2012",1.33
"05-04-2012",1.33
"12-04-2012",1.34
"19-04-2012",1.32
"26-04-2012",1.32
"03-05-2012",1.33
"10-05-2012",1.33
"17-05-2012",1.36
"24-05-2012",1.36
"31-05-2012",1.34
"07-06-2012",1.37
"14-06-2012",1.36
"21-06-2012",1.35
"28-06-2012",1.34
"05-07-2012",1.34
"12-07-2012",1.35
"19-07-2012",1.33
"26-07-2012",1.34
"02-08-2012",1.35
"09-08-2012",1.36
"16-08-2012",1.37
"23-08-2012",1.34
"30-08-2012",1.33
"06-09-2012",1.37
"13-09-2012",1.36
"20-09-2012",1.38
"27-09-2012",1.35
"04-10-2012",1.37
"11-10-2012",1.38
"18-10-2012",1.4
"25-10-2012",1.36
"01-11-2012",1.39
"08-11-2012",1.42
"15-11-2012",1.44
"22-11-2012",1.45
"29-11-2012",1.39
"06-12-2012",1.39
"13-12-2012",1.4
"20-12-2012",1.39
"27-12-2012",1.42
"03-01-2013",1.38
"10-01-2013",1.39
"17-01-2013",1.4
"24-01-2013",1.4
"31-01-2013",1.37
"07-02-2013",1.4
"14-02-2013",1.43
"21-02-2013",1.44
"28-02-2013",1.43
"07-03-2013",1.41
"14-03-2013",1.4
"21-03-2013",1.4
"28-03-2013",1.41
"04-04-2013",1.44
"11-04-2013",1.43
"18-04-2013",1.44
"25-04-2013",1.42
"02-05-2013",1.44
"09-05-2013",1.43
"16-05-2013",1.42
"23-05-2013",1.43
"30-05-2013",1.46
"06-06-2013",1.46
"13-06-2013",1.46
"20-06-2013",1.47
"27-06-2013",1.48
"04-07-2013",1.48
"11-07-2013",1.48
"18-07-2013",1.42
"25-07-2013",1.46
"01-08-2013",1.47
"08-08-2013",1.46
"15-08-2013",1.46
"22-08-2013",1.47
"29-08-2013",1.5
"05-09-2013",1.49
"12-09-2013",1.48
"19-09-2013",1.5
"26-09-2013",1.49
"03-10-2013",1.48
"10-10-2013",1.5
"17-10-2013",1.51
"24-10-2013",1.47
"31-10-2013",1.47
"07-11-2013",1.48
"14-11-2013",1.5
"21-11-2013",1.49
"28-11-2013",1.49
"05-12-2013",1.5
"12-12-2013",1.47
"19-12-2013",1.46
"26-12-2013",1.45
"02-01-2014",1.47
"09-01-2014",1.43
"16-01-2014",1.46
"23-01-2014",1.49
"30-01-2014",1.47
"06-02-2014",1.47
"13-02-2014",1.48
"20-02-2014",1.48
"27-02-2014",1.48
"06-03-2014",1.49
"13-03-2014",1.46
"20-03-2014",1.51
"27-03-2014",1.48
"03-04-2014",1.44
"10-04-2014",1.48
"17-04-2014",1.48
"24-04-2014",1.48
"01-05-2014",1.49
"08-05-2014",1.49
"15-05-2014",1.51
"22-05-2014",1.5
"29-05-2014",1.48
"05-06-2014",1.5
"12-06-2014",1.51
"19-06-2014",1.52
"26-06-2014",1.46
"03-07-2014",1.47
"10-07-2014",1.49
