"Fecha","Valor"
"12-11-2009",1.66
"19-11-2009",1.67
"26-11-2009",1.65
"03-12-2009",1.65
"10-12-2009",1.64
"17-12-2009",1.68
"24-12-2009",1.68
"31-12-2009",1.69
"07-01-2010",1.71
"14-01-2010",1.7
"21-01-2010",1.7
"28-01-2010",1.69
"04-02-2010",1.7
"11-02-2010",1.7
"18-02-2010",1.7
"25-02-2010",1.67
"04-03-2010",1.7
"11-03-2010",1.7
"18-03-2010",1.7
"25-03-2010",1.68
"01-04-2010",1.7
"08-04-2010",1.71
"15-04-2010",1.7
"22-04-2010",1.7
"29-04-2010",1.67
"06-05-2010",1.65
"13-05-2010",1.69
"20-05-2010",1.66
"27-05-2010",1.65
"03-06-2010",1.66
"10-06-2010",1.66
"17-06-2010",1.65
"24-06-2010",1.65
"01-07-2010",1.73
"08-07-2010",1.75
"15-07-2010",1.73
"22-07-2010",1.73
"29-07-2010",1.72
"05-08-2010",1.75
"12-08-2010",1.75
"19-08-2010",1.74
"26-08-2010",1.75
"02-09-2010",1.77
"09-09-2010",1.77
"16-09-2010",1.76
"23-09-2010",1.76
"30-09-2010",1.77
"07-10-2010",1.77
"14-10-2010",1.76
"21-10-2010",1.75
"28-10-2010",1.75
"04-11-2010",1.76
"11-11-2010",1.76
"18-11-2010",1.76
"25-11-2010",1.76
"02-12-2010",1.77
"09-12-2010",1.76
"16-12-2010",1.75
"23-12-2010",1.75
"30-12-2010",1.73
"06-01-2011",1.61
"13-01-2011",1.7
"20-01-2011",1.71
"27-01-2011",1.78
"03-02-2011",1.78
"10-02-2011",1.78
"17-02-2011",1.78
"24-02-2011",1.77
"03-03-2011",1.78
"10-03-2011",1.77
"17-03-2011",1.78
"24-03-2011",1.77
"31-03-2011",1.77
"07-04-2011",1.79
"14-04-2011",1.77
"21-04-2011",1.77
"28-04-2011",1.77
"05-05-2011",1.78
"12-05-2011",1.78
"19-05-2011",1.78
"26-05-2011",1.78
"02-06-2011",1.78
"09-06-2011",1.78
"16-06-2011",1.78
"23-06-2011",1.8
"30-06-2011",1.77
"07-07-2011",1.78
"14-07-2011",1.75
"21-07-2011",1.77
"28-07-2011",1.76
"04-08-2011",1.77
"11-08-2011",1.76
"18-08-2011",1.76
"25-08-2011",1.76
"01-09-2011",1.77
"08-09-2011",1.75
"15-09-2011",1.76
"22-09-2011",1.76
"29-09-2011",1.75
"06-10-2011",1.76
"13-10-2011",1.76
"20-10-2011",1.76
"27-10-2011",1.77
"03-11-2011",1.76
"10-11-2011",1.79
"17-11-2011",1.77
"24-11-2011",1.77
"01-12-2011",1.78
"08-12-2011",1.77
"15-12-2011",1.76
"22-12-2011",1.76
"29-12-2011",1.75
"05-01-2012",1.75
"12-01-2012",1.75
"19-01-2012",1.76
"26-01-2012",1.75
"02-02-2012",1.76
"09-02-2012",1.77
"16-02-2012",1.77
"23-02-2012",1.77
"01-03-2012",1.79
"08-03-2012",1.79
"15-03-2012",1.78
"22-03-2012",1.79
"29-03-2012",1.78
"05-04-2012",1.79
"12-04-2012",1.8
"19-04-2012",1.81
"26-04-2012",1.8
"03-05-2012",1.8
"10-05-2012",1.8
"17-05-2012",1.8
"24-05-2012",1.8
"31-05-2012",1.8
"07-06-2012",1.79
"14-06-2012",1.78
"21-06-2012",1.78
"28-06-2012",1.78
"05-07-2012",1.79
"12-07-2012",1.78
"19-07-2012",1.76
"26-07-2012",1.78
"02-08-2012",1.75
"09-08-2012",1.76
"16-08-2012",1.79
"23-08-2012",1.77
"30-08-2012",1.78
"06-09-2012",1.8
"13-09-2012",1.77
"20-09-2012",1.77
"27-09-2012",1.76
"04-10-2012",1.77
"11-10-2012",1.78
"18-10-2012",1.75
"25-10-2012",1.79
"01-11-2012",1.78
"08-11-2012",1.79
"15-11-2012",1.75
