"Fecha","Valor"
"12-11-2009",5.06
"19-11-2009",5.06
"26-11-2009",5.07
"03-12-2009",5.06
"10-12-2009",5.07
"17-12-2009",5.05
"24-12-2009",4.99
"31-12-2009",5.04
"07-01-2010",5.03
"14-01-2010",5.03
"21-01-2010",5
"28-01-2010",5.02
"04-02-2010",5.05
"11-02-2010",5.04
"18-02-2010",5.03
"25-02-2010",5.02
"04-03-2010",5.01
"11-03-2010",4.97
"18-03-2010",4.96
"25-03-2010",4.89
"01-04-2010",4.86
"08-04-2010",4.84
"15-04-2010",4.81
"22-04-2010",4.8
"29-04-2010",4.8
"06-05-2010",4.76
"13-05-2010",4.74
"20-05-2010",4.7
"27-05-2010",4.64
"03-06-2010",4.63
"10-06-2010",4.6
"17-06-2010",4.57
"24-06-2010",4.49
"01-07-2010",4.48
"08-07-2010",4.44
"15-07-2010",4.43
"22-07-2010",4.39
"29-07-2010",4.35
"05-08-2010",4.31
"12-08-2010",4.3
"19-08-2010",4.26
"26-08-2010",4.22
"02-09-2010",4.2
"09-09-2010",4.18
"16-09-2010",4.17
"23-09-2010",4.08
"30-09-2010",4.07
"07-10-2010",4.03
"14-10-2010",4.01
"21-10-2010",4.02
"28-10-2010",4
"04-11-2010",3.96
"11-11-2010",3.94
"18-11-2010",3.92
"25-11-2010",3.93
"02-12-2010",3.91
"09-12-2010",3.9
"16-12-2010",3.89
"23-12-2010",3.88
"30-12-2010",3.91
"06-01-2011",3.89
"13-01-2011",3.85
"20-01-2011",3.87
"27-01-2011",3.84
"03-02-2011",3.8
"10-02-2011",3.74
"17-02-2011",3.71
"24-02-2011",3.69
"03-03-2011",3.68
"10-03-2011",3.67
"17-03-2011",3.66
"24-03-2011",3.65
"31-03-2011",3.66
"07-04-2011",3.64
"14-04-2011",3.63
"21-04-2011",3.62
"28-04-2011",3.6
"05-05-2011",3.58
"12-05-2011",3.57
"19-05-2011",3.57
"26-05-2011",3.57
"02-06-2011",3.57
"09-06-2011",3.56
"16-06-2011",3.55
"23-06-2011",3.53
"30-06-2011",3.51
"07-07-2011",3.5
"14-07-2011",3.5
"21-07-2011",3.5
"28-07-2011",3.51
"04-08-2011",3.51
"11-08-2011",3.51
"18-08-2011",3.5
"25-08-2011",3.49
"01-09-2011",3.5
"08-09-2011",3.5
"15-09-2011",3.48
"22-09-2011",3.47
"29-09-2011",3.46
"06-10-2011",3.45
"13-10-2011",3.44
"20-10-2011",3.45
"27-10-2011",3.44
"03-11-2011",3.46
"10-11-2011",3.45
"17-11-2011",3.45
"24-11-2011",3.45
"01-12-2011",3.44
"08-12-2011",3.44
"15-12-2011",3.44
"22-12-2011",3.45
"29-12-2011",3.43
"05-01-2012",3.43
"12-01-2012",3.4
"19-01-2012",3.43
"26-01-2012",3.42
"02-02-2012",3.43
"09-02-2012",3.42
"16-02-2012",3.43
"23-02-2012",3.42
"01-03-2012",3.41
"08-03-2012",3.42
"15-03-2012",3.43
"22-03-2012",3.44
"29-03-2012",3.44
"05-04-2012",3.44
"12-04-2012",3.43
"19-04-2012",3.44
"26-04-2012",3.5
"03-05-2012",3.5
"10-05-2012",3.52
"17-05-2012",3.52
"24-05-2012",3.54
"31-05-2012",3.52
"07-06-2012",3.53
"14-06-2012",3.53
"21-06-2012",3.54
"28-06-2012",3.53
"05-07-2012",3.55
"12-07-2012",3.58
"19-07-2012",3.56
"26-07-2012",3.57
"02-08-2012",3.5
"09-08-2012",3.5
"16-08-2012",3.51
"23-08-2012",3.51
"30-08-2012",3.57
"06-09-2012",3.57
"13-09-2012",3.58
"20-09-2012",3.58
"27-09-2012",3.59
"04-10-2012",3.6
"11-10-2012",3.6
"18-10-2012",3.6
"25-10-2012",3.6
"01-11-2012",3.61
"08-11-2012",3.62
"15-11-2012",3.61
"22-11-2012",3.63
"29-11-2012",3.63
"06-12-2012",3.61
"13-12-2012",3.59
"20-12-2012",3.61
"27-12-2012",3.59
"03-01-2013",3.6
"10-01-2013",3.62
"17-01-2013",3.63
"24-01-2013",3.63
"31-01-2013",3.63
"07-02-2013",3.62
"14-02-2013",3.63
"21-02-2013",3.63
"28-02-2013",3.66
"07-03-2013",3.64
"14-03-2013",3.68
"21-03-2013",3.68
"28-03-2013",3.67
"04-04-2013",3.67
"11-04-2013",3.68
"18-04-2013",3.68
"25-04-2013",3.67
"02-05-2013",3.67
"09-05-2013",3.66
"16-05-2013",3.68
"23-05-2013",3.73
"30-05-2013",3.73
"06-06-2013",3.71
"13-06-2013",3.69
"20-06-2013",3.7
"27-06-2013",3.72
"04-07-2013",3.71
"11-07-2013",3.72
"18-07-2013",3.72
"25-07-2013",3.72
"01-08-2013",3.72
"08-08-2013",3.68
"15-08-2013",3.69
"22-08-2013",3.69
"29-08-2013",3.69
"05-09-2013",3.7
"12-09-2013",3.73
"19-09-2013",3.74
"26-09-2013",3.74
