"Fecha","Valor"
"12-11-2009",7.9
"19-11-2009",7.9
"26-11-2009",7.9
"03-12-2009",7.89
"10-12-2009",7.89
"17-12-2009",7.9
"24-12-2009",7.89
"31-12-2009",7.89
"07-01-2010",7.88
"14-01-2010",7.88
"21-01-2010",7.88
"28-01-2010",7.88
"04-02-2010",7.88
"11-02-2010",7.87
"18-02-2010",7.87
"25-02-2010",7.87
"04-03-2010",7.85
"11-03-2010",7.86
"18-03-2010",7.84
"25-03-2010",7.83
"01-04-2010",7.83
"08-04-2010",7.82
"15-04-2010",7.83
"22-04-2010",7.8
"29-04-2010",7.79
"06-05-2010",7.78
"13-05-2010",7.77
"20-05-2010",7.76
"27-05-2010",7.75
"03-06-2010",7.74
"10-06-2010",7.72
"17-06-2010",7.7
"24-06-2010",7.69
"01-07-2010",7.69
"08-07-2010",7.68
"15-07-2010",7.67
"22-07-2010",7.66
"29-07-2010",7.64
"05-08-2010",7.63
"12-08-2010",7.61
"19-08-2010",7.62
"26-08-2010",7.61
"02-09-2010",7.61
"09-09-2010",7.6
"16-09-2010",7.58
"23-09-2010",7.58
"30-09-2010",7.58
"07-10-2010",7.57
"14-10-2010",7.57
"21-10-2010",7.56
"28-10-2010",7.56
"04-11-2010",7.55
"11-11-2010",7.54
"18-11-2010",7.54
"25-11-2010",7.53
"02-12-2010",7.53
"09-12-2010",7.53
"16-12-2010",7.52
"23-12-2010",7.53
"30-12-2010",7.52
"06-01-2011",7.5
"13-01-2011",7.49
"20-01-2011",7.49
"27-01-2011",7.48
"03-02-2011",7.48
"10-02-2011",7.47
"17-02-2011",7.46
"24-02-2011",7.46
"03-03-2011",7.45
"10-03-2011",7.44
"17-03-2011",7.43
"24-03-2011",7.43
"31-03-2011",7.43
"07-04-2011",7.43
"14-04-2011",7.42
"21-04-2011",7.41
"28-04-2011",7.41
"05-05-2011",7.4
"12-05-2011",7.39
"19-05-2011",7.39
"26-05-2011",7.39
"02-06-2011",7.38
"09-06-2011",7.36
"16-06-2011",7.36
"23-06-2011",7.37
"30-06-2011",7.36
"07-07-2011",7.35
"14-07-2011",7.35
"21-07-2011",7.35
"28-07-2011",7.35
"04-08-2011",7.34
"11-08-2011",7.34
"18-08-2011",7.34
"25-08-2011",7.33
"01-09-2011",7.33
"08-09-2011",7.31
"15-09-2011",7.31
"22-09-2011",7.31
"29-09-2011",7.31
"06-10-2011",7.3
"13-10-2011",7.31
"20-10-2011",7.32
"27-10-2011",7.31
"03-11-2011",7.31
"10-11-2011",7.3
"17-11-2011",7.3
"24-11-2011",7.3
"01-12-2011",7.29
"08-12-2011",7.28
"15-12-2011",7.28
"22-12-2011",7.28
"29-12-2011",7.27
"05-01-2012",7.27
"12-01-2012",7.27
"19-01-2012",7.28
"26-01-2012",7.29
"02-02-2012",7.28
"09-02-2012",7.28
"16-02-2012",7.29
"23-02-2012",7.29
"01-03-2012",7.28
"08-03-2012",7.27
"15-03-2012",7.28
"22-03-2012",7.28
"29-03-2012",7.28
"05-04-2012",7.27
"12-04-2012",7.28
"19-04-2012",7.29
"26-04-2012",7.28
"03-05-2012",7.29
"10-05-2012",7.29
"17-05-2012",7.31
"24-05-2012",7.3
"31-05-2012",7.28
"07-06-2012",7.31
"14-06-2012",7.32
"21-06-2012",7.33
"28-06-2012",7.33
"05-07-2012",7.35
"12-07-2012",7.35
"19-07-2012",7.36
"26-07-2012",7.36
"02-08-2012",7.36
"09-08-2012",7.36
"16-08-2012",7.36
"23-08-2012",7.37
"30-08-2012",7.37
"06-09-2012",7.38
"13-09-2012",7.39
"20-09-2012",7.38
"27-09-2012",7.4
"04-10-2012",7.39
"11-10-2012",7.4
"18-10-2012",7.4
"25-10-2012",7.4
"01-11-2012",7.4
"08-11-2012",7.4
"15-11-2012",7.4
"22-11-2012",7.41
"29-11-2012",7.41
"06-12-2012",7.4
"13-12-2012",7.41
"20-12-2012",7.41
"27-12-2012",7.4
"03-01-2013",7.39
"10-01-2013",7.4
"17-01-2013",7.41
"24-01-2013",7.39
"31-01-2013",7.41
"07-02-2013",7.41
"14-02-2013",7.41
"21-02-2013",7.41
"28-02-2013",7.43
"07-03-2013",7.42
"14-03-2013",7.42
"21-03-2013",7.42
"28-03-2013",7.43
"04-04-2013",7.41
"11-04-2013",7.42
"18-04-2013",7.43
"25-04-2013",7.43
"02-05-2013",7.43
"09-05-2013",7.43
"16-05-2013",7.43
"23-05-2013",7.42
"30-05-2013",7.43
"06-06-2013",7.41
"13-06-2013",7.41
"20-06-2013",7.43
"27-06-2013",7.42
"04-07-2013",7.41
"11-07-2013",7.41
"18-07-2013",7.41
"25-07-2013",7.42
"01-08-2013",7.42
"08-08-2013",7.41
"15-08-2013",7.41
"22-08-2013",7.41
"29-08-2013",7.41
"05-09-2013",7.41
"12-09-2013",7.41
"19-09-2013",7.41
"26-09-2013",7.41
"03-10-2013",7.41
"10-10-2013",7.41
"17-10-2013",7.41
"24-10-2013",7.4
"31-10-2013",7.41
"07-11-2013",7.41
"14-11-2013",7.41
"21-11-2013",7.41
"28-11-2013",7.4
"05-12-2013",7.4
"12-12-2013",7.41
"19-12-2013",7.4
"26-12-2013",7.37
"02-01-2014",7.38
"09-01-2014",7.39
"16-01-2014",7.39
"23-01-2014",7.4
"30-01-2014",7.38
"06-02-2014",7.4
"13-02-2014",7.4
"20-02-2014",7.39
"27-02-2014",7.37
"06-03-2014",7.4
"13-03-2014",7.4
"20-03-2014",7.4
"27-03-2014",7.4
"03-04-2014",7.38
"10-04-2014",7.4
"17-04-2014",7.39
"24-04-2014",7.38
"01-05-2014",7.38
"08-05-2014",7.38
"15-05-2014",7.37
"22-05-2014",7.37
"29-05-2014",7.37
"05-06-2014",7.37
"12-06-2014",7.37
"19-06-2014",7.36
"26-06-2014",7.36
"03-07-2014",7.36
"10-07-2014",7.36
"17-07-2014",7.36
"24-07-2014",7.36
"31-07-2014",7.36
"07-08-2014",7.35
"14-08-2014",7.36
"21-08-2014",7.35
"28-08-2014",7.35
"04-09-2014",7.35
"11-09-2014",7.35
"18-09-2014",7.35
"25-09-2014",7.34
"02-10-2014",7.34
"09-10-2014",7.35
"16-10-2014",7.34
"23-10-2014",7.34
"30-10-2014",7.34
"06-11-2014",7.34
"13-11-2014",7.34
"20-11-2014",7.33
"27-11-2014",7.33
"04-12-2014",7.33
"11-12-2014",7.33
"18-12-2014",7.33
"25-12-2014",7.33
"31-12-2014",7.32
"01-01-2015",7.32
"08-01-2015",7.34
"15-01-2015",7.33
"22-01-2015",7.33
"29-01-2015",7.31
"05-02-2015",7.32
"12-02-2015",7.32
"19-02-2015",7.32
"26-02-2015",7.32
"05-03-2015",7.32
"12-03-2015",7.31
"19-03-2015",7.31
"26-03-2015",7.31
"02-04-2015",7.31
"09-04-2015",7.3
"16-04-2015",7.3
"23-04-2015",7.3
"30-04-2015",7.3
"07-05-2015",7.29
"14-05-2015",7.29
"21-05-2015",7.28
"28-05-2015",7.29
"04-06-2015",7.28
"11-06-2015",7.29
"18-06-2015",7.29
"25-06-2015",7.29
"02-07-2015",7.29
"09-07-2015",7.29
"16-07-2015",7.29
"23-07-2015",7.28
"30-07-2015",7.28
"06-08-2015",7.27
"13-08-2015",7.28
"20-08-2015",7.28
"27-08-2015",7.28
"03-09-2015",7.27
"10-09-2015",7.27
"17-09-2015",7.28
"24-09-2015",7.27
"01-10-2015",7.26
"08-10-2015",7.26
"15-10-2015",7.26
"22-10-2015",7.26
"29-10-2015",7.25
"05-11-2015",7.25
"12-11-2015",7.25
"19-11-2015",7.26
"26-11-2015",7.26
"03-12-2015",7.26
"10-12-2015",7.27
"17-12-2015",7.24
"24-12-2015",7.23
"31-12-2015",7.21
"07-01-2016",7.21
"14-01-2016",7.25
"21-01-2016",7.27
"28-01-2016",7.27
"04-02-2016",7.27
"11-02-2016",7.27
"18-02-2016",7.27
"25-02-2016",7.27
"03-03-2016",7.26
"10-03-2016",7.26
"17-03-2016",7.27
"24-03-2016",7.27
"31-03-2016",7.27
"07-04-2016",7.26
"14-04-2016",7.26
"21-04-2016",7.26
"28-04-2016",7.26
"05-05-2016",7.25
"12-05-2016",7.24
"19-05-2016",7.24
"26-05-2016",7.24
"02-06-2016",7.24
"09-06-2016",7.23
"16-06-2016",7.23
"23-06-2016",7.23
"30-06-2016",7.23
"07-07-2016",7.22
"14-07-2016",7.22
"21-07-2016",7.22
"28-07-2016",7.22
"04-08-2016",7.22
"11-08-2016",7.21
"18-08-2016",7.22
"25-08-2016",7.21
"01-09-2016",7.21
"08-09-2016",7.21
"15-09-2016",7.21
"22-09-2016",7.21
"29-09-2016",7.21
"06-10-2016",7.21
"13-10-2016",7.21
"20-10-2016",7.21
"27-10-2016",7.21
"03-11-2016",7.21
"10-11-2016",7.21
"17-11-2016",7.21
"24-11-2016",7.21
"01-12-2016",7.21
"08-12-2016",7.2
"15-12-2016",7.2
"22-12-2016",7.2
"29-12-2016",7.2
"05-01-2017",7.19
"12-01-2017",7.19
"19-01-2017",7.18
"26-01-2017",7.18
"02-02-2017",7.17
"09-02-2017",7.17
"16-02-2017",7.17
"23-02-2017",7.17
"02-03-2017",7.16
"09-03-2017",7.16
"16-03-2017",7.15
"23-03-2017",7.15
"30-03-2017",7.14
"06-04-2017",7.14
"13-04-2017",7.14
"20-04-2017",7.13
"27-04-2017",7.12
