"Fecha","Valor"
"12-11-2009",8.95
"19-11-2009",8.96
"26-11-2009",8.95
"03-12-2009",8.95
"10-12-2009",8.92
"17-12-2009",8.92
"24-12-2009",8.91
"31-12-2009",8.91
"07-01-2010",8.91
"14-01-2010",8.91
"21-01-2010",8.91
"28-01-2010",8.72
"04-02-2010",8.72
"11-02-2010",8.72
"18-02-2010",8.72
"25-02-2010",8.71
"04-03-2010",8.65
"11-03-2010",8.65
"18-03-2010",8.63
"25-03-2010",8.63
"01-04-2010",8.62
"08-04-2010",8.62
"15-04-2010",8.82
"22-04-2010",8.89
"29-04-2010",8.84
"06-05-2010",8.84
"13-05-2010",8.81
"20-05-2010",8.81
"27-05-2010",8.79
"03-06-2010",8.76
"10-06-2010",8.77
"17-06-2010",8.76
"24-06-2010",8.66
"01-07-2010",8.65
"08-07-2010",8.62
"15-07-2010",8.61
"22-07-2010",8.6
"29-07-2010",8.6
"05-08-2010",8.58
"12-08-2010",9.54
"19-08-2010",8.55
"26-08-2010",8.55
"02-09-2010",8.39
"09-09-2010",8.36
"16-09-2010",8.35
"23-09-2010",8.35
"30-09-2010",8.34
"07-10-2010",8.34
"14-10-2010",8.33
"21-10-2010",8.3
"28-10-2010",8.26
"04-11-2010",8.26
"11-11-2010",8.26
"18-11-2010",8.24
"25-11-2010",8.24
"02-12-2010",8.14
"09-12-2010",8.13
"16-12-2010",7.64
"23-12-2010",7.7
"30-12-2010",7.54
"06-01-2011",7.54
"13-01-2011",7.64
"20-01-2011",7.37
"27-01-2011",7.39
"03-02-2011",7.39
"10-02-2011",7.38
"17-02-2011",7.39
"24-02-2011",7.59
"03-03-2011",7.58
"10-03-2011",7.54
"17-03-2011",7.47
"24-03-2011",7.47
"31-03-2011",7.45
"07-04-2011",7.46
"14-04-2011",7.47
"21-04-2011",7.36
"28-04-2011",7.35
"05-05-2011",7.11
"12-05-2011",7.13
"19-05-2011",7.15
"26-05-2011",7.12
"02-06-2011",7.11
"09-06-2011",7.09
"16-06-2011",6.97
"23-06-2011",6.83
"30-06-2011",6.62
"07-07-2011",6.61
"14-07-2011",6.58
"21-07-2011",6.62
"28-07-2011",6.17
"04-08-2011",6.28
"11-08-2011",6.27
"18-08-2011",6.35
"25-08-2011",6.35
"01-09-2011",6.35
"08-09-2011",6.33
"15-09-2011",6.34
"22-09-2011",6.15
"29-09-2011",6.01
"06-10-2011",6.01
"13-10-2011",6
"20-10-2011",6.01
"27-10-2011",6.14
"03-11-2011",6.12
"10-11-2011",6.15
"17-11-2011",6.16
"24-11-2011",6.35
"01-12-2011",6.24
"08-12-2011",6.27
"15-12-2011",6.28
"22-12-2011",6.26
"29-12-2011",6.24
"05-01-2012",6.24
"12-01-2012",6.22
"19-01-2012",6.21
"26-01-2012",6.23
"02-02-2012",6.47
"09-02-2012",6.45
"16-02-2012",6.53
"23-02-2012",6.5
"01-03-2012",6.4
"08-03-2012",6.39
"15-03-2012",6.4
"22-03-2012",6.39
"29-03-2012",6.43
"05-04-2012",6.43
"12-04-2012",6.4
"19-04-2012",6.4
"26-04-2012",6.4
"03-05-2012",6.38
"10-05-2012",6.39
"17-05-2012",6.38
"24-05-2012",6.4
"31-05-2012",6.37
"07-06-2012",6.37
"14-06-2012",6.37
"21-06-2012",6.39
"28-06-2012",6.36
"05-07-2012",6.39
"12-07-2012",6.38
"19-07-2012",6.4
"26-07-2012",6.4
"02-08-2012",6.4
"09-08-2012",6.41
"16-08-2012",6.39
"23-08-2012",6.39
"30-08-2012",6.38
"06-09-2012",6.37
"13-09-2012",6.36
"20-09-2012",6.37
"27-09-2012",6.36
"04-10-2012",6.34
"11-10-2012",6.32
"18-10-2012",6.34
"25-10-2012",6.33
"01-11-2012",6.35
"08-11-2012",6.36
"15-11-2012",6.39
"22-11-2012",6.38
"29-11-2012",6.39
"06-12-2012",6.33
"13-12-2012",6.16
"20-12-2012",6.15
"27-12-2012",6.14
"03-01-2013",6.09
"10-01-2013",6.15
"17-01-2013",6.15
"24-01-2013",6.15
"31-01-2013",6.08
"07-02-2013",6.1
"14-02-2013",6.15
"21-02-2013",6.15
"28-02-2013",6.14
"07-03-2013",6.16
"14-03-2013",6.16
"21-03-2013",6.18
"28-03-2013",6.11
"04-04-2013",6.11
"11-04-2013",6.1
"18-04-2013",6.1
"25-04-2013",6.08
"02-05-2013",6.06
"09-05-2013",6.08
"16-05-2013",6.02
"23-05-2013",6
"30-05-2013",5.94
"06-06-2013",5.94
"13-06-2013",5.93
"20-06-2013",5.97
"27-06-2013",6.15
"04-07-2013",6.15
"11-07-2013",6.13
"18-07-2013",6.13
"25-07-2013",6.12
"01-08-2013",6.15
"08-08-2013",6.25
"15-08-2013",6.21
"22-08-2013",6.19
"29-08-2013",6.21
"05-09-2013",6.25
"12-09-2013",6.27
"19-09-2013",6.27
"26-09-2013",6.14
"03-10-2013",6.16
"10-10-2013",6.16
"17-10-2013",6.17
"24-10-2013",6.16
"31-10-2013",6.14
"07-11-2013",6.14
"14-11-2013",6.16
"21-11-2013",6.16
"28-11-2013",6.16
"05-12-2013",6.18
"12-12-2013",6.2
"19-12-2013",6.23
"26-12-2013",6.34
"02-01-2014",6.34
"09-01-2014",6.36
"16-01-2014",6.37
"23-01-2014",6.37
"30-01-2014",6.38
"06-02-2014",6.24
"13-02-2014",6.22
"20-02-2014",6.22
"27-02-2014",6.25
"06-03-2014",6.25
"13-03-2014",6.25
"20-03-2014",6.24
"27-03-2014",6.12
"03-04-2014",6.14
"10-04-2014",6.14
"17-04-2014",6.11
"24-04-2014",6.11
"01-05-2014",6.16
"08-05-2014",6.14
"15-05-2014",6.15
"22-05-2014",6.15
"29-05-2014",6.16
"05-06-2014",6.15
"12-06-2014",6.15
"19-06-2014",6.13
"26-06-2014",6.13
"03-07-2014",6.13
"10-07-2014",6.12
"17-07-2014",6.12
"24-07-2014",6.13
"31-07-2014",6.17
"07-08-2014",6.19
"14-08-2014",6.17
"21-08-2014",6.16
"28-08-2014",6.17
"04-09-2014",6.13
"11-09-2014",6.1
"18-09-2014",6.02
"25-09-2014",6.02
"02-10-2014",5.99
"09-10-2014",6
"16-10-2014",6
"23-10-2014",5.99
"30-10-2014",6.05
"06-11-2014",6.03
"13-11-2014",5.99
"20-11-2014",6.01
"27-11-2014",6.05
"04-12-2014",6.1
"11-12-2014",6.15
"18-12-2014",6.16
"25-12-2014",6.17
"31-12-2014",6.19
"01-01-2015",6.19
"08-01-2015",6.18
"15-01-2015",6.18
"22-01-2015",6.19
"29-01-2015",6.22
"05-02-2015",6.19
"12-02-2015",6.16
"19-02-2015",6.18
"26-02-2015",6.19
"05-03-2015",6.17
"12-03-2015",6.13
"19-03-2015",6.14
"26-03-2015",6.11
"02-04-2015",6.19
"09-04-2015",6.19
"16-04-2015",6.17
"23-04-2015",6.15
"30-04-2015",6.19
"07-05-2015",6.19
"14-05-2015",6.17
"21-05-2015",6.21
"28-05-2015",6.21
"04-06-2015",6.23
"11-06-2015",6.24
"18-06-2015",6.19
"25-06-2015",6.18
"02-07-2015",6.28
"09-07-2015",6.27
"16-07-2015",6.39
"23-07-2015",6.35
"30-07-2015",6.36
"06-08-2015",6.17
"13-08-2015",6.17
"20-08-2015",6.09
"27-08-2015",6.05
"03-09-2015",6.08
"10-09-2015",6.1
"17-09-2015",6.1
"24-09-2015",6.12
"01-10-2015",6.19
"08-10-2015",6.19
"15-10-2015",6.15
"22-10-2015",6.14
"29-10-2015",6.16
"05-11-2015",6.18
"12-11-2015",6.19
"19-11-2015",6.16
"26-11-2015",6.17
"03-12-2015",6.2
"10-12-2015",6.24
"17-12-2015",6.24
"24-12-2015",6.23
"31-12-2015",6.23
"07-01-2016",6.23
"14-01-2016",6.22
"21-01-2016",6.17
"28-01-2016",6.2
"04-02-2016",6.16
"11-02-2016",6.16
"18-02-2016",6.14
"25-02-2016",6.14
"03-03-2016",6.13
"10-03-2016",6.13
"17-03-2016",6.04
"24-03-2016",6.03
"31-03-2016",6.05
"07-04-2016",6
"14-04-2016",5.99
"21-04-2016",5.98
"28-04-2016",5.99
"05-05-2016",6.02
"12-05-2016",6
"19-05-2016",6.02
"26-05-2016",5.98
"02-06-2016",6.02
"09-06-2016",6.02
"16-06-2016",6.08
"23-06-2016",6.03
"30-06-2016",6.06
"07-07-2016",6.05
"14-07-2016",5.98
"21-07-2016",6.02
"28-07-2016",6.08
"04-08-2016",6.09
"11-08-2016",6.06
"18-08-2016",6.06
"25-08-2016",5.97
"01-09-2016",5.96
"08-09-2016",5.96
"15-09-2016",5.92
"22-09-2016",5.87
"29-09-2016",5.9
"06-10-2016",5.91
"13-10-2016",5.87
"20-10-2016",5.85
"27-10-2016",5.87
"03-11-2016",5.88
"10-11-2016",5.87
"17-11-2016",5.85
"24-11-2016",5.86
"01-12-2016",5.9
"08-12-2016",5.92
"15-12-2016",5.91
"22-12-2016",5.92
"29-12-2016",5.93
"05-01-2017",5.93
"12-01-2017",5.94
"19-01-2017",5.92
"26-01-2017",5.91
"02-02-2017",5.93
"09-02-2017",5.93
"16-02-2017",5.93
"23-02-2017",5.92
"02-03-2017",5.95
"09-03-2017",5.95
"16-03-2017",5.95
"23-03-2017",5.9
"30-03-2017",5.92
"06-04-2017",5.96
"13-04-2017",5.97
"20-04-2017",5.97
"27-04-2017",5.79
"04-05-2017",5.81
"11-05-2017",5.82
"18-05-2017",5.82
"25-05-2017",5.83
"01-06-2017",5.82
"08-06-2017",5.82
"15-06-2017",5.83
"22-06-2017",5.85
"29-06-2017",5.77
"06-07-2017",5.77
"13-07-2017",5.76
"20-07-2017",5.75
"27-07-2017",5.72
"03-08-2017",5.7
"10-08-2017",5.7
"17-08-2017",5.7
"24-08-2017",5.7
"31-08-2017",5.7
"07-09-2017",5.7
"14-09-2017",5.7
"21-09-2017",5.69
"28-09-2017",5.7
"05-10-2017",5.72
"12-10-2017",5.72
"19-10-2017",5.72
"26-10-2017",5.73
"02-11-2017",5.63
"09-11-2017",5.66
"16-11-2017",5.66
"23-11-2017",5.66
"30-11-2017",5.66
"07-12-2017",5.67
"14-12-2017",5.91
"21-12-2017",5.91
"28-12-2017",5.92
"04-01-2018",5.92
"11-01-2018",5.92
"18-01-2018",5.92
"25-01-2018",5.9
"01-02-2018",6
"08-02-2018",6
"15-02-2018",5.99
"22-02-2018",5.97
"01-03-2018",5.95
"08-03-2018",5.96
"15-03-2018",5.96
"22-03-2018",5.96
"29-03-2018",5.97
"05-04-2018",5.97
"12-04-2018",5.97
"19-04-2018",5.99
"26-04-2018",5.99
"03-05-2018",5.99
"10-05-2018",5.98
"17-05-2018",5.97
"24-05-2018",5.98
