"Fecha","Valor"
"12-11-2009",9.26
"19-11-2009",9.2
"26-11-2009",9.2
"03-12-2009",9.28
"10-12-2009",9.24
"17-12-2009",9.2
"24-12-2009",9.14
"31-12-2009",9.2
"07-01-2010",9.19
"14-01-2010",9.15
"21-01-2010",9.13
"28-01-2010",9.19
"04-02-2010",9.08
"11-02-2010",9.05
"18-02-2010",8.98
"25-02-2010",8.96
"04-03-2010",9.02
"11-03-2010",9.01
"18-03-2010",8.98
"25-03-2010",8.96
"01-04-2010",9
"08-04-2010",8.98
"15-04-2010",9.21
"22-04-2010",9.23
"29-04-2010",9.17
"06-05-2010",9.14
"13-05-2010",9.15
"20-05-2010",9.12
"27-05-2010",9.13
"03-06-2010",9.16
"10-06-2010",9.16
"17-06-2010",9.13
"24-06-2010",9.14
"01-07-2010",9.06
"08-07-2010",9.05
"15-07-2010",9.06
"22-07-2010",9.06
"29-07-2010",9.04
"05-08-2010",9.07
"12-08-2010",9.05
"19-08-2010",8.99
"26-08-2010",8.98
"02-09-2010",8.96
"09-09-2010",8.96
"16-09-2010",8.96
"23-09-2010",8.96
"30-09-2010",8.96
"07-10-2010",8.96
"14-10-2010",8.98
"21-10-2010",8.99
"28-10-2010",8.93
"04-11-2010",8.92
"11-11-2010",8.91
"18-11-2010",8.91
"25-11-2010",8.9
"02-12-2010",8.85
"09-12-2010",8.85
"16-12-2010",8.85
"23-12-2010",8.85
"30-12-2010",8.85
"06-01-2011",8.75
"13-01-2011",8.74
"20-01-2011",8.67
"27-01-2011",8.66
"03-02-2011",8.64
"10-02-2011",8.64
"17-02-2011",8.75
"24-02-2011",8.74
"03-03-2011",8.66
"10-03-2011",8.66
"17-03-2011",8.66
"24-03-2011",8.68
"31-03-2011",8.63
"07-04-2011",8.62
"14-04-2011",8.62
"21-04-2011",8.61
"28-04-2011",8.62
"05-05-2011",8.61
"12-05-2011",8.63
"19-05-2011",8.64
"26-05-2011",8.64
"02-06-2011",8.66
"09-06-2011",8.65
"16-06-2011",8.66
"23-06-2011",8.66
"30-06-2011",8.73
"07-07-2011",8.68
"14-07-2011",8.67
"21-07-2011",8.68
"28-07-2011",8.67
"04-08-2011",8.72
