"Fecha","Valor"
"12-11-2009",3.89
"19-11-2009",3.88
"26-11-2009",3.89
"03-12-2009",3.88
"10-12-2009",3.89
"17-12-2009",3.88
"24-12-2009",3.83
"31-12-2009",3.87
"07-01-2010",3.88
"14-01-2010",3.89
"21-01-2010",3.86
"28-01-2010",3.89
"04-02-2010",3.91
"11-02-2010",3.91
"18-02-2010",3.91
"25-02-2010",3.9
"04-03-2010",3.88
"11-03-2010",3.85
"18-03-2010",3.83
"25-03-2010",3.79
"01-04-2010",3.79
"08-04-2010",3.75
"15-04-2010",3.71
"22-04-2010",3.69
"29-04-2010",3.68
"06-05-2010",3.66
"13-05-2010",3.63
"20-05-2010",3.6
"27-05-2010",3.56
"03-06-2010",3.57
"10-06-2010",3.54
"17-06-2010",3.52
"24-06-2010",3.47
"01-07-2010",3.47
"08-07-2010",3.44
"15-07-2010",3.43
"22-07-2010",3.4
"29-07-2010",3.36
"05-08-2010",3.34
"12-08-2010",3.35
"19-08-2010",3.31
"26-08-2010",3.29
"02-09-2010",3.29
"09-09-2010",3.28
"16-09-2010",3.27
"23-09-2010",3.23
"30-09-2010",3.22
"07-10-2010",3.19
"14-10-2010",3.18
"21-10-2010",3.17
"28-10-2010",3.16
"04-11-2010",3.13
"11-11-2010",3.11
"18-11-2010",3.1
"25-11-2010",3.09
"02-12-2010",3.08
"09-12-2010",3.09
"16-12-2010",3.07
"23-12-2010",3.04
"30-12-2010",3.06
"06-01-2011",3.03
"13-01-2011",3.01
"20-01-2011",3.04
"27-01-2011",3.01
"03-02-2011",3.01
"10-02-2011",2.97
"17-02-2011",2.94
"24-02-2011",2.92
"03-03-2011",2.91
"10-03-2011",2.9
"17-03-2011",2.9
"24-03-2011",2.87
"31-03-2011",2.88
"07-04-2011",2.88
"14-04-2011",2.86
"21-04-2011",2.86
"28-04-2011",2.84
"05-05-2011",2.82
"12-05-2011",2.81
"19-05-2011",2.81
"26-05-2011",2.8
"02-06-2011",2.81
"09-06-2011",2.78
"16-06-2011",2.76
"23-06-2011",2.73
"30-06-2011",2.73
"07-07-2011",2.72
"14-07-2011",2.72
"21-07-2011",2.72
"28-07-2011",2.7
"04-08-2011",2.7
"11-08-2011",2.69
"18-08-2011",2.69
"25-08-2011",2.68
"01-09-2011",2.67
"08-09-2011",2.67
"15-09-2011",2.66
"22-09-2011",2.66
"29-09-2011",2.65
"06-10-2011",2.63
"13-10-2011",2.62
"20-10-2011",2.63
"27-10-2011",2.61
"03-11-2011",2.66
"10-11-2011",2.65
"17-11-2011",2.65
"24-11-2011",2.65
"01-12-2011",2.65
"08-12-2011",2.66
"15-12-2011",2.65
"22-12-2011",2.64
"29-12-2011",2.66
"05-01-2012",2.65
"12-01-2012",2.62
"19-01-2012",2.64
"26-01-2012",2.63
"02-02-2012",2.63
"09-02-2012",2.62
"16-02-2012",2.64
"23-02-2012",2.61
"01-03-2012",2.59
"08-03-2012",2.6
"15-03-2012",2.6
"22-03-2012",2.61
"29-03-2012",2.6
"05-04-2012",2.6
"12-04-2012",2.61
"19-04-2012",2.61
"26-04-2012",2.62
"03-05-2012",2.63
"10-05-2012",2.64
"17-05-2012",2.64
"24-05-2012",2.66
"31-05-2012",2.66
"07-06-2012",2.65
"14-06-2012",2.65
"21-06-2012",2.65
"28-06-2012",2.65
"05-07-2012",2.64
"12-07-2012",2.67
"19-07-2012",2.65
"26-07-2012",2.67
"02-08-2012",2.66
"09-08-2012",2.67
"16-08-2012",2.68
"23-08-2012",2.68
"30-08-2012",2.68
"06-09-2012",2.7
"13-09-2012",2.7
"20-09-2012",2.7
"27-09-2012",2.71
"04-10-2012",2.71
"11-10-2012",2.72
"18-10-2012",2.72
"25-10-2012",2.72
"01-11-2012",2.73
"08-11-2012",2.74
"15-11-2012",2.74
"22-11-2012",2.75
"29-11-2012",2.75
"06-12-2012",2.77
"13-12-2012",2.76
"20-12-2012",2.77
"27-12-2012",2.76
"03-01-2013",2.76
"10-01-2013",2.78
"17-01-2013",2.79
"24-01-2013",2.79
"31-01-2013",2.77
"07-02-2013",2.77
"14-02-2013",2.79
"21-02-2013",2.79
"28-02-2013",2.8
"07-03-2013",2.78
"14-03-2013",2.8
"21-03-2013",2.79
"28-03-2013",2.78
"04-04-2013",2.78
"11-04-2013",2.79
"18-04-2013",2.8
"25-04-2013",2.78
"02-05-2013",2.79
"09-05-2013",2.79
"16-05-2013",2.83
"23-05-2013",2.89
"30-05-2013",2.88
"06-06-2013",2.89
"13-06-2013",2.88
"20-06-2013",2.88
"27-06-2013",2.89
"04-07-2013",2.89
"11-07-2013",2.9
"18-07-2013",2.88
"25-07-2013",2.89
"01-08-2013",2.9
"08-08-2013",2.87
"15-08-2013",2.88
"22-08-2013",2.88
"29-08-2013",2.89
"05-09-2013",2.9
"12-09-2013",2.91
"19-09-2013",2.92
"26-09-2013",2.92
"03-10-2013",2.92
"10-10-2013",2.92
"17-10-2013",2.92
"24-10-2013",2.91
"31-10-2013",2.92
"07-11-2013",2.92
"14-11-2013",2.91
"21-11-2013",2.89
"28-11-2013",2.92
"05-12-2013",2.94
"12-12-2013",2.93
"19-12-2013",2.93
"26-12-2013",2.93
"02-01-2014",2.96
"09-01-2014",2.93
"16-01-2014",2.95
"23-01-2014",2.94
"30-01-2014",2.94
"06-02-2014",2.93
"13-02-2014",2.92
"20-02-2014",2.92
"27-02-2014",2.94
"06-03-2014",2.95
"13-03-2014",2.93
"20-03-2014",2.92
"27-03-2014",2.92
"03-04-2014",2.87
"10-04-2014",2.9
"17-04-2014",2.88
"24-04-2014",2.88
"01-05-2014",2.88
"08-05-2014",2.86
"15-05-2014",2.87
"22-05-2014",2.88
"29-05-2014",2.88
"05-06-2014",2.88
"12-06-2014",2.88
"19-06-2014",2.85
"26-06-2014",2.87
"03-07-2014",2.86
"10-07-2014",2.86
"17-07-2014",2.87
"24-07-2014",2.87
"31-07-2014",2.89
"07-08-2014",2.9
"14-08-2014",2.9
"21-08-2014",2.9
"28-08-2014",2.9
"04-09-2014",2.91
"11-09-2014",2.93
"18-09-2014",2.93
"25-09-2014",2.91
"02-10-2014",2.91
"09-10-2014",2.91
"16-10-2014",2.9
"23-10-2014",2.91
"30-10-2014",2.88
"06-11-2014",2.9
"13-11-2014",2.9
"20-11-2014",2.9
"27-11-2014",2.91
"04-12-2014",2.95
"11-12-2014",2.94
"18-12-2014",2.93
"25-12-2014",2.93
"31-12-2014",2.93
"01-01-2015",2.93
"08-01-2015",2.93
"15-01-2015",2.91
"22-01-2015",2.93
"29-01-2015",2.94
"05-02-2015",2.94
"12-02-2015",2.94
"19-02-2015",2.92
"26-02-2015",2.9
"05-03-2015",2.91
"12-03-2015",2.93
"19-03-2015",2.92
"26-03-2015",2.92
"02-04-2015",2.92
"09-04-2015",2.92
"16-04-2015",2.92
"23-04-2015",2.93
"30-04-2015",2.93
"07-05-2015",2.95
"14-05-2015",2.95
"21-05-2015",2.99
"28-05-2015",3
"04-06-2015",3.01
"11-06-2015",3.03
"18-06-2015",3.03
"25-06-2015",3.05
"02-07-2015",2.99
"09-07-2015",2.98
"16-07-2015",2.97
"23-07-2015",2.97
"30-07-2015",2.97
"06-08-2015",2.98
"13-08-2015",2.98
"20-08-2015",2.99
"27-08-2015",2.99
"03-09-2015",3
"10-09-2015",3.01
"17-09-2015",3
"24-09-2015",3.01
"01-10-2015",3
"08-10-2015",2.99
"15-10-2015",2.98
"22-10-2015",2.98
"29-10-2015",2.98
"05-11-2015",2.98
"12-11-2015",2.96
"19-11-2015",2.97
"26-11-2015",2.98
"03-12-2015",2.98
"10-12-2015",2.99
"17-12-2015",2.98
"24-12-2015",2.99
"31-12-2015",2.98
"07-01-2016",2.99
"14-01-2016",2.97
"21-01-2016",2.97
"28-01-2016",2.95
"04-02-2016",2.95
"11-02-2016",2.95
"18-02-2016",2.95
"25-02-2016",2.95
"03-03-2016",2.94
"10-03-2016",2.95
"17-03-2016",2.94
"24-03-2016",2.93
"31-03-2016",2.93
"07-04-2016",2.93
"14-04-2016",2.92
"21-04-2016",2.92
"28-04-2016",2.92
"05-05-2016",2.91
"12-05-2016",2.9
"19-05-2016",2.89
"26-05-2016",2.88
"02-06-2016",2.88
"09-06-2016",2.86
"16-06-2016",2.85
"23-06-2016",2.84
"30-06-2016",2.84
"07-07-2016",2.84
"14-07-2016",2.84
"21-07-2016",2.84
"28-07-2016",2.87
"04-08-2016",2.87
"11-08-2016",2.88
"18-08-2016",2.84
"25-08-2016",2.84
"01-09-2016",2.84
"08-09-2016",2.84
"15-09-2016",2.85
"22-09-2016",2.84
"29-09-2016",2.85
"06-10-2016",2.85
"13-10-2016",2.84
"20-10-2016",2.85
"27-10-2016",2.85
"03-11-2016",2.86
"10-11-2016",2.86
"17-11-2016",2.86
"24-11-2016",2.86
"01-12-2016",2.87
"08-12-2016",2.88
"15-12-2016",2.88
"22-12-2016",2.88
"29-12-2016",2.88
"05-01-2017",2.88
"12-01-2017",2.89
"19-01-2017",2.9
"26-01-2017",2.91
"02-02-2017",2.9
"09-02-2017",2.9
"16-02-2017",2.91
"23-02-2017",2.95
"02-03-2017",2.94
"09-03-2017",2.96
"16-03-2017",2.96
"23-03-2017",2.96
"30-03-2017",2.97
"06-04-2017",2.97
"13-04-2017",2.97
"20-04-2017",2.96
"27-04-2017",2.97
"04-05-2017",2.96
"11-05-2017",2.93
"18-05-2017",2.92
"25-05-2017",2.95
"01-06-2017",2.95
"08-06-2017",2.96
"15-06-2017",2.96
"22-06-2017",2.96
"29-06-2017",2.97
"06-07-2017",2.94
"13-07-2017",2.95
"20-07-2017",2.95
"27-07-2017",2.95
"03-08-2017",2.94
"10-08-2017",2.95
"17-08-2017",2.95
"24-08-2017",2.95
"31-08-2017",2.95
"07-09-2017",2.95
"14-09-2017",2.96
"21-09-2017",2.95
"28-09-2017",2.96
"05-10-2017",2.97
"12-10-2017",2.94
"19-10-2017",2.95
"26-10-2017",2.95
"02-11-2017",2.95
"09-11-2017",2.95
"16-11-2017",2.95
"23-11-2017",2.94
"30-11-2017",2.95
"07-12-2017",2.94
"14-12-2017",2.95
"21-12-2017",2.94
"28-12-2017",2.96
"04-01-2018",2.95
"11-01-2018",2.96
"18-01-2018",2.97
"25-01-2018",2.96
"01-02-2018",2.95
"08-02-2018",2.96
"15-02-2018",2.94
"22-02-2018",2.94
"01-03-2018",2.93
