"Fecha","Valor"
"12-11-2009",5.59
"19-11-2009",5.6
"26-11-2009",5.59
"03-12-2009",5.59
"10-12-2009",5.59
"17-12-2009",5.58
"24-12-2009",5.57
"31-12-2009",5.56
"07-01-2010",5.56
"14-01-2010",5.57
"21-01-2010",5.56
"28-01-2010",5.57
"04-02-2010",5.57
"11-02-2010",5.56
"18-02-2010",5.56
"25-02-2010",5.57
"04-03-2010",5.58
"11-03-2010",5.59
"18-03-2010",5.58
"25-03-2010",5.57
"01-04-2010",5.57
"08-04-2010",5.56
"15-04-2010",5.57
"22-04-2010",5.55
"29-04-2010",5.53
"06-05-2010",5.5
"13-05-2010",5.51
"20-05-2010",5.5
"27-05-2010",5.49
"03-06-2010",5.49
"10-06-2010",5.47
"17-06-2010",5.46
"24-06-2010",5.46
"01-07-2010",5.46
"08-07-2010",5.45
"15-07-2010",5.42
"22-07-2010",5.41
"29-07-2010",5.4
"05-08-2010",5.39
"12-08-2010",5.39
"19-08-2010",5.39
"26-08-2010",5.39
"02-09-2010",5.4
"09-09-2010",5.39
"16-09-2010",5.38
"23-09-2010",5.39
"30-09-2010",5.39
"07-10-2010",5.38
"14-10-2010",5.39
"21-10-2010",5.38
"28-10-2010",5.38
"04-11-2010",5.36
"11-11-2010",5.37
"18-11-2010",5.37
"25-11-2010",5.37
"02-12-2010",5.36
"09-12-2010",5.35
"16-12-2010",5.34
"23-12-2010",5.34
"30-12-2010",5.31
"06-01-2011",5.25
"13-01-2011",5.28
"20-01-2011",5.29
"27-01-2011",5.32
"03-02-2011",5.31
"10-02-2011",5.31
"17-02-2011",5.31
"24-02-2011",5.3
"03-03-2011",5.29
"10-03-2011",5.28
"17-03-2011",5.28
"24-03-2011",5.28
"31-03-2011",5.27
"07-04-2011",5.26
"14-04-2011",5.26
"21-04-2011",5.25
"28-04-2011",5.25
"05-05-2011",5.25
"12-05-2011",5.26
"19-05-2011",5.26
"26-05-2011",5.26
"02-06-2011",5.25
"09-06-2011",5.25
"16-06-2011",5.25
"23-06-2011",5.25
"30-06-2011",5.24
"07-07-2011",5.24
"14-07-2011",5.22
"21-07-2011",5.23
"28-07-2011",5.22
"04-08-2011",5.22
"11-08-2011",5.23
"18-08-2011",5.23
"25-08-2011",5.23
"01-09-2011",5.23
"08-09-2011",5.22
"15-09-2011",5.22
"22-09-2011",5.23
"29-09-2011",5.23
"06-10-2011",5.22
"13-10-2011",5.23
"20-10-2011",5.22
"27-10-2011",5.22
"03-11-2011",5.22
"10-11-2011",5.23
"17-11-2011",5.22
"24-11-2011",5.23
"01-12-2011",5.21
"08-12-2011",5.2
"15-12-2011",5.19
"22-12-2011",5.18
"29-12-2011",5.18
"05-01-2012",5.17
"12-01-2012",5.17
"19-01-2012",5.17
"26-01-2012",5.18
"02-02-2012",5.18
"09-02-2012",5.18
"16-02-2012",5.18
"23-02-2012",5.18
"01-03-2012",5.18
"08-03-2012",5.18
"15-03-2012",5.19
"22-03-2012",5.19
"29-03-2012",5.2
"05-04-2012",5.2
"12-04-2012",5.21
"19-04-2012",5.22
"26-04-2012",5.22
"03-05-2012",5.22
"10-05-2012",5.23
"17-05-2012",5.24
"24-05-2012",5.25
"31-05-2012",5.24
"07-06-2012",5.27
"14-06-2012",5.28
"21-06-2012",5.3
"28-06-2012",5.31
"05-07-2012",5.32
"12-07-2012",5.32
"19-07-2012",5.32
"26-07-2012",5.33
"02-08-2012",5.32
"09-08-2012",5.32
"16-08-2012",5.31
"23-08-2012",5.32
"30-08-2012",5.33
"06-09-2012",5.34
"13-09-2012",5.34
"20-09-2012",5.34
"27-09-2012",5.37
"04-10-2012",5.37
"11-10-2012",5.39
"18-10-2012",5.39
"25-10-2012",5.39
"01-11-2012",5.39
"08-11-2012",5.4
"15-11-2012",5.4
"22-11-2012",5.41
"29-11-2012",5.4
"06-12-2012",5.4
"13-12-2012",5.4
"20-12-2012",5.37
"27-12-2012",5.37
"03-01-2013",5.37
"10-01-2013",5.39
"17-01-2013",5.42
"24-01-2013",5.42
"31-01-2013",5.41
"07-02-2013",5.43
"14-02-2013",5.44
"21-02-2013",5.44
"28-02-2013",5.44
"07-03-2013",5.45
"14-03-2013",5.44
"21-03-2013",5.45
"28-03-2013",5.45
"04-04-2013",5.45
"11-04-2013",5.45
"18-04-2013",5.44
"25-04-2013",5.44
"02-05-2013",5.44
"09-05-2013",5.44
"16-05-2013",5.45
"23-05-2013",5.43
"30-05-2013",5.43
"06-06-2013",5.43
"13-06-2013",5.44
"20-06-2013",5.46
"27-06-2013",5.45
"04-07-2013",5.45
"11-07-2013",5.45
"18-07-2013",5.44
"25-07-2013",5.44
"01-08-2013",5.44
"08-08-2013",5.44
"15-08-2013",5.45
"22-08-2013",5.46
"29-08-2013",5.46
"05-09-2013",5.47
"12-09-2013",5.48
"19-09-2013",5.48
"26-09-2013",5.49
"03-10-2013",5.49
"10-10-2013",5.49
"17-10-2013",5.48
"24-10-2013",5.46
"31-10-2013",5.46
"07-11-2013",5.47
"14-11-2013",5.49
"21-11-2013",5.49
"28-11-2013",5.49
"05-12-2013",5.49
"12-12-2013",5.48
"19-12-2013",5.47
"26-12-2013",5.46
"02-01-2014",5.45
"09-01-2014",5.46
"16-01-2014",5.47
"23-01-2014",5.47
"30-01-2014",5.48
"06-02-2014",5.49
"13-02-2014",5.49
"20-02-2014",5.49
"27-02-2014",5.48
"06-03-2014",5.5
"13-03-2014",5.52
"20-03-2014",5.51
"27-03-2014",5.49
"03-04-2014",5.49
"10-04-2014",5.5
"17-04-2014",5.5
"24-04-2014",5.49
"01-05-2014",5.48
"08-05-2014",5.49
"15-05-2014",5.49
"22-05-2014",5.5
"29-05-2014",5.5
"05-06-2014",5.51
"12-06-2014",5.51
"19-06-2014",5.51
"26-06-2014",5.49
"03-07-2014",5.49
"10-07-2014",5.47
"17-07-2014",5.47
"24-07-2014",5.46
"31-07-2014",5.45
"07-08-2014",5.46
"14-08-2014",5.46
"21-08-2014",5.46
"28-08-2014",5.46
"04-09-2014",5.46
"11-09-2014",5.47
"18-09-2014",5.47
"25-09-2014",5.47
"02-10-2014",5.47
"09-10-2014",5.48
"16-10-2014",5.48
"23-10-2014",5.48
"30-10-2014",5.48
"06-11-2014",5.48
"13-11-2014",5.49
"20-11-2014",5.49
"27-11-2014",5.48
"04-12-2014",5.48
"11-12-2014",5.47
"18-12-2014",5.47
"25-12-2014",5.46
"31-12-2014",5.46
"01-01-2015",5.46
"08-01-2015",5.45
"15-01-2015",5.44
"22-01-2015",5.44
"29-01-2015",5.44
"05-02-2015",5.45
"12-02-2015",5.46
"19-02-2015",5.45
"26-02-2015",5.45
"05-03-2015",5.45
"12-03-2015",5.44
"19-03-2015",5.44
"26-03-2015",5.45
"02-04-2015",5.44
"09-04-2015",5.43
"16-04-2015",5.42
"23-04-2015",5.44
"30-04-2015",5.43
"07-05-2015",5.44
"14-05-2015",5.49
"21-05-2015",5.49
"28-05-2015",5.49
"04-06-2015",5.48
"11-06-2015",5.49
"18-06-2015",5.49
"25-06-2015",5.49
"02-07-2015",5.49
"09-07-2015",5.49
"16-07-2015",5.47
"23-07-2015",5.47
"30-07-2015",5.47
"06-08-2015",5.47
"13-08-2015",5.48
"20-08-2015",5.48
"27-08-2015",5.48
"03-09-2015",5.48
"10-09-2015",5.48
"17-09-2015",5.49
"24-09-2015",5.49
"01-10-2015",5.49
"08-10-2015",5.49
"15-10-2015",5.49
"22-10-2015",5.49
"29-10-2015",5.49
"05-11-2015",5.49
"12-11-2015",5.5
"19-11-2015",5.5
"26-11-2015",5.49
"03-12-2015",5.49
"10-12-2015",5.49
"17-12-2015",5.44
"24-12-2015",5.44
"31-12-2015",5.42
"07-01-2016",5.43
"14-01-2016",5.48
"21-01-2016",5.49
"28-01-2016",5.49
"04-02-2016",5.49
"11-02-2016",5.49
"18-02-2016",5.5
"25-02-2016",5.49
"03-03-2016",5.49
"10-03-2016",5.49
"17-03-2016",5.49
"24-03-2016",5.49
"31-03-2016",5.48
"07-04-2016",5.48
"14-04-2016",5.48
"21-04-2016",5.48
"28-04-2016",5.47
"05-05-2016",5.48
"12-05-2016",5.48
"19-05-2016",5.48
"26-05-2016",5.48
"02-06-2016",5.48
"09-06-2016",5.48
"16-06-2016",5.48
