"Fecha","Valor"
"12-11-2009",5.65
"19-11-2009",5.67
"26-11-2009",5.67
"03-12-2009",5.67
"10-12-2009",5.67
"17-12-2009",5.67
"24-12-2009",5.67
"31-12-2009",5.67
"07-01-2010",5.67
"14-01-2010",5.67
"21-01-2010",5.67
"28-01-2010",5.67
"04-02-2010",5.67
"11-02-2010",5.62
"18-02-2010",5.62
"25-02-2010",5.62
"04-03-2010",5.62
"11-03-2010",5.63
"18-03-2010",5.63
"25-03-2010",5.63
"01-04-2010",5.63
"08-04-2010",5.63
"15-04-2010",5.63
"22-04-2010",5.56
"29-04-2010",5.56
"06-05-2010",5.56
"13-05-2010",5.56
"20-05-2010",5.56
"27-05-2010",5.56
"03-06-2010",5.56
"10-06-2010",5.1
"17-06-2010",5.1
"24-06-2010",5.1
"01-07-2010",5.1
"08-07-2010",5.1
"15-07-2010",5.1
"22-07-2010",5.1
"29-07-2010",5.1
"05-08-2010",5.1
"12-08-2010",5.1
"19-08-2010",5.1
"26-08-2010",5.1
"02-09-2010",5.1
"09-09-2010",5.1
"16-09-2010",5.1
"23-09-2010",5.1
"30-09-2010",5.1
"07-10-2010",5.12
"14-10-2010",5.12
"21-10-2010",5.12
"28-10-2010",5.12
"04-11-2010",5.12
"11-11-2010",5.12
"18-11-2010",5.12
"25-11-2010",5.12
"02-12-2010",5.12
"09-12-2010",5.12
"16-12-2010",5.12
"23-12-2010",5.09
"30-12-2010",5.09
"06-01-2011",5.09
"13-01-2011",5.09
"20-01-2011",5.12
"27-01-2011",5.12
"03-02-2011",5.12
"10-02-2011",5.12
"17-02-2011",4.8
"24-02-2011",5.12
"03-03-2011",5.12
"10-03-2011",5.12
"17-03-2011",4.72
"24-03-2011",4.72
"31-03-2011",4.72
"07-04-2011",4.72
"14-04-2011",4.72
"21-04-2011",4.72
"28-04-2011",4.72
"05-05-2011",4.72
"12-05-2011",4.72
"19-05-2011",4.72
"26-05-2011",4.72
"02-06-2011",4.72
"09-06-2011",4.72
"16-06-2011",4.62
"23-06-2011",4.62
"30-06-2011",4.53
"07-07-2011",4.53
"14-07-2011",4.53
"21-07-2011",4.53
"28-07-2011",4.53
"04-08-2011",4.53
"11-08-2011",4.53
"18-08-2011",4.53
"25-08-2011",4.53
"01-09-2011",4.53
"08-09-2011",4.53
"15-09-2011",4.53
"22-09-2011",4.53
"29-09-2011",4.54
"06-10-2011",4.53
"13-10-2011",4.53
"20-10-2011",4.53
"27-10-2011",4.53
"03-11-2011",4.53
"10-11-2011",4.53
"17-11-2011",4.44
"24-11-2011",4.44
"01-12-2011",4.44
"08-12-2011",4.44
"15-12-2011",4.44
"22-12-2011",4.44
"29-12-2011",4.44
"05-01-2012",4.44
"12-01-2012",4.56
"19-01-2012",4.56
"26-01-2012",4.56
"02-02-2012",4.56
"09-02-2012",4.56
"16-02-2012",4.56
"23-02-2012",4.56
"01-03-2012",4.56
"08-03-2012",4.55
"15-03-2012",4.55
"22-03-2012",4.55
"29-03-2012",4.55
"05-04-2012",4.55
"12-04-2012",4.55
"19-04-2012",4.55
"26-04-2012",4.55
"03-05-2012",4.55
"10-05-2012",4.41
"17-05-2012",4.41
"24-05-2012",4.41
"31-05-2012",4.41
"07-06-2012",4.41
"14-06-2012",3.89
"21-06-2012",4.41
"28-06-2012",3.89
"05-07-2012",3.89
"12-07-2012",3.89
"19-07-2012",3.89
"26-07-2012",3.89
"02-08-2012",3.89
"09-08-2012",3.89
"16-08-2012",3.89
"23-08-2012",3.89
"30-08-2012",3.89
"06-09-2012",4.41
"13-09-2012",4.42
"20-09-2012",4.39
"27-09-2012",4.41
"04-10-2012",4.41
"11-10-2012",4.41
"18-10-2012",4.41
"25-10-2012",4.41
"01-11-2012",4.21
"08-11-2012",4.21
"15-11-2012",4.21
"22-11-2012",4.21
"29-11-2012",4.21
"06-12-2012",4.21
"13-12-2012",4.21
"20-12-2012",4.21
"27-12-2012",4.21
"03-01-2013",4.21
"10-01-2013",4.21
"17-01-2013",4.14
"24-01-2013",4.14
"31-01-2013",4.14
"07-02-2013",4.14
"14-02-2013",4.14
"21-02-2013",4.14
"28-02-2013",4.15
"07-03-2013",4.19
"14-03-2013",4.19
"21-03-2013",4.19
"28-03-2013",4.19
"04-04-2013",4.19
"11-04-2013",4.19
"18-04-2013",4.19
"25-04-2013",4.19
"02-05-2013",4.19
"09-05-2013",4.14
"16-05-2013",4.14
"23-05-2013",4.14
"30-05-2013",4.14
"06-06-2013",4.14
"13-06-2013",4.14
"20-06-2013",4.14
"27-06-2013",4.14
"04-07-2013",4.14
"11-07-2013",4.14
"18-07-2013",4.14
"25-07-2013",4.14
"01-08-2013",4.14
"08-08-2013",4.14
"15-08-2013",4.14
"22-08-2013",4.14
"29-08-2013",4.14
"05-09-2013",4.5
"12-09-2013",4.14
"19-09-2013",4.14
"26-09-2013",4.14
"03-10-2013",4.14
"10-10-2013",4.14
"17-10-2013",4.14
"24-10-2013",4.14
"31-10-2013",4.14
"07-11-2013",4.14
"14-11-2013",4.14
"21-11-2013",4.14
"28-11-2013",4.14
"05-12-2013",4.14
"12-12-2013",4.2
"19-12-2013",4.2
"26-12-2013",4.2
"02-01-2014",4.2
"09-01-2014",4.2
"16-01-2014",4.2
"23-01-2014",4.2
"30-01-2014",4.2
"06-02-2014",4.2
"13-02-2014",4.2
"20-02-2014",4.2
"27-02-2014",4.2
"06-03-2014",4
"13-03-2014",4
"20-03-2014",4
"27-03-2014",4
"03-04-2014",4
"10-04-2014",4
"17-04-2014",4
"24-04-2014",4
"01-05-2014",4
"08-05-2014",4
"15-05-2014",4
"22-05-2014",4
"29-05-2014",4
"05-06-2014",4
"12-06-2014",4
"19-06-2014",4
"26-06-2014",4
"03-07-2014",4
"10-07-2014",4
"17-07-2014",4
"24-07-2014",2.5
"31-07-2014",2.5
"07-08-2014",2.5
"14-08-2014",2.5
"21-08-2014",2.5
"28-08-2014",2.5
"04-09-2014",0
"11-09-2014",0
"18-09-2014",0
"25-09-2014",0
"02-10-2014",0
"09-10-2014",0
"16-10-2014",0
"23-10-2014",0
"30-10-2014",0
"06-11-2014",0
"13-11-2014",0
"20-11-2014",0
"27-11-2014",0
"04-12-2014",0
"11-12-2014",0
"18-12-2014",0
"25-12-2014",0
"31-12-2014",0
"01-01-2015",0
"08-01-2015",0
"15-01-2015",0
"22-01-2015",0
"29-01-2015",0
"05-02-2015",0
"12-02-2015",0
"19-02-2015",0
"26-02-2015",0
"05-03-2015",0
"12-03-2015",0
"19-03-2015",0
"26-03-2015",0
"02-04-2015",0
"09-04-2015",0
"16-04-2015",0
"23-04-2015",0
"30-04-2015",0
"07-05-2015",0
"14-05-2015",0
"21-05-2015",0
"28-05-2015",0
"04-06-2015",0
"11-06-2015",0
"18-06-2015",0
"25-06-2015",0
"02-07-2015",0
"09-07-2015",0
"16-07-2015",0
"23-07-2015",0
"30-07-2015",0
"06-08-2015",0
"13-08-2015",0
"20-08-2015",0
"27-08-2015",0
"03-09-2015",0
"10-09-2015",0
"17-09-2015",0
"24-09-2015",0
"01-10-2015",0
"08-10-2015",0
"15-10-2015",0
"22-10-2015",0
"29-10-2015",0
"05-11-2015",0
"12-11-2015",0
"19-11-2015",0
"26-11-2015",0
"03-12-2015",0
"10-12-2015",0
"17-12-2015",0
"24-12-2015",0
"31-12-2015",0
"07-01-2016",0
"14-01-2016",0
"21-01-2016",0
"28-01-2016",0
"04-02-2016",0
"11-02-2016",0
"18-02-2016",0
"25-02-2016",0
"03-03-2016",0
"10-03-2016",0
"17-03-2016",0
"24-03-2016",0
"31-03-2016",0
"07-04-2016",0
"14-04-2016",0
"21-04-2016",0
"28-04-2016",0
"05-05-2016",0
"12-05-2016",0
"19-05-2016",0
"26-05-2016",0
"02-06-2016",0
"09-06-2016",0
"16-06-2016",0
"23-06-2016",0
"30-06-2016",0
"07-07-2016",0
"14-07-2016",0
"21-07-2016",0
"28-07-2016",0
"04-08-2016",0
"11-08-2016",0
"18-08-2016",0
"25-08-2016",0
"01-09-2016",0
"08-09-2016",0
"15-09-2016",0
"22-09-2016",0
"29-09-2016",0
"06-10-2016",0
"13-10-2016",0
"20-10-2016",0
"27-10-2016",0
"03-11-2016",0
"10-11-2016",0
"17-11-2016",0
"24-11-2016",0
"01-12-2016",0
"08-12-2016",0
"15-12-2016",0
"22-12-2016",0
"29-12-2016",0
"05-01-2017",0
"12-01-2017",0
"19-01-2017",0
"26-01-2017",0
"02-02-2017",0
"09-02-2017",0
"16-02-2017",0
"23-02-2017",0
"02-03-2017",0
"09-03-2017",0
"16-03-2017",0
"23-03-2017",0
"30-03-2017",0
"06-04-2017",0
"13-04-2017",0
"20-04-2017",0
"27-04-2017",0
"04-05-2017",0
"11-05-2017",0
"18-05-2017",0
"25-05-2017",0
"01-06-2017",0
"08-06-2017",0
"15-06-2017",0
"22-06-2017",0
"29-06-2017",0
"06-07-2017",0
"13-07-2017",0
"20-07-2017",0
"27-07-2017",0
"03-08-2017",0
"10-08-2017",0
"17-08-2017",0
"24-08-2017",0
"31-08-2017",0
"07-09-2017",0
"14-09-2017",0
"21-09-2017",0
"28-09-2017",0
"05-10-2017",0
"12-10-2017",0
"19-10-2017",0
"26-10-2017",0
"02-11-2017",0
"09-11-2017",0
