"Fecha","Valor"
"12-11-2009",8.36
"19-11-2009",8.33
"26-11-2009",8.33
"03-12-2009",8.33
"10-12-2009",8.33
"17-12-2009",8.36
"24-12-2009",8.35
"31-12-2009",8.35
"07-01-2010",8.35
"14-01-2010",8.35
"21-01-2010",8.34
"28-01-2010",8.36
"04-02-2010",8.36
"11-02-2010",8.36
"18-02-2010",8.34
"25-02-2010",8.33
"04-03-2010",8.26
"11-03-2010",8.24
"18-03-2010",8.24
"25-03-2010",8.24
"01-04-2010",8.24
"08-04-2010",8.17
"15-04-2010",8.17
"22-04-2010",8.14
"29-04-2010",8.12
"06-05-2010",8.11
"13-05-2010",8.1
"20-05-2010",8.1
"27-05-2010",8.09
"03-06-2010",8.07
"10-06-2010",8.06
"17-06-2010",8.07
"24-06-2010",8.07
"01-07-2010",8.07
"08-07-2010",8.08
"15-07-2010",8.08
"22-07-2010",8.08
"29-07-2010",8.09
"05-08-2010",8.1
"12-08-2010",8.1
"19-08-2010",8.06
"26-08-2010",7.99
"02-09-2010",7.99
"09-09-2010",7.97
"16-09-2010",7.97
"23-09-2010",7.96
"30-09-2010",7.95
"07-10-2010",7.94
"14-10-2010",7.94
"21-10-2010",7.94
"28-10-2010",7.93
"04-11-2010",7.93
"11-11-2010",7.92
"18-11-2010",7.92
"25-11-2010",7.89
"02-12-2010",7.9
"09-12-2010",7.92
"16-12-2010",7.92
"23-12-2010",7.9
"30-12-2010",7.9
"06-01-2011",7.9
"13-01-2011",7.9
"20-01-2011",7.91
"27-01-2011",7.91
"03-02-2011",7.86
"10-02-2011",7.86
"17-02-2011",7.83
"24-02-2011",7.84
"03-03-2011",7.83
"10-03-2011",7.83
"17-03-2011",7.8
"24-03-2011",7.8
"31-03-2011",7.79
"07-04-2011",7.7
"14-04-2011",7.7
"21-04-2011",7.69
"28-04-2011",7.7
"05-05-2011",7.7
"12-05-2011",7.7
"19-05-2011",7.7
"26-05-2011",7.7
"02-06-2011",7.69
"09-06-2011",7.69
"16-06-2011",7.59
"23-06-2011",7.58
"30-06-2011",7.57
"07-07-2011",7.54
"14-07-2011",7.54
"21-07-2011",7.54
"28-07-2011",7.54
"04-08-2011",7.54
"11-08-2011",7.58
"18-08-2011",7.58
"25-08-2011",7.58
"01-09-2011",7.58
"08-09-2011",7.58
"15-09-2011",7.58
"22-09-2011",7.58
"29-09-2011",7.57
"06-10-2011",7.53
"13-10-2011",7.53
"20-10-2011",7.53
"27-10-2011",7.53
"03-11-2011",7.53
"10-11-2011",7.52
"17-11-2011",7.52
"24-11-2011",7.52
"01-12-2011",7.53
"08-12-2011",7.53
"15-12-2011",7.55
"22-12-2011",7.55
"29-12-2011",7.55
"05-01-2012",7.56
"12-01-2012",7.56
"19-01-2012",7.56
"26-01-2012",7.57
"02-02-2012",7.57
"09-02-2012",7.57
"16-02-2012",7.57
"23-02-2012",7.56
"01-03-2012",7.57
"08-03-2012",7.57
"15-03-2012",7.56
"22-03-2012",7.58
"29-03-2012",7.58
"05-04-2012",7.58
"12-04-2012",7.54
"19-04-2012",7.54
"26-04-2012",7.54
"03-05-2012",7.54
"10-05-2012",7.54
"17-05-2012",7.54
"24-05-2012",7.54
"31-05-2012",7.54
"07-06-2012",7.55
"14-06-2012",7.55
"21-06-2012",7.58
"28-06-2012",7.58
"05-07-2012",7.58
"12-07-2012",7.59
"19-07-2012",7.59
"26-07-2012",7.6
"02-08-2012",7.59
"09-08-2012",7.6
"16-08-2012",7.65
"23-08-2012",7.66
"30-08-2012",7.66
"06-09-2012",7.66
"13-09-2012",7.66
"20-09-2012",7.66
"27-09-2012",7.75
"04-10-2012",7.75
"11-10-2012",7.75
"18-10-2012",7.74
"25-10-2012",7.75
"01-11-2012",7.75
"08-11-2012",7.75
"15-11-2012",7.75
"22-11-2012",7.75
"29-11-2012",7.75
"06-12-2012",7.75
"13-12-2012",7.75
"20-12-2012",7.75
"27-12-2012",7.77
"03-01-2013",7.77
"10-01-2013",7.77
"17-01-2013",7.77
"24-01-2013",7.77
"31-01-2013",7.77
"07-02-2013",7.77
"14-02-2013",7.77
"21-02-2013",7.77
"28-02-2013",7.78
"07-03-2013",7.77
"14-03-2013",7.77
"21-03-2013",7.77
"28-03-2013",7.77
"04-04-2013",7.77
"11-04-2013",7.77
"18-04-2013",7.77
"25-04-2013",7.75
"02-05-2013",7.75
"09-05-2013",7.76
"16-05-2013",7.76
"23-05-2013",7.76
"30-05-2013",7.76
"06-06-2013",7.76
"13-06-2013",7.76
"20-06-2013",7.75
"27-06-2013",7.74
"04-07-2013",7.74
"11-07-2013",7.74
"18-07-2013",7.74
"25-07-2013",7.74
"01-08-2013",7.75
"08-08-2013",7.75
"15-08-2013",7.82
"22-08-2013",7.82
"29-08-2013",7.82
