"Fecha","Valor"
"31-10-2009",3.97
"30-11-2009",3.9
"31-12-2009",3.88
"31-01-2010",3.9
"28-02-2010",3.92
"31-03-2010",3.8
"30-04-2010",3.69
"31-05-2010",3.58
"30-06-2010",3.48
"31-07-2010",3.38
"31-08-2010",3.31
"30-09-2010",3.23
"31-10-2010",3.18
"30-11-2010",3.11
"31-12-2010",3.08
"31-01-2011",3.03
"28-02-2011",2.93
"31-03-2011",2.9
"30-04-2011",2.85
"31-05-2011",2.81
"30-06-2011",2.74
"31-07-2011",2.71
"31-08-2011",2.69
"30-09-2011",2.66
"31-10-2011",2.63
"30-11-2011",2.66
"31-12-2011",2.67
"31-01-2012",2.64
"29-02-2012",2.61
"31-03-2012",2.61
"30-04-2012",2.63
"31-05-2012",2.67
"30-06-2012",2.66
"31-07-2012",2.68
"31-08-2012",2.69
"30-09-2012",2.72
"31-10-2012",2.73
"30-11-2012",2.76
"31-12-2012",2.77
"31-01-2013",2.78
"28-02-2013",2.8
"31-03-2013",2.79
"30-04-2013",2.79
"31-05-2013",2.89
"30-06-2013",2.89
"31-07-2013",2.9
"31-08-2013",2.89
"30-09-2013",2.92
"31-10-2013",2.92
"30-11-2013",2.93
"31-12-2013",2.94
"31-01-2014",2.94
"28-02-2014",2.95
"31-03-2014",2.92
"30-04-2014",2.88
"31-05-2014",2.88
"30-06-2014",2.87
"31-07-2014",2.89
"31-08-2014",2.9
"30-09-2014",2.91
"31-10-2014",2.88
"30-11-2014",2.91
"31-12-2014",2.93
"31-01-2015",2.94
"28-02-2015",2.9
"31-03-2015",2.92
"30-04-2015",2.93
"31-05-2015",3
"30-06-2015",3.05
"31-07-2015",2.97
"31-08-2015",2.99
"30-09-2015",3
"31-10-2015",2.98
"30-11-2015",2.98
"31-12-2015",2.98
"31-01-2016",2.95
"29-02-2016",2.95
"31-03-2016",2.93
"30-04-2016",2.92
"31-05-2016",2.88
"30-06-2016",2.84
"31-07-2016",2.87
"31-08-2016",2.84
"30-09-2016",2.85
"31-10-2016",2.85
"30-11-2016",2.87
"31-12-2016",2.88
"31-01-2017",2.91
"28-02-2017",2.95
"31-03-2017",2.97
"30-04-2017",2.97
"31-05-2017",2.95
"30-06-2017",2.97
"31-07-2017",2.95
"31-08-2017",2.95
"30-09-2017",2.96
"31-10-2017",2.95
"30-11-2017",2.95
"31-12-2017",2.96
"31-01-2018",2.96
"28-02-2018",2.94
"31-03-2018",3.03
"30-04-2018",3.05
"31-05-2018",3.01
"30-06-2018",3.07
"31-07-2018",3.08
"31-08-2018",3.07
"30-09-2018",3.13
"31-10-2018",3.14
"30-11-2018",3.15
"31-12-2018",3.14
"31-01-2019",3.16
"28-02-2019",3.15
"31-03-2019",3.12
"30-04-2019",3.14
"31-05-2019",3.17
"30-06-2019",3.19
"31-07-2019",3.19
"31-08-2019",3.19
"30-09-2019",3.16
"31-10-2019",3.16
"30-11-2019",3.21
"31-12-2019",3.2
"31-01-2020",3.21
"29-02-2020",3.21
"31-03-2020",3.14
"30-04-2020",3.09
"31-05-2020",3.07
"30-06-2020",3.05
"31-07-2020",2.99
"31-08-2020",2.8
"30-09-2020",2.8
"31-10-2020",2.81
"30-11-2020",2.8
"31-12-2020",2.66
"31-01-2021",2.61
"28-02-2021",2.6
"31-03-2021",2.61
"30-04-2021",2.55
"31-05-2021",2.48
"30-06-2021",2.49
"31-07-2021",2.45
"31-08-2021",2.45
"30-09-2021",2.5
"31-10-2021",2.48
"30-11-2021",2.5
"31-12-2021",2.55
"31-01-2022",2.51
"28-02-2022",2.57
"31-03-2022",2.59
"30-04-2022",2.55
"31-05-2022",2.57
"30-06-2022",2.64
"31-07-2022",2.64
"31-08-2022",2.7
"30-09-2022",2.81
"31-10-2022",2.82
"30-11-2022",2.87
"31-12-2022",2.93
"31-01-2023",3
"28-02-2023",3.06
"31-03-2023",3.11
"30-04-2023",3.16
"31-05-2023",3.21
"30-06-2023",3.29
"31-07-2023",3.33
"31-08-2023",3.42
"30-09-2023",3.46
"31-10-2023",3.47
"30-11-2023",3.53
"31-12-2023",3.56
"31-01-2024",3.56
"29-02-2024",3.63
"31-03-2024",3.68
"30-04-2024",3.77
"31-05-2024",3.81
"30-06-2024",3.83
"31-07-2024",3.86
"31-08-2024",3.92
"30-09-2024",3.97
"31-10-2024",4.01
