"Fecha","Valor"
"31-10-2009",5.66
"30-11-2009",5.65
"31-12-2009",5.61
"31-01-2010",5.62
"28-02-2010",5.62
"31-03-2010",5.62
"30-04-2010",5.58
"31-05-2010",5.53
"30-06-2010",5.5
"31-07-2010",5.44
"31-08-2010",5.42
"30-09-2010",5.42
"31-10-2010",5.41
"30-11-2010",5.4
"31-12-2010",5.34
"31-01-2011",5.35
"28-02-2011",5.33
"31-03-2011",5.3
"30-04-2011",5.27
"31-05-2011",5.28
"30-06-2011",5.26
"31-07-2011",5.24
"31-08-2011",5.25
"30-09-2011",5.24
"31-10-2011",5.24
"30-11-2011",5.23
"31-12-2011",5.19
"31-01-2012",5.2
"29-02-2012",5.2
"31-03-2012",5.21
"30-04-2012",5.23
"31-05-2012",5.25
"30-06-2012",5.32
"31-07-2012",5.34
"31-08-2012",5.34
"30-09-2012",5.38
"31-10-2012",5.4
"30-11-2012",5.41
"31-12-2012",5.38
"31-01-2013",5.42
"28-02-2013",5.45
"31-03-2013",5.46
"30-04-2013",5.45
"31-05-2013",5.44
"30-06-2013",5.46
"31-07-2013",5.45
"31-08-2013",5.47
"30-09-2013",5.5
"31-10-2013",5.47
"30-11-2013",5.5
"31-12-2013",5.46
"31-01-2014",5.49
"28-02-2014",5.49
"31-03-2014",5.5
"30-04-2014",5.49
"31-05-2014",5.51
"30-06-2014",5.5
"31-07-2014",5.46
"31-08-2014",5.46
"30-09-2014",5.48
"31-10-2014",5.49
"30-11-2014",5.49
"31-12-2014",5.46
"31-01-2015",5.45
"28-02-2015",5.45
"31-03-2015",5.45
"30-04-2015",5.43
"31-05-2015",5.49
"30-06-2015",5.5
"31-07-2015",5.48
"31-08-2015",5.48
"30-09-2015",5.49
"31-10-2015",5.49
"30-11-2015",5.5
"31-12-2015",5.43
"31-01-2016",5.5
"29-02-2016",5.5
"31-03-2016",5.49
"30-04-2016",5.48
"31-05-2016",5.48
"30-06-2016",5.46
"31-07-2016",5.46
"31-08-2016",5.48
"30-09-2016",5.48
"31-10-2016",5.49
"30-11-2016",5.48
"31-12-2016",5.44
"31-01-2017",5.45
"28-02-2017",5.45
"31-03-2017",5.44
"30-04-2017",5.42
"31-05-2017",5.41
"30-06-2017",5.4
"31-07-2017",5.37
"31-08-2017",5.35
"30-09-2017",5.35
"31-10-2017",5.33
"30-11-2017",5.32
"31-12-2017",5.28
"31-01-2018",5.27
"28-02-2018",5.27
"31-03-2018",5.25
"30-04-2018",5.25
"31-05-2018",5.22
"30-06-2018",5.21
"31-07-2018",5.17
"31-08-2018",5.15
"30-09-2018",5.13
"31-10-2018",5.11
"30-11-2018",5.09
"31-12-2018",5.05
"31-01-2019",5.05
"28-02-2019",5.03
"31-03-2019",5.02
"30-04-2019",5.01
"31-05-2019",5.1
"30-06-2019",5.08
"31-07-2019",5.03
"31-08-2019",5
"30-09-2019",4.99
"31-10-2019",4.96
"30-11-2019",4.95
"31-12-2019",4.91
"31-01-2020",4.87
"29-02-2020",4.84
"31-03-2020",4.82
"30-04-2020",4.74
"31-05-2020",4.73
"30-06-2020",4.68
"31-07-2020",4.6
"31-08-2020",4.56
"30-09-2020",4.51
"31-10-2020",4.46
"30-11-2020",4.42
"31-12-2020",4.35
"31-01-2021",4.32
"28-02-2021",4.29
"31-03-2021",4.25
"30-04-2021",4.22
"31-05-2021",4.19
"30-06-2021",4.15
"31-07-2021",4.09
"31-08-2021",4.07
"30-09-2021",4.04
"31-10-2021",4.03
"30-11-2021",4.02
"31-12-2021",3.99
"31-01-2022",3.95
"28-02-2022",3.95
"31-03-2022",3.91
"30-04-2022",3.9
"31-05-2022",3.89
"30-06-2022",3.88
"31-07-2022",3.87
"31-08-2022",3.88
"30-09-2022",3.88
"31-10-2022",3.9
"30-11-2022",3.93
"31-12-2022",3.95
"31-01-2023",3.99
"28-02-2023",4.02
"31-03-2023",4.07
"30-04-2023",4.09
"31-05-2023",4.13
"30-06-2023",4.17
"31-07-2023",4.18
"31-08-2023",4.24
"30-09-2023",4.32
"31-10-2023",4.38
"30-11-2023",4.44
"31-12-2023",4.5
"31-01-2024",4.59
"29-02-2024",4.67
"31-03-2024",4.72
"30-04-2024",4.82
"31-05-2024",4.88
"30-06-2024",4.95
"31-07-2024",4.97
"31-08-2024",5.03
"30-09-2024",5.1
"31-10-2024",5.16
