"Fecha","Valor"
"12-11-2009",8.09
"19-11-2009",8.09
"26-11-2009",8.08
"03-12-2009",8.06
"10-12-2009",8.05
"17-12-2009",8.03
"24-12-2009",8.11
"31-12-2009",8.11
"07-01-2010",8.11
"14-01-2010",8.11
"21-01-2010",8.1
"28-01-2010",8.1
"04-02-2010",8.07
"11-02-2010",8.07
"18-02-2010",8.08
"25-02-2010",8.08
"04-03-2010",8.06
"11-03-2010",8.04
"18-03-2010",8.03
"25-03-2010",7.99
"01-04-2010",7.97
"08-04-2010",7.93
"15-04-2010",7.93
"22-04-2010",7.92
"29-04-2010",7.89
"06-05-2010",7.88
"13-05-2010",7.88
"20-05-2010",7.88
"27-05-2010",7.87
"03-06-2010",7.85
"10-06-2010",7.85
"17-06-2010",7.84
"24-06-2010",7.83
"01-07-2010",7.81
"08-07-2010",7.79
"15-07-2010",7.78
"22-07-2010",7.74
"29-07-2010",7.72
"05-08-2010",7.71
"12-08-2010",7.67
"19-08-2010",7.63
"26-08-2010",7.61
"02-09-2010",7.58
"09-09-2010",7.54
"16-09-2010",7.52
"23-09-2010",7.5
"30-09-2010",7.49
"07-10-2010",7.47
"14-10-2010",7.45
"21-10-2010",7.43
"28-10-2010",7.39
"04-11-2010",7.35
"11-11-2010",7.33
"18-11-2010",7.29
"25-11-2010",7.27
"02-12-2010",7.24
"09-12-2010",7.2
"16-12-2010",7.18
"23-12-2010",7.17
"30-12-2010",7.12
"06-01-2011",7.11
"13-01-2011",7.09
"20-01-2011",7.08
"27-01-2011",7.04
"03-02-2011",6.98
"10-02-2011",6.93
"17-02-2011",6.93
"24-02-2011",6.91
"03-03-2011",6.88
"10-03-2011",6.87
"17-03-2011",6.87
"24-03-2011",6.87
"31-03-2011",6.85
"07-04-2011",6.81
"14-04-2011",6.81
"21-04-2011",6.79
"28-04-2011",6.77
"05-05-2011",6.75
"12-05-2011",6.74
"19-05-2011",6.72
"26-05-2011",6.73
"02-06-2011",6.72
"09-06-2011",6.72
"16-06-2011",6.68
"23-06-2011",6.66
"30-06-2011",6.64
"07-07-2011",6.64
"14-07-2011",6.63
"21-07-2011",6.61
"28-07-2011",6.58
"04-08-2011",6.62
"11-08-2011",6.54
"18-08-2011",6.5
"25-08-2011",6.47
"01-09-2011",6.48
"08-09-2011",6.47
"15-09-2011",6.48
"22-09-2011",6.44
"29-09-2011",6.43
"06-10-2011",6.42
"13-10-2011",6.42
"20-10-2011",6.41
"27-10-2011",6.4
"03-11-2011",6.37
"10-11-2011",6.39
"17-11-2011",6.37
"24-11-2011",6.36
"01-12-2011",6.35
"08-12-2011",6.34
"15-12-2011",6.32
"22-12-2011",6.31
"29-12-2011",6.29
"05-01-2012",6.3
"12-01-2012",6.31
"19-01-2012",6.33
"26-01-2012",6.32
"02-02-2012",6.32
"09-02-2012",6.31
"16-02-2012",6.31
"23-02-2012",6.32
"01-03-2012",6.31
"08-03-2012",6.31
"15-03-2012",6.31
"22-03-2012",6.3
"29-03-2012",6.29
"05-04-2012",6.33
"12-04-2012",6.33
"19-04-2012",6.32
"26-04-2012",6.32
"03-05-2012",6.3
"10-05-2012",6.3
"17-05-2012",6.3
"24-05-2012",6.3
"31-05-2012",6.3
"07-06-2012",6.3
"14-06-2012",6.3
"21-06-2012",6.31
"28-06-2012",6.3
"05-07-2012",6.29
"12-07-2012",6.26
"19-07-2012",6.25
"26-07-2012",6.22
"02-08-2012",6.21
"09-08-2012",6.2
"16-08-2012",6.2
"23-08-2012",6.2
"30-08-2012",6.19
"06-09-2012",6.19
"13-09-2012",6.19
"20-09-2012",6.19
"27-09-2012",6.17
"04-10-2012",6.18
"11-10-2012",6.18
"18-10-2012",6.17
"25-10-2012",6.17
"01-11-2012",6.17
"08-11-2012",6.2
"15-11-2012",6.2
"22-11-2012",6.21
"29-11-2012",6.19
"06-12-2012",6.2
"13-12-2012",6.2
"20-12-2012",6.19
"27-12-2012",6.19
"03-01-2013",6.2
"10-01-2013",6.19
"17-01-2013",6.19
"24-01-2013",6.17
"31-01-2013",6.18
"07-02-2013",6.18
"14-02-2013",6.18
"21-02-2013",6.17
"28-02-2013",6.16
"07-03-2013",6.16
"14-03-2013",6.15
"21-03-2013",6.15
"28-03-2013",6.15
"04-04-2013",6.15
"11-04-2013",6.14
"18-04-2013",6.14
"25-04-2013",6.14
"02-05-2013",6.13
"09-05-2013",6.12
"16-05-2013",6.12
"23-05-2013",6.12
"30-05-2013",6.09
"06-06-2013",6.08
"13-06-2013",6.09
"20-06-2013",6.1
"27-06-2013",6.09
"04-07-2013",6.08
"11-07-2013",6.09
"18-07-2013",6.1
"25-07-2013",6.1
"01-08-2013",6.08
"08-08-2013",6.07
"15-08-2013",6.07
"22-08-2013",6.07
"29-08-2013",6.07
"05-09-2013",6.11
"12-09-2013",6.1
"19-09-2013",6.1
"26-09-2013",6.09
"03-10-2013",6.09
"10-10-2013",6.07
"17-10-2013",6.06
"24-10-2013",6.05
"31-10-2013",6.07
