"Fecha","Valor"
"12-11-2009",13.77
"19-11-2009",13.77
"26-11-2009",13.73
"03-12-2009",13.73
"10-12-2009",13.72
"17-12-2009",13.7
"24-12-2009",13.64
"31-12-2009",13.62
"07-01-2010",13.61
"14-01-2010",13.62
"21-01-2010",13.59
"28-01-2010",13.57
"04-02-2010",13.55
"11-02-2010",13.56
"18-02-2010",13.6
"25-02-2010",13.56
"04-03-2010",13.55
"11-03-2010",13.56
"18-03-2010",13.55
"25-03-2010",13.53
"01-04-2010",13.53
"08-04-2010",13.51
"15-04-2010",13.49
"22-04-2010",13.49
"29-04-2010",13.47
"06-05-2010",13.44
"13-05-2010",13.45
"20-05-2010",13.46
"27-05-2010",13.41
"03-06-2010",13.41
"10-06-2010",13.42
"17-06-2010",13.4
"24-06-2010",13.41
"01-07-2010",13.38
"08-07-2010",13.36
"15-07-2010",13.35
"22-07-2010",13.35
"29-07-2010",13.34
"05-08-2010",13.34
"12-08-2010",13.33
"19-08-2010",13.32
"26-08-2010",13.32
"02-09-2010",13.32
"09-09-2010",13.3
"16-09-2010",13.3
"23-09-2010",13.32
"30-09-2010",13.33
"07-10-2010",13.3
"14-10-2010",13.3
"21-10-2010",13.29
"28-10-2010",13.26
"04-11-2010",13.26
"11-11-2010",13.27
"18-11-2010",13.28
"25-11-2010",13.27
"02-12-2010",13.25
"09-12-2010",13.26
"16-12-2010",13.29
"23-12-2010",13.28
"30-12-2010",13.31
"06-01-2011",13.32
"13-01-2011",13.34
"20-01-2011",13.34
"27-01-2011",13.34
"03-02-2011",13.37
"10-02-2011",13.38
"17-02-2011",13.38
"24-02-2011",13.43
"03-03-2011",13.43
"10-03-2011",13.43
"17-03-2011",13.45
"24-03-2011",13.43
"31-03-2011",13.43
"07-04-2011",13.42
"14-04-2011",13.45
"21-04-2011",13.49
"28-04-2011",13.5
"05-05-2011",13.4
"12-05-2011",13.43
"19-05-2011",13.47
"26-05-2011",13.43
"02-06-2011",13.43
"09-06-2011",13.43
"16-06-2011",13.46
"23-06-2011",13.45
"30-06-2011",13.44
"07-07-2011",13.43
"14-07-2011",13.44
"21-07-2011",13.44
"28-07-2011",13.43
"04-08-2011",13.46
"11-08-2011",13.46
"18-08-2011",13.46
"25-08-2011",13.51
"01-09-2011",13.54
"08-09-2011",13.54
"15-09-2011",13.55
"22-09-2011",13.57
"29-09-2011",13.56
"06-10-2011",13.58
"13-10-2011",13.59
"20-10-2011",13.59
"27-10-2011",13.59
"03-11-2011",13.61
"10-11-2011",13.61
"17-11-2011",13.62
"24-11-2011",13.62
"01-12-2011",13.6
"08-12-2011",13.57
"15-12-2011",13.56
"22-12-2011",13.54
"29-12-2011",13.57
"05-01-2012",13.59
"12-01-2012",13.61
"19-01-2012",13.62
"26-01-2012",13.63
"02-02-2012",13.62
"09-02-2012",13.6
"16-02-2012",13.62
"23-02-2012",13.55
"01-03-2012",13.53
"08-03-2012",13.53
"15-03-2012",13.57
"22-03-2012",13.52
"29-03-2012",13.46
"05-04-2012",13.46
"12-04-2012",13.47
"19-04-2012",13.47
"26-04-2012",13.48
"03-05-2012",13.48
"10-05-2012",13.49
"17-05-2012",13.49
"24-05-2012",13.49
"31-05-2012",13.5
"07-06-2012",13.5
"14-06-2012",13.52
"21-06-2012",13.54
"28-06-2012",13.53
"05-07-2012",13.54
"12-07-2012",13.53
"19-07-2012",13.57
"26-07-2012",13.58
"02-08-2012",13.53
"09-08-2012",13.53
"16-08-2012",13.54
"23-08-2012",13.55
"30-08-2012",13.55
"06-09-2012",13.57
"13-09-2012",13.59
"20-09-2012",13.59
"27-09-2012",13.59
"04-10-2012",13.6
"11-10-2012",13.61
"18-10-2012",13.63
"25-10-2012",13.65
"01-11-2012",13.64
"08-11-2012",13.63
"15-11-2012",13.63
"22-11-2012",13.64
"29-11-2012",13.61
"06-12-2012",13.61
"13-12-2012",13.58
"20-12-2012",13.55
"27-12-2012",13.53
"03-01-2013",13.53
"10-01-2013",13.57
"17-01-2013",13.58
"24-01-2013",13.6
"31-01-2013",13.57
"07-02-2013",13.58
"14-02-2013",13.58
"21-02-2013",13.57
"28-02-2013",13.56
"07-03-2013",13.56
"14-03-2013",13.57
"21-03-2013",13.56
"28-03-2013",13.56
"04-04-2013",13.57
"11-04-2013",13.58
"18-04-2013",13.58
"25-04-2013",13.59
"02-05-2013",13.58
"09-05-2013",13.59
"16-05-2013",13.6
"23-05-2013",13.62
"30-05-2013",13.64
"06-06-2013",13.66
"13-06-2013",13.69
"20-06-2013",13.69
"27-06-2013",13.68
"04-07-2013",13.68
"11-07-2013",13.67
"18-07-2013",13.68
"25-07-2013",13.68
"01-08-2013",13.68
"08-08-2013",13.69
"15-08-2013",13.7
"22-08-2013",13.71
"29-08-2013",13.68
"05-09-2013",13.69
"12-09-2013",13.7
"19-09-2013",13.7
"26-09-2013",13.69
"03-10-2013",13.7
"10-10-2013",13.71
"17-10-2013",13.72
"24-10-2013",13.72
"31-10-2013",13.72
"07-11-2013",13.72
"14-11-2013",13.73
"21-11-2013",13.75
"28-11-2013",13.74
"05-12-2013",13.76
"12-12-2013",13.77
"19-12-2013",13.78
"26-12-2013",13.76
"02-01-2014",13.81
"09-01-2014",13.85
"16-01-2014",13.86
"23-01-2014",13.86
"30-01-2014",13.84
"06-02-2014",13.87
"13-02-2014",13.89
"20-02-2014",13.9
"27-02-2014",13.89
"06-03-2014",13.86
"13-03-2014",13.87
"20-03-2014",13.86
"27-03-2014",13.86
"03-04-2014",13.86
"10-04-2014",13.85
"17-04-2014",13.87
"24-04-2014",13.87
"01-05-2014",13.84
"08-05-2014",13.85
"15-05-2014",13.87
"22-05-2014",13.88
"29-05-2014",13.88
"05-06-2014",13.87
"12-06-2014",13.89
"19-06-2014",13.91
"26-06-2014",13.9
"03-07-2014",13.91
"10-07-2014",13.93
"17-07-2014",13.92
"24-07-2014",13.93
"31-07-2014",13.93
"07-08-2014",13.9
"14-08-2014",13.89
"21-08-2014",13.89
"28-08-2014",13.79
"04-09-2014",13.78
"11-09-2014",13.8
"18-09-2014",13.79
"25-09-2014",13.78
"02-10-2014",13.79
"09-10-2014",13.79
"16-10-2014",13.79
"23-10-2014",13.78
"30-10-2014",13.78
"06-11-2014",13.76
"13-11-2014",13.78
"20-11-2014",13.76
"27-11-2014",13.74
"04-12-2014",13.73
"11-12-2014",13.7
"18-12-2014",13.7
"25-12-2014",13.69
"31-12-2014",13.69
"01-01-2015",13.69
"08-01-2015",13.69
"15-01-2015",13.68
"22-01-2015",13.65
"29-01-2015",13.65
"05-02-2015",13.62
"12-02-2015",13.59
"19-02-2015",13.57
"26-02-2015",13.52
"05-03-2015",13.49
"12-03-2015",13.47
"19-03-2015",13.45
"26-03-2015",13.41
"02-04-2015",13.4
"09-04-2015",13.38
"16-04-2015",13.37
"23-04-2015",13.36
"30-04-2015",13.33
"07-05-2015",13.28
"14-05-2015",13.27
"21-05-2015",13.25
"28-05-2015",13.24
"04-06-2015",13.24
"11-06-2015",13.24
"18-06-2015",13.23
"25-06-2015",13.2
"02-07-2015",13.19
"09-07-2015",13.16
"16-07-2015",13.14
"23-07-2015",13.14
"30-07-2015",13.15
"06-08-2015",13.12
"13-08-2015",13.12
"20-08-2015",13.13
"27-08-2015",13.13
"03-09-2015",13.14
"10-09-2015",13.15
"17-09-2015",13.16
"24-09-2015",13.17
"01-10-2015",13.14
"08-10-2015",13.15
"15-10-2015",13.14
"22-10-2015",13.16
"29-10-2015",13.16
"05-11-2015",13.15
"12-11-2015",13.16
"19-11-2015",13.17
"26-11-2015",13.15
"03-12-2015",13.14
"10-12-2015",13.1
"17-12-2015",13.12
"24-12-2015",13.01
"31-12-2015",13.1
"07-01-2016",13.11
"14-01-2016",13.12
"21-01-2016",13.12
"28-01-2016",13.11
"04-02-2016",13.1
"11-02-2016",13.1
"18-02-2016",13.12
"25-02-2016",13.12
"03-03-2016",13.11
"10-03-2016",13.12
"17-03-2016",13.13
"24-03-2016",13.15
"31-03-2016",13.15
"07-04-2016",13.15
"14-04-2016",13.17
"21-04-2016",13.18
"28-04-2016",13.17
"05-05-2016",13.17
"12-05-2016",13.18
"19-05-2016",13.18
"26-05-2016",13.19
"02-06-2016",13.18
"09-06-2016",13.18
"16-06-2016",13.19
"23-06-2016",13.19
"30-06-2016",13.18
"07-07-2016",13.18
"14-07-2016",13.17
"21-07-2016",13.15
"28-07-2016",13.15
"04-08-2016",13.13
"11-08-2016",13.14
"18-08-2016",13.15
"25-08-2016",13.14
"01-09-2016",13.16
"08-09-2016",13.17
"15-09-2016",13.17
"22-09-2016",13.17
"29-09-2016",13.16
"06-10-2016",13.16
"13-10-2016",13.16
"20-10-2016",13.16
"27-10-2016",13.14
"03-11-2016",13.13
"10-11-2016",13.13
"17-11-2016",13.12
"24-11-2016",13.11
"01-12-2016",13.11
"08-12-2016",13.1
"15-12-2016",13.1
"22-12-2016",13.08
"29-12-2016",13.07
"05-01-2017",13.08
"12-01-2017",13.09
"19-01-2017",13.1
"26-01-2017",13.08
"02-02-2017",13.08
"09-02-2017",13.09
"16-02-2017",13.09
"23-02-2017",13.09
"02-03-2017",13.09
"09-03-2017",13.14
"16-03-2017",13.15
"23-03-2017",13.15
"30-03-2017",13.12
"06-04-2017",13.11
"13-04-2017",13.14
"20-04-2017",13.14
"27-04-2017",13.12
"04-05-2017",13.07
"11-05-2017",13.08
"18-05-2017",13.09
"25-05-2017",13.08
"01-06-2017",13.08
"08-06-2017",13.09
"15-06-2017",13.1
"22-06-2017",13.11
"29-06-2017",13.09
"06-07-2017",13.1
"13-07-2017",13.11
"20-07-2017",13.1
"27-07-2017",13.1
"03-08-2017",13.09
"10-08-2017",13.09
"17-08-2017",13.1
"24-08-2017",13.11
"31-08-2017",13.1
"07-09-2017",13.1
"14-09-2017",13.11
"21-09-2017",13.11
"28-09-2017",13.09
"05-10-2017",13.11
"12-10-2017",13.11
"19-10-2017",13.11
"26-10-2017",13.11
"02-11-2017",13.09
"09-11-2017",13.1
"16-11-2017",13.1
"23-11-2017",13.09
"30-11-2017",13.08
"07-12-2017",13.09
"14-12-2017",13.08
"21-12-2017",13.05
"28-12-2017",13.04
"04-01-2018",13.09
"11-01-2018",13.1
"18-01-2018",13.1
"25-01-2018",13.11
"01-02-2018",13.07
"08-02-2018",13.08
"15-02-2018",13.09
"22-02-2018",13.08
"01-03-2018",13.02
"08-03-2018",13.07
"15-03-2018",13.07
"22-03-2018",13.05
"29-03-2018",13.04
"05-04-2018",13.06
"12-04-2018",13.05
"19-04-2018",13.05
"26-04-2018",13.05
"03-05-2018",13.06
"10-05-2018",13.06
"17-05-2018",13.03
"24-05-2018",13.03
"31-05-2018",13.02
"07-06-2018",13.03
"14-06-2018",13.01
"21-06-2018",13.01
"28-06-2018",12.98
"05-07-2018",12.99
"12-07-2018",12.99
"19-07-2018",12.99
"26-07-2018",12.99
"02-08-2018",12.97
"09-08-2018",12.98
"16-08-2018",12.98
"23-08-2018",12.97
"30-08-2018",12.95
"06-09-2018",12.94
"13-09-2018",12.94
"20-09-2018",12.92
"27-09-2018",12.9
"04-10-2018",12.9
"11-10-2018",12.89
"18-10-2018",12.88
"25-10-2018",12.88
"01-11-2018",12.86
"08-11-2018",12.86
"15-11-2018",12.87
"22-11-2018",12.85
"29-11-2018",12.84
"06-12-2018",12.84
"13-12-2018",12.79
"20-12-2018",12.78
"27-12-2018",12.75
"03-01-2019",12.78
"10-01-2019",12.79
"17-01-2019",12.8
"24-01-2019",12.8
"31-01-2019",12.77
"07-02-2019",12.77
"14-02-2019",12.79
"21-02-2019",12.81
"28-02-2019",12.8
"07-03-2019",12.81
"14-03-2019",12.83
"21-03-2019",12.84
"28-03-2019",12.82
"04-04-2019",12.83
"11-04-2019",12.83
"18-04-2019",12.84
"25-04-2019",12.78
"02-05-2019",12.77
"09-05-2019",12.78
"16-05-2019",12.78
"23-05-2019",12.78
"30-05-2019",12.76
"06-06-2019",12.76
"13-06-2019",12.78
"20-06-2019",12.79
"27-06-2019",12.77
"04-07-2019",12.79
"11-07-2019",12.79
"18-07-2019",12.86
"25-07-2019",12.8
"01-08-2019",12.8
"08-08-2019",12.81
"15-08-2019",12.81
"22-08-2019",12.83
"29-08-2019",12.82
"05-09-2019",12.82
"12-09-2019",12.82
"19-09-2019",12.83
"26-09-2019",12.81
"03-10-2019",12.75
"10-10-2019",12.75
"17-10-2019",12.75
"24-10-2019",12.75
"31-10-2019",12.72
"07-11-2019",12.72
"14-11-2019",12.71
"21-11-2019",12.72
"28-11-2019",12.69
"05-12-2019",12.68
"12-12-2019",12.65
"19-12-2019",12.65
"26-12-2019",12.66
"02-01-2020",12.69
"09-01-2020",12.69
"16-01-2020",12.69
"23-01-2020",12.7
"30-01-2020",12.68
"06-02-2020",12.69
"13-02-2020",12.71
"20-02-2020",12.71
"27-02-2020",12.71
"05-03-2020",12.71
"12-03-2020",12.72
"19-03-2020",12.7
"26-03-2020",12.67
"02-04-2020",12.65
"09-04-2020",12.67
"16-04-2020",12.68
"23-04-2020",12.7
"30-04-2020",12.65
"07-05-2020",12.66
"14-05-2020",12.69
"21-05-2020",12.7
"28-05-2020",12.68
"04-06-2020",12.65
"11-06-2020",12.67
"18-06-2020",12.69
"25-06-2020",12.67
"02-07-2020",12.49
"09-07-2020",12.5
"16-07-2020",12.49
"23-07-2020",12.5
"30-07-2020",12.48
"06-08-2020",12.49
"13-08-2020",12.5
"20-08-2020",12.51
"27-08-2020",12.5
"03-09-2020",12.49
"10-09-2020",12.49
"17-09-2020",12.5
"24-09-2020",12.5
"01-10-2020",12.51
"08-10-2020",12.46
"15-10-2020",12.46
"22-10-2020",12.42
"29-10-2020",12.35
"05-11-2020",12.34
"12-11-2020",12.34
"19-11-2020",12.34
"26-11-2020",12.33
"03-12-2020",12.32
"10-12-2020",12.32
"17-12-2020",12.31
"24-12-2020",12.3
"31-12-2020",12.35
"07-01-2021",12.35
"14-01-2021",12.36
"21-01-2021",12.37
"28-01-2021",12.36
"04-02-2021",12.36
"11-02-2021",12.37
"18-02-2021",12.37
"25-02-2021",12.34
"04-03-2021",12.34
"11-03-2021",12.33
"18-03-2021",12.34
"25-03-2021",12.34
"01-04-2021",12.33
"08-04-2021",12.31
"15-04-2021",12.3
"22-04-2021",12.31
"29-04-2021",12.3
"06-05-2021",12.29
"13-05-2021",12.29
"20-05-2021",12.28
"27-05-2021",12.27
"03-06-2021",12.25
"10-06-2021",12.25
"17-06-2021",12.26
"24-06-2021",12.26
"01-07-2021",12.26
"08-07-2021",12.24
"15-07-2021",12.22
"22-07-2021",12.21
"29-07-2021",12.16
"05-08-2021",12.14
"12-08-2021",12.14
"19-08-2021",12.18
"26-08-2021",12.16
"02-09-2021",12.17
"09-09-2021",12.16
"16-09-2021",12.16
"23-09-2021",12.18
"30-09-2021",12.18
"07-10-2021",12.16
"14-10-2021",12.17
"21-10-2021",12.18
"28-10-2021",12.15
"04-11-2021",12.07
"11-11-2021",12.07
"18-11-2021",12.07
"25-11-2021",12.04
"02-12-2021",12.03
"09-12-2021",12
"16-12-2021",11.95
"23-12-2021",11.93
"31-12-2021",11.93
"06-01-2022",11.95
"13-01-2022",11.95
"20-01-2022",11.94
"27-01-2022",11.94
"03-02-2022",11.93
"10-02-2022",11.94
"17-02-2022",11.94
"24-02-2022",11.94
"03-03-2022",11.95
"10-03-2022",11.94
"17-03-2022",11.95
"24-03-2022",11.95
"31-03-2022",11.97
"07-04-2022",11.97
"14-04-2022",11.97
"21-04-2022",11.96
"28-04-2022",11.94
"05-05-2022",11.94
"12-05-2022",11.94
"19-05-2022",11.97
"26-05-2022",11.96
"02-06-2022",11.97
"09-06-2022",11.99
"16-06-2022",12
"23-06-2022",11.98
"30-06-2022",12
"07-07-2022",11.98
"14-07-2022",12.01
"21-07-2022",12
"28-07-2022",12
"04-08-2022",12.01
"11-08-2022",12.02
"18-08-2022",12.02
"25-08-2022",12.04
"01-09-2022",12.03
"08-09-2022",12.02
"15-09-2022",12.02
"22-09-2022",12.02
"29-09-2022",11.96
"06-10-2022",11.96
"13-10-2022",11.95
"20-10-2022",11.94
"27-10-2022",11.86
"03-11-2022",11.83
"10-11-2022",11.84
"17-11-2022",11.84
"24-11-2022",11.85
"01-12-2022",11.83
"08-12-2022",11.83
"15-12-2022",11.86
"22-12-2022",11.85
"31-12-2022",11.85
"05-01-2023",11.86
"12-01-2023",11.9
"19-01-2023",11.92
"26-01-2023",11.91
"02-02-2023",11.92
"09-02-2023",11.96
"16-02-2023",11.97
"23-02-2023",11.96
"02-03-2023",11.95
"09-03-2023",11.96
"16-03-2023",11.97
"23-03-2023",11.96
"30-03-2023",11.96
"06-04-2023",11.97
"13-04-2023",11.97
"20-04-2023",11.98
"27-04-2023",11.95
"04-05-2023",11.98
"11-05-2023",11.99
"18-05-2023",12.01
"25-05-2023",12.01
"01-06-2023",12.03
"08-06-2023",12.05
"15-06-2023",12.05
"22-06-2023",12.04
"29-06-2023",12.01
"06-07-2023",12.01
"13-07-2023",12.03
"20-07-2023",12.03
"27-07-2023",12.01
"03-08-2023",12
"10-08-2023",11.99
"17-08-2023",12
"24-08-2023",11.99
"31-08-2023",11.99
"07-09-2023",11.98
"14-09-2023",11.99
"21-09-2023",11.99
"28-09-2023",11.98
"05-10-2023",11.96
"12-10-2023",11.96
"19-10-2023",11.94
"26-10-2023",12.03
"02-11-2023",11.94
"09-11-2023",11.94
"16-11-2023",11.94
"23-11-2023",11.93
"30-11-2023",11.94
"07-12-2023",12.18
"14-12-2023",12.2
"21-12-2023",12.18
"31-12-2023",12.12
"04-01-2024",12.16
"11-01-2024",12.17
"18-01-2024",12.22
"25-01-2024",12.22
"01-02-2024",12.22
"08-02-2024",12.23
"15-02-2024",12.24
"22-02-2024",12.26
"29-02-2024",12.28
"07-03-2024",12.27
"14-03-2024",12.27
"21-03-2024",12.26
"28-03-2024",12.24
"04-04-2024",12.25
"11-04-2024",12.26
"18-04-2024",12.28
"25-04-2024",12.27
"02-05-2024",12.28
"09-05-2024",12.29
"16-05-2024",12.32
"23-05-2024",12.35
"30-05-2024",12.33
"06-06-2024",12.34
"13-06-2024",12.36
"20-06-2024",12.37
"27-06-2024",12.37
"04-07-2024",12.39
"11-07-2024",12.38
"18-07-2024",12.4
"25-07-2024",12.42
"01-08-2024",12.42
"08-08-2024",12.43
"15-08-2024",12.45
"22-08-2024",12.46
"29-08-2024",12.48
"05-09-2024",12.5
"12-09-2024",12.52
"19-09-2024",12.53
"26-09-2024",12.54
"03-10-2024",12.56
"10-10-2024",12.6
"17-10-2024",12.63
"24-10-2024",12.63
"31-10-2024",12.63
"07-11-2024",12.64
