"Fecha","Valor"
"31-01-2013",91.08
"28-02-2013",92.35
"31-03-2013",96.83
"30-04-2013",102.06
"31-05-2013",99.46
"30-06-2013",96.02
"31-07-2013",100.38
"31-08-2013",98.38
"30-09-2013",94.85
"31-10-2013",105.74
"30-11-2013",107.62
"31-12-2013",115.23
"31-01-2014",99.11
"28-02-2014",97.58
"31-03-2014",103.75
"30-04-2014",105.84
"31-05-2014",102.86
"30-06-2014",98.97
"31-07-2014",104.83
"31-08-2014",101.52
"30-09-2014",98.76
"31-10-2014",109.19
"30-11-2014",112.21
"31-12-2014",120.92
"31-01-2015",106.45
"28-02-2015",102.62
"31-03-2015",111.46
"30-04-2015",110.78
"31-05-2015",108.35
"30-06-2015",106.54
"31-07-2015",113.71
"31-08-2015",109.5
"30-09-2015",103.09
"31-10-2015",107.86
"30-11-2015",108.93
"31-12-2015",119.46
"31-01-2016",103.73
"29-02-2016",101.45
"31-03-2016",104.16
"30-04-2016",111.64
"31-05-2016",105.55
"30-06-2016",100.66
"31-07-2016",104.91
"31-08-2016",104.05
"30-09-2016",100.61
"31-10-2016",108.51
"30-11-2016",113.95
"31-12-2016",128.4
"31-01-2017",107.83
"28-02-2017",109.05
"31-03-2017",114.63
"30-04-2017",117.07
"31-05-2017",110.78
"30-06-2017",106.16
"31-07-2017",110.42
"31-08-2017",108.21
"30-09-2017",103.63
"31-10-2017",113.91
"30-11-2017",117.21
"31-12-2017",128.56
"31-01-2018",109.15
"28-02-2018",110.62
"31-03-2018",115.58
"30-04-2018",119.47
"31-05-2018",115.86
"30-06-2018",113.16
"31-07-2018",119.71
"31-08-2018",118.21
"30-09-2018",114.06
"31-10-2018",126.49
"30-11-2018",129.4
"31-12-2018",136.98
"31-01-2019",115.26
"28-02-2019",116.7
"31-03-2019",119.85
"30-04-2019",125.46
"31-05-2019",122.13
"30-06-2019",118.08
"31-07-2019",124.37
"31-08-2019",120.95
"30-09-2019",117.49
"31-10-2019",128.63
"30-11-2019",132.13
"31-12-2019",139.26
"31-01-2020",118.88
"29-02-2020",117.96
"31-03-2020",116.78
"30-04-2020",117.67
"31-05-2020",111.37
"30-06-2020",107.83
"31-07-2020",115.61
"31-08-2020",114.44
"30-09-2020",113.16
"31-10-2020",126.53
"30-11-2020",130.28
"31-12-2020",142.98
"31-01-2021",120.9
"28-02-2021",122.85
"31-03-2021",126.56
"30-04-2021",129.23
"31-05-2021",125.46
"30-06-2021",122.21
"31-07-2021",130.86
"31-08-2021",128.46
"30-09-2021",125.73
"31-10-2021",137.92
"30-11-2021",142.08
"31-12-2021",151.58
"31-01-2022",127.39
"28-02-2022",127.6
"31-03-2022",131.71
"30-04-2022",135.29
"31-05-2022",131.49
"30-06-2022",127.11
"31-07-2022",132.7
"31-08-2022",131.45
"30-09-2022",127.84
"31-10-2022",141.67
"30-11-2022",145.77
"31-12-2022",155.35
"31-01-2023",131.69
"28-02-2023",133.74
"31-03-2023",136.59
"30-04-2023",139.84
"31-05-2023",139.42
"30-06-2023",137.71
"31-07-2023",143.13
"31-08-2023",140.33
"30-09-2023",134.35
"31-10-2023",139.9
"30-11-2023",145.05
"31-12-2023",160.7
"31-01-2024",138.01
"29-02-2024",139.49
"31-03-2024",141.32
"30-04-2024",145.69
"31-05-2024",145.99
"30-06-2024",140.27
