"Fecha","Valor"
"31-01-2013",95.11
"28-02-2013",98.38
"31-03-2013",100.38
"30-04-2013",99.37
"31-05-2013",99.76
"30-06-2013",100.24
"31-07-2013",100.19
"31-08-2013",100.25
"30-09-2013",101.58
"31-10-2013",101.36
"30-11-2013",101.5
"31-12-2013",101.88
"31-01-2014",98.28
"28-02-2014",101.15
"31-03-2014",102.66
"30-04-2014",103.79
"31-05-2014",104.14
"30-06-2014",104.3
"31-07-2014",104
"31-08-2014",104.17
"30-09-2014",104.75
"31-10-2014",105.3
"30-11-2014",105.49
"31-12-2014",107.38
"31-01-2015",104.15
"28-02-2015",107.23
"31-03-2015",107.63
"30-04-2015",107.63
"31-05-2015",107.9
"30-06-2015",108.3
"31-07-2015",108.64
"31-08-2015",109.13
"30-09-2015",109.4
"31-10-2015",108.57
"30-11-2015",108.54
"31-12-2015",108.63
"31-01-2016",106.73
"29-02-2016",109.53
"31-03-2016",110.88
"30-04-2016",108.87
"31-05-2016",109.51
"30-06-2016",109.7
"31-07-2016",109.6
"31-08-2016",109.49
"30-09-2016",110.43
"31-10-2016",110.77
"30-11-2016",111.73
"31-12-2016",112.83
"31-01-2017",109.75
"28-02-2017",114.25
"31-03-2017",114.71
"30-04-2017",113.64
"31-05-2017",113.04
"30-06-2017",113.31
"31-07-2017",113.94
"31-08-2017",114.03
"30-09-2017",113.55
"31-10-2017",113.07
"30-11-2017",113.43
"31-12-2017",116.04
"31-01-2018",112.83
"28-02-2018",118.26
"31-03-2018",120.1
"30-04-2018",119.68
"31-05-2018",119.04
"30-06-2018",118.85
"31-07-2018",119.05
"31-08-2018",118.87
"30-09-2018",119.15
"31-10-2018",118.26
"30-11-2018",119.16
"31-12-2018",119.86
"31-01-2019",116.54
"28-02-2019",119.9
"31-03-2019",121.51
"30-04-2019",121.4
"31-05-2019",122.33
"30-06-2019",123
"31-07-2019",123.21
"31-08-2019",123.72
"30-09-2019",123.76
"31-10-2019",122.75
"30-11-2019",122.81
"31-12-2019",123.61
"31-01-2020",121.92
"29-02-2020",124.69
"31-03-2020",124.97
"30-04-2020",123.32
"31-05-2020",123.11
"30-06-2020",123.27
"31-07-2020",123.52
"31-08-2020",123.31
"30-09-2020",123.4
"31-10-2020",122.83
"30-11-2020",123.19
"31-12-2020",124.08
"31-01-2021",121.75
"28-02-2021",124.61
"31-03-2021",125.74
"30-04-2021",125.74
"31-05-2021",125.71
"30-06-2021",126.05
"31-07-2021",126.58
"31-08-2021",127.56
"30-09-2021",127.57
"31-10-2021",126.49
"30-11-2021",126.98
"31-12-2021",127.61
"31-01-2022",125.74
"28-02-2022",128.49
"31-03-2022",129.08
"30-04-2022",130.16
"31-05-2022",130.85
"30-06-2022",131.17
"31-07-2022",131.57
"31-08-2022",131.8
"30-09-2022",131.73
"31-10-2022",129.69
"30-11-2022",130.03
"31-12-2022",130.55
"31-01-2023",129.15
"28-02-2023",133.58
"31-03-2023",134.21
"30-04-2023",134.57
"31-05-2023",134.5
"30-06-2023",134.99
"31-07-2023",135.16
"31-08-2023",135.09
"30-09-2023",135.12
"31-10-2023",133.21
"30-11-2023",133.37
"31-12-2023",133.57
"31-01-2024",132.38
"29-02-2024",133.81
"31-03-2024",134.58
"30-04-2024",136
"31-05-2024",136.16
"30-06-2024",136.03
