"Fecha","Valor"
"31-01-2013",106.21
"28-02-2013",107.71
"31-03-2013",114.24
"30-04-2013",106.35
"31-05-2013",99.3
"30-06-2013",91.64
"31-07-2013",92.17
"31-08-2013",95.25
"30-09-2013",91.4
"31-10-2013",91.26
"30-11-2013",98.21
"31-12-2013",106.26
"31-01-2014",107.32
"28-02-2014",108.48
"31-03-2014",117.03
"30-04-2014",106.51
"31-05-2014",101.56
"30-06-2014",93.34
"31-07-2014",95.08
"31-08-2014",95.44
"30-09-2014",94.14
"31-10-2014",93.4
"30-11-2014",98.93
"31-12-2014",108.02
"31-01-2015",109.37
"28-02-2015",110.38
"31-03-2015",119.21
"30-04-2015",107.65
"31-05-2015",102.28
"30-06-2015",96.01
"31-07-2015",97.24
"31-08-2015",98.91
"30-09-2015",98.09
"31-10-2015",97.6
"30-11-2015",104.15
"31-12-2015",110.39
"31-01-2016",111.15
"29-02-2016",112.65
"31-03-2016",120.14
"30-04-2016",111.21
"31-05-2016",104.87
"30-06-2016",99.53
"31-07-2016",99.15
"31-08-2016",104.37
"30-09-2016",100.18
"31-10-2016",97.5
"30-11-2016",107.5
"31-12-2016",112.93
"31-01-2017",115.19
"28-02-2017",119.23
"31-03-2017",125.3
"30-04-2017",112.53
"31-05-2017",107.46
"30-06-2017",103.44
"31-07-2017",103.49
"31-08-2017",106.77
"30-09-2017",103.91
"31-10-2017",101.75
"30-11-2017",109.69
"31-12-2017",114.78
"31-01-2018",116.89
"28-02-2018",122.88
"31-03-2018",129.26
"30-04-2018",116.65
"31-05-2018",112.31
"30-06-2018",106.94
"31-07-2018",105.89
"31-08-2018",110.69
"30-09-2018",105.77
"31-10-2018",103.97
"30-11-2018",109.88
"31-12-2018",115.62
"31-01-2019",121
"28-02-2019",126
"31-03-2019",132.26
"30-04-2019",117.22
"31-05-2019",112.78
"30-06-2019",107.71
"31-07-2019",109.33
"31-08-2019",112.26
"30-09-2019",106.44
"31-10-2019",104.65
"30-11-2019",111.51
"31-12-2019",118.63
"31-01-2020",121.96
"29-02-2020",127.39
"31-03-2020",130.98
"30-04-2020",113.83
"31-05-2020",110.25
"30-06-2020",105.38
"31-07-2020",109.41
"31-08-2020",112
"30-09-2020",108.4
"31-10-2020",105.73
"30-11-2020",112.34
"31-12-2020",120.87
"31-01-2021",125.68
"28-02-2021",130.04
"31-03-2021",136.06
"30-04-2021",121.9
"31-05-2021",114.97
"30-06-2021",112.39
"31-07-2021",113.02
"31-08-2021",116.73
"30-09-2021",113.01
"31-10-2021",107.96
"30-11-2021",119.24
"31-12-2021",126.08
"31-01-2022",129.59
"28-02-2022",136.86
"31-03-2022",141.22
"30-04-2022",127.65
"31-05-2022",121.03
"30-06-2022",116.56
"31-07-2022",115.71
"31-08-2022",119.78
"30-09-2022",114.44
"31-10-2022",108.89
"30-11-2022",119.57
"31-12-2022",126.09
"31-01-2023",131.93
"28-02-2023",142.86
"31-03-2023",146.34
"30-04-2023",131.43
"31-05-2023",123.67
"30-06-2023",120.08
"31-07-2023",119.58
"31-08-2023",121.73
"30-09-2023",116.59
"31-10-2023",110.84
"30-11-2023",118.89
"31-12-2023",125.88
"31-01-2024",132.91
"29-02-2024",140.46
"31-03-2024",144.62
"30-04-2024",130.63
"31-05-2024",121.86
"30-06-2024",118.84
