"Fecha","Valor"
"31-01-2013",98.11
"28-02-2013",98.12
"31-03-2013",100.42
"30-04-2013",101.48
"31-05-2013",99.43
"30-06-2013",97.33
"31-07-2013",98.19
"31-08-2013",99.62
"30-09-2013",100.37
"31-10-2013",101.09
"30-11-2013",102.6
"31-12-2013",103.23
"31-01-2014",101.49
"28-02-2014",100.11
"31-03-2014",102.19
"30-04-2014",103.54
"31-05-2014",101.85
"30-06-2014",100.17
"31-07-2014",101.62
"31-08-2014",103.16
"30-09-2014",103.84
"31-10-2014",105.52
"30-11-2014",108.88
"31-12-2014",110.4
"31-01-2015",106.29
"28-02-2015",103.43
"31-03-2015",105.73
"30-04-2015",106.52
"31-05-2015",104.85
"30-06-2015",105.55
"31-07-2015",108.29
"31-08-2015",109.48
"30-09-2015",109.53
"31-10-2015",110.27
"30-11-2015",111.45
"31-12-2015",110.98
"31-01-2016",107.1
"29-02-2016",105.6
"31-03-2016",108.67
"30-04-2016",111.13
"31-05-2016",109.96
"30-06-2016",107.91
"31-07-2016",107.89
"31-08-2016",109.97
"30-09-2016",111.39
"31-10-2016",113.14
"30-11-2016",117.54
"31-12-2016",119.63
"31-01-2017",114.58
"28-02-2017",111.26
"31-03-2017",112.68
"30-04-2017",112.66
"31-05-2017",110.69
"30-06-2017",109.84
"31-07-2017",111.59
"31-08-2017",113.94
"30-09-2017",114.86
"31-10-2017",116.98
"30-11-2017",120.61
"31-12-2017",121.83
"31-01-2018",117.53
"28-02-2018",114.01
"31-03-2018",115.01
"30-04-2018",116.62
"31-05-2018",116
"30-06-2018",114.96
"31-07-2018",115.62
"31-08-2018",116.64
"30-09-2018",117.18
"31-10-2018",119.81
"30-11-2018",122.46
"31-12-2018",122.46
"31-01-2019",120.19
"28-02-2019",119.11
"31-03-2019",120.62
"30-04-2019",121.33
"31-05-2019",119.56
"30-06-2019",117.81
"31-07-2019",119.02
"31-08-2019",121.02
"30-09-2019",122.04
"31-10-2019",125.02
"30-11-2019",128.05
"31-12-2019",128.13
"31-01-2020",125.59
"29-02-2020",123.21
"31-03-2020",118.74
"30-04-2020",112.79
"31-05-2020",108.95
"30-06-2020",111.43
"31-07-2020",117.15
"31-08-2020",122.85
"30-09-2020",127.05
"31-10-2020",130.62
"30-11-2020",134.31
"31-12-2020",135.95
"31-01-2021",132.03
"28-02-2021",129.11
"31-03-2021",129.07
"30-04-2021",131.63
"31-05-2021",130.37
"30-06-2021",129.23
"31-07-2021",130.93
"31-08-2021",132.54
"30-09-2021",133.32
"31-10-2021",135.58
"30-11-2021",139.56
"31-12-2021",141.07
"31-01-2022",135.84
"28-02-2022",133.2
"31-03-2022",134.49
"30-04-2022",137.37
"31-05-2022",135.8
"30-06-2022",134.37
"31-07-2022",135.55
"31-08-2022",137.53
"30-09-2022",137.45
"31-10-2022",138.49
"30-11-2022",141.73
"31-12-2022",143.49
"31-01-2023",139.36
"28-02-2023",137.26
"31-03-2023",136.79
"30-04-2023",139.52
"31-05-2023",140.47
"30-06-2023",141.71
"31-07-2023",143.09
"31-08-2023",143.91
"30-09-2023",142.52
"31-10-2023",142.14
"30-11-2023",145.44
"31-12-2023",147.72
"31-01-2024",146.21
"29-02-2024",145.34
"31-03-2024",143.03
"30-04-2024",148.25
"31-05-2024",148.31
"30-06-2024",147.04
