"Fecha","Valor"
"31-01-2013",93.53
"28-02-2013",93.64
"31-03-2013",92.29
"30-04-2013",102.92
"31-05-2013",95.74
"30-06-2013",100.91
"31-07-2013",99.47
"31-08-2013",98.6
"30-09-2013",95.76
"31-10-2013",107.57
"30-11-2013",101.41
"31-12-2013",118.16
"31-01-2014",99.61
"28-02-2014",93.83
"31-03-2014",98.7
"30-04-2014",104.27
"31-05-2014",99.59
"30-06-2014",100.1
"31-07-2014",103.48
"31-08-2014",96.93
"30-09-2014",97.67
"31-10-2014",99.6
"30-11-2014",100.04
"31-12-2014",121.96
"31-01-2015",97.39
"28-02-2015",98.47
"31-03-2015",102.9
"30-04-2015",99.01
"31-05-2015",101.87
"30-06-2015",106.48
"31-07-2015",111.52
"31-08-2015",109.82
"30-09-2015",107.43
"31-10-2015",109.3
"30-11-2015",111.09
"31-12-2015",130.71
"31-01-2016",109.4
"29-02-2016",104.2
"31-03-2016",105.83
"30-04-2016",108.88
"31-05-2016",112.12
"30-06-2016",110.18
"31-07-2016",108.54
"31-08-2016",109.72
"30-09-2016",113.37
"31-10-2016",109.13
"30-11-2016",114.6
"31-12-2016",138.08
"31-01-2017",113.52
"28-02-2017",110.26
"31-03-2017",116.9
"30-04-2017",111.13
"31-05-2017",114.55
"30-06-2017",115.06
"31-07-2017",117.33
"31-08-2017",115.49
"30-09-2017",111.74
"31-10-2017",120.04
"30-11-2017",115.38
"31-12-2017",150.73
"31-01-2018",113.13
"28-02-2018",113.67
"31-03-2018",121.4
"30-04-2018",127.21
"31-05-2018",134.91
"30-06-2018",117.49
"31-07-2018",122.18
"31-08-2018",117.3
"30-09-2018",114.27
"31-10-2018",120.22
"30-11-2018",128.72
"31-12-2018",141.84
"31-01-2019",133.17
"28-02-2019",122.04
"31-03-2019",124
"30-04-2019",128.36
"31-05-2019",127.33
"30-06-2019",124.16
"31-07-2019",129.75
"31-08-2019",124.24
"30-09-2019",121.44
"31-10-2019",131.31
"30-11-2019",138.99
"31-12-2019",146.04
"31-01-2020",132.75
"29-02-2020",120.83
"31-03-2020",132.73
"30-04-2020",123.58
"31-05-2020",122.66
"30-06-2020",126.73
"31-07-2020",128.92
"31-08-2020",127.81
"30-09-2020",129.08
"31-10-2020",134.48
"30-11-2020",135.89
"31-12-2020",159.85
"31-01-2021",134.11
"28-02-2021",130.16
"31-03-2021",141.04
"30-04-2021",135.69
"31-05-2021",133.52
"30-06-2021",137.3
"31-07-2021",136.13
"31-08-2021",135.28
"30-09-2021",135.52
"31-10-2021",144.33
"30-11-2021",140.35
"31-12-2021",151.88
"31-01-2022",135.54
"28-02-2022",126.34
"31-03-2022",139.01
"30-04-2022",137.35
"31-05-2022",139.99
"30-06-2022",140.12
"31-07-2022",139.03
"31-08-2022",136.6
"30-09-2022",133.64
"31-10-2022",138.04
"30-11-2022",136.62
"31-12-2022",154.15
"31-01-2023",139.5
"28-02-2023",129.94
"31-03-2023",140.63
"30-04-2023",135.01
"31-05-2023",139.28
"30-06-2023",137.89
"31-07-2023",140.2
"31-08-2023",136.63
"30-09-2023",136.52
"31-10-2023",143.85
"30-11-2023",146.77
"31-12-2023",158.62
"31-01-2024",143.48
"29-02-2024",136.43
"31-03-2024",144.43
"30-04-2024",147.36
"31-05-2024",149.11
"30-06-2024",144.17
