"Fecha","Valor"
"31-01-2013",89
"28-02-2013",92.33
"31-03-2013",89.41
"30-04-2013",100.21
"31-05-2013",105.38
"30-06-2013",101.02
"31-07-2013",99.99
"31-08-2013",103.98
"30-09-2013",100.04
"31-10-2013",104.62
"30-11-2013",108.31
"31-12-2013",105.72
"31-01-2014",98.2
"28-02-2014",103.46
"31-03-2014",100.12
"30-04-2014",105.12
"31-05-2014",109.86
"30-06-2014",106.1
"31-07-2014",106.52
"31-08-2014",111.02
"30-09-2014",106.73
"31-10-2014",112.78
"30-11-2014",117.88
"31-12-2014",111.62
"31-01-2015",104.56
"28-02-2015",107.8
"31-03-2015",102.88
"30-04-2015",102.54
"31-05-2015",106.73
"30-06-2015",103.3
"31-07-2015",102.59
"31-08-2015",107.29
"30-09-2015",104.79
"31-10-2015",120.32
"30-11-2015",127.1
"31-12-2015",119.79
"31-01-2016",100.8
"29-02-2016",103.68
"31-03-2016",100.42
"30-04-2016",103.96
"31-05-2016",108.78
"30-06-2016",103.74
"31-07-2016",106.4
"31-08-2016",110.61
"30-09-2016",106.84
"31-10-2016",117.55
"30-11-2016",124.31
"31-12-2016",118.76
"31-01-2017",107.14
"28-02-2017",108.44
"31-03-2017",103.98
"30-04-2017",106.3
"31-05-2017",111.52
"30-06-2017",107.86
"31-07-2017",115.82
"31-08-2017",121.79
"30-09-2017",114.87
"31-10-2017",114.63
"30-11-2017",118.66
"31-12-2017",114.59
"31-01-2018",103.07
"28-02-2018",108.93
"31-03-2018",105.42
"30-04-2018",110.21
"31-05-2018",120.25
"30-06-2018",119.62
"31-07-2018",123.18
"31-08-2018",127.47
"30-09-2018",118.45
"31-10-2018",127.02
"30-11-2018",129.13
"31-12-2018",123.49
"31-01-2019",107.59
"28-02-2019",121.06
"31-03-2019",114.95
"30-04-2019",130.73
"31-05-2019",138.2
"30-06-2019",130.26
"31-07-2019",133.3
"31-08-2019",133.95
"30-09-2019",136.6
"31-10-2019",128.29
"30-11-2019",137.37
"31-12-2019",143.06
"31-01-2020",120.12
"29-02-2020",119.6
"31-03-2020",115.25
"30-04-2020",119.08
"31-05-2020",130.24
"30-06-2020",118.17
"31-07-2020",131.75
"31-08-2020",135.08
"30-09-2020",128.78
"31-10-2020",127.88
"30-11-2020",134.66
"31-12-2020",137.82
"31-01-2021",125.41
"28-02-2021",138.41
"31-03-2021",137.09
"30-04-2021",136.2
"31-05-2021",145.17
"30-06-2021",136.1
"31-07-2021",146.27
"31-08-2021",144.24
"30-09-2021",137.94
"31-10-2021",139.21
"30-11-2021",151.97
"31-12-2021",144.01
"31-01-2022",134.12
"28-02-2022",139.98
"31-03-2022",143.42
"30-04-2022",137.08
"31-05-2022",149.71
"30-06-2022",140.24
"31-07-2022",152.04
"31-08-2022",159.5
"30-09-2022",154.16
"31-10-2022",157.36
"30-11-2022",173.87
"31-12-2022",166.77
"31-01-2023",139.83
"28-02-2023",159.72
"31-03-2023",158.56
"30-04-2023",155.18
"31-05-2023",158.8
"30-06-2023",154.88
"31-07-2023",166.39
"31-08-2023",158.61
"30-09-2023",151.59
"31-10-2023",152.11
"30-11-2023",159.7
"31-12-2023",155.76
"31-01-2024",153.76
"29-02-2024",148.14
"31-03-2024",150.39
"30-04-2024",140.05
"31-05-2024",157.75
"30-06-2024",153.91
