"Fecha","Valor"
"31-01-2013",96.25
"28-02-2013",90.35
"31-03-2013",93.54
"30-04-2013",91.43
"31-05-2013",90.99
"30-06-2013",92.33
"31-07-2013",99.56
"31-08-2013",100.14
"30-09-2013",107.9
"31-10-2013",111.23
"30-11-2013",111.39
"31-12-2013",114.9
"31-01-2014",110.26
"28-02-2014",98.84
"31-03-2014",107.25
"30-04-2014",99.25
"31-05-2014",104.66
"30-06-2014",106.98
"31-07-2014",101.05
"31-08-2014",95.2
"30-09-2014",102.98
"31-10-2014",114.06
"30-11-2014",117.87
"31-12-2014",119.82
"31-01-2015",111.58
"28-02-2015",101.7
"31-03-2015",109.51
"30-04-2015",102.69
"31-05-2015",99.75
"30-06-2015",97.9
"31-07-2015",97.17
"31-08-2015",96.6
"30-09-2015",104.06
"31-10-2015",115.82
"30-11-2015",121.17
"31-12-2015",127.32
"31-01-2016",111.54
"29-02-2016",102.55
"31-03-2016",108.72
"30-04-2016",113.4
"31-05-2016",108.87
"30-06-2016",103.1
"31-07-2016",105.59
"31-08-2016",109.18
"30-09-2016",116.39
"31-10-2016",110.81
"30-11-2016",122.24
"31-12-2016",122.36
"31-01-2017",116.98
"28-02-2017",109.93
"31-03-2017",115.81
"30-04-2017",110.04
"31-05-2017",107.69
"30-06-2017",117.01
"31-07-2017",118.34
"31-08-2017",118.88
"30-09-2017",117.14
"31-10-2017",124
"30-11-2017",125.54
"31-12-2017",125.67
"31-01-2018",125.25
"28-02-2018",123.57
"31-03-2018",125.2
"30-04-2018",116.92
"31-05-2018",112.75
"30-06-2018",121.51
"31-07-2018",117.89
"31-08-2018",116.71
"30-09-2018",116.34
"31-10-2018",122.59
"30-11-2018",123.48
"31-12-2018",128.63
"31-01-2019",125.79
"28-02-2019",120
"31-03-2019",123.93
"30-04-2019",119.88
"31-05-2019",112.87
"30-06-2019",110.03
"31-07-2019",103.82
"31-08-2019",104.97
"30-09-2019",110.31
"31-10-2019",131.84
"30-11-2019",138.01
"31-12-2019",131.26
"31-01-2020",132.92
"29-02-2020",123.4
"31-03-2020",124.39
"30-04-2020",107.46
"31-05-2020",101.51
"30-06-2020",105.86
"31-07-2020",104.06
"31-08-2020",115.14
"30-09-2020",125.35
"31-10-2020",137.04
"30-11-2020",135.33
"31-12-2020",144.2
"31-01-2021",133.53
"28-02-2021",123.51
"31-03-2021",131.35
"30-04-2021",113.74
"31-05-2021",126.82
"30-06-2021",121.84
"31-07-2021",130.7
"31-08-2021",130.75
"30-09-2021",131.02
"31-10-2021",129.17
"30-11-2021",131.31
"31-12-2021",136.56
"31-01-2022",138.1
"28-02-2022",132.88
"31-03-2022",142.42
"30-04-2022",128.24
"31-05-2022",120.93
"30-06-2022",130.24
"31-07-2022",133.24
"31-08-2022",137.41
"30-09-2022",138.42
"31-10-2022",142.39
"30-11-2022",144.3
"31-12-2022",151.05
"31-01-2023",140.98
"28-02-2023",132.73
"31-03-2023",139.9
"30-04-2023",123.18
"31-05-2023",124.17
"30-06-2023",117.14
"31-07-2023",128.56
"31-08-2023",137.08
"30-09-2023",136.55
"31-10-2023",138.46
"30-11-2023",152.53
"31-12-2023",150.61
"31-01-2024",143.24
"29-02-2024",138.18
"31-03-2024",141.24
"30-04-2024",135
"31-05-2024",133.27
"30-06-2024",127.01
