"Fecha","Valor"
"31-01-2013",101.38
"28-02-2013",118.65
"31-03-2013",117.12
"30-04-2013",101.66
"31-05-2013",95.08
"30-06-2013",95.69
"31-07-2013",105.05
"31-08-2013",106.31
"30-09-2013",99.35
"31-10-2013",85.46
"30-11-2013",82.64
"31-12-2013",91.63
"31-01-2014",101.68
"28-02-2014",119.88
"31-03-2014",118.79
"30-04-2014",105.2
"31-05-2014",98.73
"30-06-2014",99.27
"31-07-2014",107.94
"31-08-2014",108.8
"30-09-2014",102.01
"31-10-2014",88.39
"30-11-2014",85.97
"31-12-2014",95.88
"31-01-2015",103.04
"28-02-2015",119.84
"31-03-2015",122.5
"30-04-2015",106.86
"31-05-2015",100.32
"30-06-2015",100.93
"31-07-2015",110.27
"31-08-2015",111.53
"30-09-2015",104.29
"31-10-2015",90.01
"30-11-2015",87.14
"31-12-2015",96.99
"31-01-2016",104.49
"29-02-2016",122.81
"31-03-2016",122.82
"30-04-2016",107.94
"31-05-2016",100.87
"30-06-2016",101.16
"31-07-2016",110.35
"31-08-2016",110.95
"30-09-2016",104.12
"31-10-2016",90.13
"30-11-2016",87.67
"31-12-2016",97.67
"31-01-2017",106.02
"28-02-2017",124.56
"31-03-2017",125.62
"30-04-2017",110
"31-05-2017",102.78
"30-06-2017",102.83
"31-07-2017",111.92
"31-08-2017",112.55
"30-09-2017",104.7
"31-10-2017",89.71
"30-11-2017",86.99
"31-12-2017",97.53
"31-01-2018",109.04
"28-02-2018",127.34
"31-03-2018",128.75
"30-04-2018",112.35
"31-05-2018",104.63
"30-06-2018",104.49
"31-07-2018",113.46
"31-08-2018",113.92
"30-09-2018",105.94
"31-10-2018",90.83
"30-11-2018",88.42
"31-12-2018",99.7
"31-01-2019",111.84
"28-02-2019",128.44
"31-03-2019",130.05
"30-04-2019",113.3
"31-05-2019",105.47
"30-06-2019",105.48
"31-07-2019",114.99
"31-08-2019",115.69
"30-09-2019",107.71
"31-10-2019",92.48
"30-11-2019",89.87
"31-12-2019",100.87
"31-01-2020",109.43
"29-02-2020",124.48
"31-03-2020",110.77
"30-04-2020",92.45
"31-05-2020",89.93
"30-06-2020",95.18
"31-07-2020",109.69
"31-08-2020",113.01
"30-09-2020",107.35
"31-10-2020",105.25
"30-11-2020",112.52
"31-12-2020",110.54
"31-01-2021",98.75
"28-02-2021",111.61
"31-03-2021",128.12
"30-04-2021",112.31
"31-05-2021",104.61
"30-06-2021",104.24
"31-07-2021",114.8
"31-08-2021",115.3
"30-09-2021",108.32
"31-10-2021",105.32
"30-11-2021",113.98
"31-12-2021",111.38
"31-01-2022",101.66
"28-02-2022",114.6
"31-03-2022",133.66
"30-04-2022",116.35
"31-05-2022",108.16
"30-06-2022",107.93
"31-07-2022",119.05
"31-08-2022",119.83
"30-09-2022",112.43
"31-10-2022",109.15
"30-11-2022",117.88
"31-12-2022",115.66
"31-01-2023",104.05
"28-02-2023",120.72
"31-03-2023",140.36
"30-04-2023",121.43
"31-05-2023",112.8
"30-06-2023",112.69
"31-07-2023",122.97
"31-08-2023",123.23
"30-09-2023",115.13
"31-10-2023",111.34
"30-11-2023",120.19
"31-12-2023",117.78
"31-01-2024",111.1
"29-02-2024",125.68
"31-03-2024",143.97
"30-04-2024",124.57
"31-05-2024",116.33
"30-06-2024",116.42
