"Fecha","Valor"
"31-01-2013",110.31
"28-02-2013",95.71
"31-03-2013",101.09
"30-04-2013",96.32
"31-05-2013",92.56
"30-06-2013",106.31
"31-07-2013",98.7
"31-08-2013",94.77
"30-09-2013",103.54
"31-10-2013",92.79
"30-11-2013",107.31
"31-12-2013",100.58
"31-01-2014",114.03
"28-02-2014",96.34
"31-03-2014",112.09
"30-04-2014",97.87
"31-05-2014",102.54
"30-06-2014",104.8
"31-07-2014",102.32
"31-08-2014",101.23
"30-09-2014",104.33
"31-10-2014",104.97
"30-11-2014",108.21
"31-12-2014",106.56
"31-01-2015",117.12
"28-02-2015",107.88
"31-03-2015",117.05
"30-04-2015",107.35
"31-05-2015",106.53
"30-06-2015",118.9
"31-07-2015",108.97
"31-08-2015",108.01
"30-09-2015",117.11
"31-10-2015",111.79
"30-11-2015",120.68
"31-12-2015",123.61
"31-01-2016",125.95
"29-02-2016",113.43
"31-03-2016",124.87
"30-04-2016",116.92
"31-05-2016",116.6
"30-06-2016",123.95
"31-07-2016",116.82
"31-08-2016",114.81
"30-09-2016",131.45
"31-10-2016",120.71
"30-11-2016",132.12
"31-12-2016",129.35
"31-01-2017",139.77
"28-02-2017",121.54
"31-03-2017",124.73
"30-04-2017",126.21
"31-05-2017",123.82
"30-06-2017",123.78
"31-07-2017",125.83
"31-08-2017",122.51
"30-09-2017",126.43
"31-10-2017",125.71
"30-11-2017",127.59
"31-12-2017",140.62
"31-01-2018",147.56
"28-02-2018",127.8
"31-03-2018",129.94
"30-04-2018",131.63
"31-05-2018",134.98
"30-06-2018",130.86
"31-07-2018",135.27
"31-08-2018",129.31
"30-09-2018",133.37
"31-10-2018",132.68
"30-11-2018",141.92
"31-12-2018",144.52
"31-01-2019",149.31
"28-02-2019",136
"31-03-2019",139.43
"30-04-2019",140.66
"31-05-2019",148.22
"30-06-2019",143.42
"31-07-2019",147.35
"31-08-2019",140.98
"30-09-2019",144.7
"31-10-2019",146.37
"30-11-2019",151.49
"31-12-2019",156.18
"31-01-2020",164.84
"29-02-2020",150.43
"31-03-2020",147.93
"30-04-2020",138.32
"31-05-2020",139.62
"30-06-2020",140.29
"31-07-2020",151.29
"31-08-2020",148.81
"30-09-2020",148.59
"31-10-2020",153.33
"30-11-2020",154.64
"31-12-2020",165.95
"31-01-2021",168.49
"28-02-2021",151.67
"31-03-2021",155.61
"30-04-2021",158.64
"31-05-2021",162.29
"30-06-2021",157.18
"31-07-2021",165.4
"31-08-2021",162.56
"30-09-2021",158.62
"31-10-2021",162.24
"30-11-2021",164.2
"31-12-2021",175.88
"31-01-2022",177.67
"28-02-2022",165.14
"31-03-2022",172.64
"30-04-2022",182.61
"31-05-2022",180.78
"30-06-2022",174.59
"31-07-2022",182.55
"31-08-2022",173.93
"30-09-2022",176.48
"31-10-2022",178.16
"30-11-2022",175.17
"31-12-2022",188.54
"31-01-2023",196.22
"28-02-2023",186.85
"31-03-2023",189.8
"30-04-2023",193
"31-05-2023",201.97
"30-06-2023",206.03
"31-07-2023",198.47
"31-08-2023",193.44
"30-09-2023",188.48
"31-10-2023",192.67
"30-11-2023",195.25
"31-12-2023",205.91
"31-01-2024",212.59
"29-02-2024",201.96
"31-03-2024",208.19
"30-04-2024",209.52
"31-05-2024",212.76
"30-06-2024",220.14
