"Fecha","Valor"
"31-01-2013",89.99
"28-02-2013",86.05
"31-03-2013",102.58
"30-04-2013",92.35
"31-05-2013",100.25
"30-06-2013",100.49
"31-07-2013",102.24
"31-08-2013",101.47
"30-09-2013",96.07
"31-10-2013",103.18
"30-11-2013",103.88
"31-12-2013",121.45
"31-01-2014",93.76
"28-02-2014",91.59
"31-03-2014",102.03
"30-04-2014",101.61
"31-05-2014",106.05
"30-06-2014",103.92
"31-07-2014",107.09
"31-08-2014",107.68
"30-09-2014",100.13
"31-10-2014",106.98
"30-11-2014",108.06
"31-12-2014",133.88
"31-01-2015",104.15
"28-02-2015",99.59
"31-03-2015",109.72
"30-04-2015",104.6
"31-05-2015",112.99
"30-06-2015",108.23
"31-07-2015",115.7
"31-08-2015",110.35
"30-09-2015",104.55
"31-10-2015",115.25
"30-11-2015",114.71
"31-12-2015",133.84
"31-01-2016",109.45
"29-02-2016",101.24
"31-03-2016",114.78
"30-04-2016",109.65
"31-05-2016",116.29
"30-06-2016",111.74
"31-07-2016",125.79
"31-08-2016",113.49
"30-09-2016",112.33
"31-10-2016",124.68
"30-11-2016",118.2
"31-12-2016",140.9
"31-01-2017",112.5
"28-02-2017",104.82
"31-03-2017",115.92
"30-04-2017",125.02
"31-05-2017",119.16
"30-06-2017",120.39
"31-07-2017",131.42
"31-08-2017",120.01
"30-09-2017",115.36
"31-10-2017",125.03
"30-11-2017",122.32
"31-12-2017",147.81
"31-01-2018",115.64
"28-02-2018",109.08
"31-03-2018",131.43
"30-04-2018",119.47
"31-05-2018",123.87
"30-06-2018",122.29
"31-07-2018",132.1
"31-08-2018",124.03
"30-09-2018",124.44
"31-10-2018",133.05
"30-11-2018",132.15
"31-12-2018",158.74
"31-01-2019",122.34
"28-02-2019",118.26
"31-03-2019",134.74
"30-04-2019",133.04
"31-05-2019",134.87
"30-06-2019",136.48
"31-07-2019",141.05
"31-08-2019",135.21
"30-09-2019",128.81
"31-10-2019",137.54
"30-11-2019",143.19
"31-12-2019",167.34
"31-01-2020",127.89
"29-02-2020",129.97
"31-03-2020",95.67
"30-04-2020",72.34
"31-05-2020",84.57
"30-06-2020",73.84
"31-07-2020",85.31
"31-08-2020",97.97
"30-09-2020",99.62
"31-10-2020",114.05
"30-11-2020",116.22
"31-12-2020",146.48
"31-01-2021",117.42
"28-02-2021",109.91
"31-03-2021",121.02
"30-04-2021",126.83
"31-05-2021",137.36
"30-06-2021",113.58
"31-07-2021",123.83
"31-08-2021",118.06
"30-09-2021",116.26
"31-10-2021",128.65
"30-11-2021",130.51
"31-12-2021",165.56
"31-01-2022",134.33
"28-02-2022",130.05
"31-03-2022",141.68
"30-04-2022",156.86
"31-05-2022",155.65
"30-06-2022",126.51
"31-07-2022",141.84
"31-08-2022",139.48
"30-09-2022",137.37
"31-10-2022",148.97
"30-11-2022",146.16
"31-12-2022",182.35
"31-01-2023",150.52
"28-02-2023",142.95
"31-03-2023",156.1
"30-04-2023",166.87
"31-05-2023",164.13
"30-06-2023",140.27
"31-07-2023",155.6
"31-08-2023",146.86
"30-09-2023",147.43
"31-10-2023",135.44
"30-11-2023",156.08
"31-12-2023",191.63
"31-01-2024",154.18
"29-02-2024",149.66
"31-03-2024",172.28
"30-04-2024",162.77
"31-05-2024",173.94
"30-06-2024",148.68
