"Fecha","Valor"
"31-01-2013",104.45
"28-02-2013",100.78
"31-03-2013",104.53
"30-04-2013",104.26
"31-05-2013",102.88
"30-06-2013",94.3
"31-07-2013",98.36
"31-08-2013",94.73
"30-09-2013",91.09
"31-10-2013",95.72
"30-11-2013",101.84
"31-12-2013",107.05
"31-01-2014",104.41
"28-02-2014",103.61
"31-03-2014",108.8
"30-04-2014",105.55
"31-05-2014",105.72
"30-06-2014",98.48
"31-07-2014",103.58
"31-08-2014",97.22
"30-09-2014",93.82
"31-10-2014",99.9
"30-11-2014",107.06
"31-12-2014",112.88
"31-01-2015",108.38
"28-02-2015",106.13
"31-03-2015",114.56
"30-04-2015",108.02
"31-05-2015",107.47
"30-06-2015",102.7
"31-07-2015",108.55
"31-08-2015",101.36
"30-09-2015",99.97
"31-10-2015",104.81
"30-11-2015",108.24
"31-12-2015",116.36
"31-01-2016",111.2
"29-02-2016",108.74
"31-03-2016",111.78
"30-04-2016",114.18
"31-05-2016",114.09
"30-06-2016",105.46
"31-07-2016",108.52
"31-08-2016",106.19
"30-09-2016",103.15
"31-10-2016",106.46
"30-11-2016",113.47
"31-12-2016",121.54
"31-01-2017",115.85
"28-02-2017",113.11
"31-03-2017",119.64
"30-04-2017",114.58
"31-05-2017",112.78
"30-06-2017",110.51
"31-07-2017",113.49
"31-08-2017",109.24
"30-09-2017",106.5
"31-10-2017",108.82
"30-11-2017",118.56
"31-12-2017",121.34
"31-01-2018",118.76
"28-02-2018",118.33
"31-03-2018",125.73
"30-04-2018",121.1
"31-05-2018",117.41
"30-06-2018",113.88
"31-07-2018",116.21
"31-08-2018",114.13
"30-09-2018",107.87
"31-10-2018",113.47
"30-11-2018",118.25
"31-12-2018",124.09
"31-01-2019",122.3
"28-02-2019",122.29
"31-03-2019",127.11
"30-04-2019",124.31
"31-05-2019",124.92
"30-06-2019",117.69
"31-07-2019",122.13
"31-08-2019",116.49
"30-09-2019",111.2
"31-10-2019",116.54
"30-11-2019",123.02
"31-12-2019",126.99
"31-01-2020",126.39
"29-02-2020",122.72
"31-03-2020",118.1
"30-04-2020",110.61
"31-05-2020",110.99
"30-06-2020",113.41
"31-07-2020",121.81
"31-08-2020",119.28
"30-09-2020",119.74
"31-10-2020",122.98
"30-11-2020",124.1
"31-12-2020",135.66
"31-01-2021",128.6
"28-02-2021",128.02
"31-03-2021",134.11
"30-04-2021",132.33
"31-05-2021",131.67
"30-06-2021",130.84
"31-07-2021",132.74
"31-08-2021",124.38
"30-09-2021",122.64
"31-10-2021",125.62
"30-11-2021",131.51
"31-12-2021",141.44
"31-01-2022",134.78
"28-02-2022",134.27
"31-03-2022",141.48
"30-04-2022",136.78
"31-05-2022",138.72
"30-06-2022",137.8
"31-07-2022",137.54
"31-08-2022",128.81
"30-09-2022",125.34
"31-10-2022",127.22
"30-11-2022",135.5
"31-12-2022",144.58
"31-01-2023",138.76
"28-02-2023",139.18
"31-03-2023",148.59
"30-04-2023",140.82
"31-05-2023",141.76
"30-06-2023",139.97
"31-07-2023",138.96
"31-08-2023",131.01
"30-09-2023",127.21
"31-10-2023",126.74
"30-11-2023",135.69
"31-12-2023",145.25
"31-01-2024",141.42
"29-02-2024",139.73
"31-03-2024",147.06
"30-04-2024",149.37
"31-05-2024",148.84
"30-06-2024",141.2
