"Fecha","Valor"
"31-01-2013",97.62
"28-02-2013",97.91
"31-03-2013",99.09
"30-04-2013",99.62
"31-05-2013",99.54
"30-06-2013",99.34
"31-07-2013",100.05
"31-08-2013",100.3
"30-09-2013",100.44
"31-10-2013",101.36
"30-11-2013",101.78
"31-12-2013",102.95
"31-01-2014",101.66
"28-02-2014",101.88
"31-03-2014",103.33
"30-04-2014",103.68
"31-05-2014",104.03
"30-06-2014",103.68
"31-07-2014",104.31
"31-08-2014",104.31
"30-09-2014",104.41
"31-10-2014",105.34
"30-11-2014",105.95
"31-12-2014",107.24
"31-01-2015",106.18
"28-02-2015",106.24
"31-03-2015",107.63
"30-04-2015",107.48
"31-05-2015",107.7
"30-06-2015",107.94
"31-07-2015",108.8
"31-08-2015",108.82
"30-09-2015",108.75
"31-10-2015",109.84
"30-11-2015",110.3
"31-12-2015",111.1
"31-01-2016",109.65
"29-02-2016",109.62
"31-03-2016",110.97
"30-04-2016",111.77
"31-05-2016",112.1
"30-06-2016",111.97
"31-07-2016",112.3
"31-08-2016",112.72
"30-09-2016",112.97
"31-10-2016",114.2
"30-11-2016",115
"31-12-2016",116.63
"31-01-2017",114.63
"28-02-2017",114.13
"31-03-2017",115.41
"30-04-2017",115.77
"31-05-2017",115.9
"30-06-2017",116.05
"31-07-2017",116.79
"31-08-2017",117.19
"30-09-2017",117.23
"31-10-2017",118.58
"30-11-2017",119.14
"31-12-2017",120.53
"31-01-2018",118.8
"28-02-2018",118.52
"31-03-2018",120.07
"30-04-2018",120.69
"31-05-2018",121.12
"30-06-2018",121.08
"31-07-2018",121.71
"31-08-2018",121.92
"30-09-2018",122.11
"31-10-2018",123.85
"30-11-2018",124.55
"31-12-2018",125.46
"31-01-2019",124.3
"28-02-2019",123.93
"31-03-2019",125.15
"30-04-2019",125.71
"31-05-2019",126.44
"30-06-2019",126.59
"31-07-2019",127.23
"31-08-2019",127.2
"30-09-2019",127.63
"31-10-2019",129.09
"30-11-2019",129.82
"31-12-2019",130.38
"31-01-2020",129.44
"29-02-2020",128.53
"31-03-2020",128.43
"30-04-2020",128.23
"31-05-2020",127.89
"30-06-2020",127.9
"31-07-2020",129.13
"31-08-2020",130.04
"30-09-2020",131.21
"31-10-2020",132.92
"30-11-2020",133.73
"31-12-2020",134.92
"31-01-2021",134.18
"28-02-2021",133.76
"31-03-2021",134.73
"30-04-2021",134.8
"31-05-2021",135.02
"30-06-2021",135.32
"31-07-2021",136.53
"31-08-2021",136.93
"30-09-2021",137.72
"31-10-2021",139.69
"30-11-2021",140.77
"31-12-2021",141.89
"31-01-2022",141.2
"28-02-2022",140.6
"31-03-2022",141.36
"30-04-2022",141.85
"31-05-2022",142.42
"30-06-2022",141.8
"31-07-2022",143.08
"31-08-2022",144
"30-09-2022",143.79
"31-10-2022",145.41
"30-11-2022",146.14
"31-12-2022",147.46
"31-01-2023",146.61
"28-02-2023",146.02
"31-03-2023",146.95
"30-04-2023",147.15
"31-05-2023",148.24
"30-06-2023",148.22
"31-07-2023",149.41
"31-08-2023",149.96
"30-09-2023",150.2
"31-10-2023",150.82
"30-11-2023",152.72
"31-12-2023",154.15
"31-01-2024",153.42
"29-02-2024",152.78
"31-03-2024",153.13
"30-04-2024",153.68
"31-05-2024",155.32
"30-06-2024",154.69
