"Fecha","Valor"
"31-01-2013",104.02
"28-02-2013",90.05
"31-03-2013",96.04
"30-04-2013",90.92
"31-05-2013",102.93
"30-06-2013",91.67
"31-07-2013",99.21
"31-08-2013",94.63
"30-09-2013",92.31
"31-10-2013",104.11
"30-11-2013",108.93
"31-12-2013",125.18
"31-01-2014",120.73
"28-02-2014",133.78
"31-03-2014",135.83
"30-04-2014",156.38
"31-05-2014",145.29
"30-06-2014",133.39
"31-07-2014",171.74
"31-08-2014",147.05
"30-09-2014",163.94
"31-10-2014",150.11
"30-11-2014",139.96
"31-12-2014",161.25
"31-01-2015",168.38
"28-02-2015",160.26
"31-03-2015",162.56
"30-04-2015",146.37
"31-05-2015",145.65
"30-06-2015",134.57
"31-07-2015",157.68
"31-08-2015",149.6
"30-09-2015",152.89
"31-10-2015",153.08
"30-11-2015",168.54
"31-12-2015",134.6
"31-01-2016",128.09
"29-02-2016",155.11
"31-03-2016",156.37
"30-04-2016",128.47
"31-05-2016",124.13
"30-06-2016",161.46
"31-07-2016",124.65
"31-08-2016",151.7
"30-09-2016",126.48
"31-10-2016",117.8
"30-11-2016",134.6
"31-12-2016",159
"31-01-2017",151.18
"28-02-2017",132.66
"31-03-2017",143.17
"30-04-2017",116.55
"31-05-2017",178.3
"30-06-2017",83.06
"31-07-2017",60.78
"31-08-2017",65.15
"30-09-2017",63.57
"31-10-2017",62.65
"30-11-2017",59.78
"31-12-2017",62.14
"31-01-2018",64.67
"28-02-2018",63.6
"31-03-2018",64.36
"30-04-2018",69.05
"31-05-2018",72.4
"30-06-2018",67.45
"31-07-2018",71.16
"31-08-2018",69.41
"30-09-2018",68.82
"31-10-2018",65.18
"30-11-2018",71.15
"31-12-2018",64.81
"31-01-2019",64.06
"28-02-2019",65.01
"31-03-2019",65.38
"30-04-2019",68.3
"31-05-2019",80.11
"30-06-2019",65.27
"31-07-2019",76.06
"31-08-2019",74.85
"30-09-2019",71.18
"31-10-2019",72.74
"30-11-2019",73.63
"31-12-2019",62.77
"31-01-2020",72.83
"29-02-2020",66.16
"31-03-2020",62.72
"30-04-2020",61.36
"31-05-2020",65.33
"30-06-2020",58.93
"31-07-2020",70.36
"31-08-2020",75.02
"30-09-2020",72.82
"31-10-2020",77.68
"30-11-2020",69.1
"31-12-2020",72.77
"31-01-2021",65.59
"28-02-2021",70.2
"31-03-2021",76.28
"30-04-2021",79.55
"31-05-2021",75.63
"30-06-2021",74.23
"31-07-2021",80.69
"31-08-2021",78.65
"30-09-2021",72.9
"31-10-2021",75.33
"30-11-2021",75.86
"31-12-2021",71.99
"31-01-2022",72.51
"28-02-2022",73.57
"31-03-2022",72.36
"30-04-2022",64.34
"31-05-2022",67.23
"30-06-2022",70.21
"31-07-2022",73.81
"31-08-2022",74.33
"30-09-2022",66.94
"31-10-2022",75.28
"30-11-2022",74.72
"31-12-2022",74.25
"31-01-2023",66.57
"28-02-2023",65.16
"31-03-2023",72.2
"30-04-2023",64.18
"31-05-2023",64
"30-06-2023",62.64
"31-07-2023",68.39
"31-08-2023",65.58
"30-09-2023",62.2
"31-10-2023",49.26
"30-11-2023",61.81
"31-12-2023",57.41
"31-01-2024",62.17
"29-02-2024",55.78
"31-03-2024",57.65
"30-04-2024",59.26
"31-05-2024",63.3
"30-06-2024",61.49
