"Fecha","Valor"
"31-01-2013",95.65
"28-02-2013",93.31
"31-03-2013",95.78
"30-04-2013",102.09
"31-05-2013",100.53
"30-06-2013",95.94
"31-07-2013",103.3
"31-08-2013",103.41
"30-09-2013",105.63
"31-10-2013",106.61
"30-11-2013",101.07
"31-12-2013",96.66
"31-01-2014",97.37
"28-02-2014",97.35
"31-03-2014",104.63
"30-04-2014",102.14
"31-05-2014",113.11
"30-06-2014",104.36
"31-07-2014",102.94
"31-08-2014",102.89
"30-09-2014",103.26
"31-10-2014",104.37
"30-11-2014",105.18
"31-12-2014",100.68
"31-01-2015",99.43
"28-02-2015",103.78
"31-03-2015",108.57
"30-04-2015",109.53
"31-05-2015",107.26
"30-06-2015",110.2
"31-07-2015",114.21
"31-08-2015",110.79
"30-09-2015",105.33
"31-10-2015",108.32
"30-11-2015",106.13
"31-12-2015",104.95
"31-01-2016",104.69
"29-02-2016",104.33
"31-03-2016",111.3
"30-04-2016",113.15
"31-05-2016",113.45
"30-06-2016",113.65
"31-07-2016",111.73
"31-08-2016",115.23
"30-09-2016",109.85
"31-10-2016",111.48
"30-11-2016",112.22
"31-12-2016",109.27
"31-01-2017",113.56
"28-02-2017",111.01
"31-03-2017",121.16
"30-04-2017",116.06
"31-05-2017",118.16
"30-06-2017",116.35
"31-07-2017",115.99
"31-08-2017",115.76
"30-09-2017",111.55
"31-10-2017",115.6
"30-11-2017",110.88
"31-12-2017",108.93
"31-01-2018",117.36
"28-02-2018",114.15
"31-03-2018",120.13
"30-04-2018",120.84
"31-05-2018",118.84
"30-06-2018",116.01
"31-07-2018",119.9
"31-08-2018",120.44
"30-09-2018",113.45
"31-10-2018",118.17
"30-11-2018",115.43
"31-12-2018",113.7
"31-01-2019",119.49
"28-02-2019",115.49
"31-03-2019",120.9
"30-04-2019",118.37
"31-05-2019",121.34
"30-06-2019",119.29
"31-07-2019",119.52
"31-08-2019",119.49
"30-09-2019",120.28
"31-10-2019",123.51
"30-11-2019",125.26
"31-12-2019",125.39
"31-01-2020",122.33
"29-02-2020",117.43
"31-03-2020",103.26
"30-04-2020",87.79
"31-05-2020",91.61
"30-06-2020",93.9
"31-07-2020",99.3
"31-08-2020",104.74
"30-09-2020",108.27
"31-10-2020",118.05
"30-11-2020",119.4
"31-12-2020",123.01
"31-01-2021",112.24
"28-02-2021",109.95
"31-03-2021",113.97
"30-04-2021",104.64
"31-05-2021",111.39
"30-06-2021",106.7
"31-07-2021",112.12
"31-08-2021",111.74
"30-09-2021",117.74
"31-10-2021",126.86
"30-11-2021",127.46
"31-12-2021",130.3
"31-01-2022",116.99
"28-02-2022",112.44
"31-03-2022",119.46
"30-04-2022",112.72
"31-05-2022",118.34
"30-06-2022",113.29
"31-07-2022",117.58
"31-08-2022",116.8
"30-09-2022",122.29
"31-10-2022",130.11
"30-11-2022",133.38
"31-12-2022",135.39
"31-01-2023",122.12
"28-02-2023",116.61
"31-03-2023",122.8
"30-04-2023",119.02
"31-05-2023",123
"30-06-2023",119.72
"31-07-2023",120.78
"31-08-2023",121.68
"30-09-2023",124.99
"31-10-2023",131.22
"30-11-2023",137.99
"31-12-2023",136.52
"31-01-2024",125.81
"29-02-2024",119.29
"31-03-2024",124.87
"30-04-2024",121.74
"31-05-2024",127.11
"30-06-2024",123.07
