"Fecha","Valor"
"31-01-2013",91.55
"28-02-2013",93.52
"31-03-2013",95.37
"30-04-2013",96.4
"31-05-2013",103.31
"30-06-2013",98.68
"31-07-2013",105.46
"31-08-2013",109.79
"30-09-2013",99.35
"31-10-2013",99.49
"30-11-2013",104.31
"31-12-2013",102.76
"31-01-2014",100.33
"28-02-2014",105.56
"31-03-2014",106.61
"30-04-2014",108.07
"31-05-2014",108.34
"30-06-2014",104.07
"31-07-2014",115.62
"31-08-2014",109.88
"30-09-2014",109.7
"31-10-2014",115.75
"30-11-2014",112.68
"31-12-2014",114.38
"31-01-2015",112.51
"28-02-2015",111.57
"31-03-2015",115.45
"30-04-2015",110.59
"31-05-2015",114.59
"30-06-2015",113.36
"31-07-2015",124.03
"31-08-2015",118.52
"30-09-2015",114.99
"31-10-2015",110.8
"30-11-2015",123.25
"31-12-2015",120.74
"31-01-2016",113.25
"29-02-2016",119.62
"31-03-2016",120.84
"30-04-2016",121.41
"31-05-2016",119
"30-06-2016",123.03
"31-07-2016",131.11
"31-08-2016",129.25
"30-09-2016",122.31
"31-10-2016",123.26
"30-11-2016",121.77
"31-12-2016",124.08
"31-01-2017",120.19
"28-02-2017",121.87
"31-03-2017",126.68
"30-04-2017",120.36
"31-05-2017",132.57
"30-06-2017",126.08
"31-07-2017",128.75
"31-08-2017",130.65
"30-09-2017",125.78
"31-10-2017",128.64
"30-11-2017",125
"31-12-2017",138.84
"31-01-2018",128.4
"28-02-2018",127.2
"31-03-2018",134.09
"30-04-2018",134.06
"31-05-2018",133.48
"30-06-2018",141.57
"31-07-2018",137.89
"31-08-2018",135.89
"30-09-2018",128.66
"31-10-2018",137.14
"30-11-2018",133.53
"31-12-2018",133.99
"31-01-2019",124.25
"28-02-2019",131.17
"31-03-2019",137.94
"30-04-2019",131.41
"31-05-2019",141.63
"30-06-2019",138.74
"31-07-2019",144.48
"31-08-2019",143.33
"30-09-2019",140.12
"31-10-2019",143.37
"30-11-2019",140.82
"31-12-2019",141.67
"31-01-2020",140.23
"29-02-2020",133.83
"31-03-2020",128.35
"30-04-2020",110.75
"31-05-2020",117.22
"30-06-2020",127.07
"31-07-2020",139.06
"31-08-2020",141.62
"30-09-2020",146.01
"31-10-2020",154.8
"30-11-2020",153.08
"31-12-2020",161.15
"31-01-2021",154.6
"28-02-2021",147.12
"31-03-2021",152.07
"30-04-2021",151.11
"31-05-2021",161.72
"30-06-2021",166.21
"31-07-2021",175.79
"31-08-2021",178.88
"30-09-2021",171.97
"31-10-2021",167.02
"30-11-2021",162.9
"31-12-2021",169.21
"31-01-2022",164.22
"28-02-2022",159.58
"31-03-2022",162.3
"30-04-2022",153.96
"31-05-2022",163.13
"30-06-2022",171.5
"31-07-2022",165.76
"31-08-2022",171.04
"30-09-2022",166.53
"31-10-2022",163.51
"30-11-2022",166.48
"31-12-2022",167.28
"31-01-2023",154.5
"28-02-2023",155.36
"31-03-2023",160.51
"30-04-2023",160.97
"31-05-2023",167.82
"30-06-2023",171.84
"31-07-2023",169.07
"31-08-2023",178.03
"30-09-2023",176.1
"31-10-2023",162.14
"30-11-2023",168.66
"31-12-2023",174.88
"31-01-2024",166.79
"29-02-2024",170.27
"31-03-2024",167.81
"30-04-2024",174.67
"31-05-2024",180.34
"30-06-2024",178.63
