"Fecha","Valor"
"31-01-2013",96.98
"28-02-2013",100.22
"31-03-2013",105.59
"30-04-2013",103.47
"31-05-2013",98.1
"30-06-2013",91.74
"31-07-2013",94.24
"31-08-2013",89.83
"30-09-2013",93.16
"31-10-2013",97.06
"30-11-2013",106.99
"31-12-2013",122.63
"31-01-2014",101.21
"28-02-2014",102.15
"31-03-2014",112.59
"30-04-2014",105.73
"31-05-2014",106.84
"30-06-2014",100.11
"31-07-2014",102.31
"31-08-2014",96.49
"30-09-2014",101.87
"31-10-2014",104.38
"30-11-2014",111.88
"31-12-2014",120.87
"31-01-2015",112.59
"28-02-2015",111.91
"31-03-2015",120.18
"30-04-2015",112.65
"31-05-2015",111.5
"30-06-2015",106.53
"31-07-2015",106.74
"31-08-2015",103.74
"30-09-2015",105.09
"31-10-2015",108.84
"30-11-2015",116.59
"31-12-2015",123.79
"31-01-2016",113.14
"29-02-2016",111.19
"31-03-2016",115.74
"30-04-2016",115.23
"31-05-2016",110.29
"30-06-2016",104.98
"31-07-2016",104.38
"31-08-2016",103.61
"30-09-2016",106.28
"31-10-2016",111.78
"30-11-2016",115.54
"31-12-2016",132.85
"31-01-2017",113.19
"28-02-2017",113.57
"31-03-2017",120.44
"30-04-2017",115.17
"31-05-2017",112.21
"30-06-2017",108.66
"31-07-2017",107.58
"31-08-2017",106.48
"30-09-2017",109.32
"31-10-2017",115.21
"30-11-2017",123.4
"31-12-2017",134.74
"31-01-2018",116.19
"28-02-2018",115.96
"31-03-2018",123.08
"30-04-2018",121.8
"31-05-2018",119.03
"30-06-2018",115.44
"31-07-2018",113.83
"31-08-2018",110.4
"30-09-2018",112.42
"31-10-2018",116.96
"30-11-2018",124.86
"31-12-2018",137.75
"31-01-2019",119.74
"28-02-2019",121.7
"31-03-2019",129.09
"30-04-2019",121.83
"31-05-2019",120.11
"30-06-2019",119.54
"31-07-2019",120.24
"31-08-2019",110.08
"30-09-2019",120.89
"31-10-2019",123.11
"30-11-2019",132.75
"31-12-2019",134.69
"31-01-2020",125.45
"29-02-2020",121
"31-03-2020",116.91
"30-04-2020",119.55
"31-05-2020",106.2
"30-06-2020",100.46
"31-07-2020",116.79
"31-08-2020",104.85
"30-09-2020",110.36
"31-10-2020",130.7
"30-11-2020",129.67
"31-12-2020",151.08
"31-01-2021",125.42
"28-02-2021",123.52
"31-03-2021",138.11
"30-04-2021",131.18
"31-05-2021",136.74
"30-06-2021",123.92
"31-07-2021",138.76
"31-08-2021",121.26
"30-09-2021",123.5
"31-10-2021",134.61
"30-11-2021",147.36
"31-12-2021",153.5
"31-01-2022",141.34
"28-02-2022",144.81
"31-03-2022",140.83
"30-04-2022",144.67
"31-05-2022",148.77
"30-06-2022",130.35
"31-07-2022",139.75
"31-08-2022",147.3
"30-09-2022",136.57
"31-10-2022",149.64
"30-11-2022",154.55
"31-12-2022",158.58
"31-01-2023",145.67
"28-02-2023",146.51
"31-03-2023",146.35
"30-04-2023",139.72
"31-05-2023",147.01
"30-06-2023",136.06
"31-07-2023",148.53
"31-08-2023",148.13
"30-09-2023",145.88
"31-10-2023",151.62
"30-11-2023",160.73
"31-12-2023",167.63
"31-01-2024",149.05
"29-02-2024",156.47
"31-03-2024",147.3
"30-04-2024",149.25
"31-05-2024",155.4
"30-06-2024",140.77
