"Fecha","Valor"
"31-01-2013",99.31
"28-02-2013",98.13
"31-03-2013",98.04
"30-04-2013",99.05
"31-05-2013",98.76
"30-06-2013",97.34
"31-07-2013",97.82
"31-08-2013",98.88
"30-09-2013",100.68
"31-10-2013",103.29
"30-11-2013",104.27
"31-12-2013",104.43
"31-01-2014",103.11
"28-02-2014",100.76
"31-03-2014",99.92
"30-04-2014",100.48
"31-05-2014",100.17
"30-06-2014",100.31
"31-07-2014",102.3
"31-08-2014",102.68
"30-09-2014",102.34
"31-10-2014",105.72
"30-11-2014",111.46
"31-12-2014",114.56
"31-01-2015",110.7
"28-02-2015",107.98
"31-03-2015",109.38
"30-04-2015",109.35
"31-05-2015",108.49
"30-06-2015",109.74
"31-07-2015",112.45
"31-08-2015",112.33
"30-09-2015",110.57
"31-10-2015",109.75
"30-11-2015",111.36
"31-12-2015",113.22
"31-01-2016",113.29
"29-02-2016",112.73
"31-03-2016",114.84
"30-04-2016",115.19
"31-05-2016",113.6
"30-06-2016",110.81
"31-07-2016",110.17
"31-08-2016",112.27
"30-09-2016",114.33
"31-10-2016",114.4
"30-11-2016",116.69
"31-12-2016",120.26
"31-01-2017",119.41
"28-02-2017",116.42
"31-03-2017",117.85
"30-04-2017",118.12
"31-05-2017",116.26
"30-06-2017",116.18
"31-07-2017",117.37
"31-08-2017",117.19
"30-09-2017",116.71
"31-10-2017",119.02
"30-11-2017",124.31
"31-12-2017",129.44
"31-01-2018",127.1
"28-02-2018",122.5
"31-03-2018",123.11
"30-04-2018",124.55
"31-05-2018",124.18
"30-06-2018",123.56
"31-07-2018",124
"31-08-2018",123.7
"30-09-2018",123.28
"31-10-2018",126.95
"30-11-2018",132.12
"31-12-2018",134.2
"31-01-2019",132.61
"28-02-2019",131.18
"31-03-2019",133.94
"30-04-2019",136.38
"31-05-2019",134.54
"30-06-2019",132.01
"31-07-2019",132.58
"31-08-2019",132.58
"30-09-2019",132.67
"31-10-2019",137.11
"30-11-2019",142.78
"31-12-2019",144.31
"31-01-2020",142.19
"29-02-2020",137.04
"31-03-2020",127.96
"30-04-2020",116.49
"31-05-2020",110.44
"30-06-2020",112.35
"31-07-2020",119.31
"31-08-2020",125.96
"30-09-2020",131.61
"31-10-2020",136.26
"30-11-2020",143.42
"31-12-2020",148.82
"31-01-2021",146.54
"28-02-2021",142.19
"31-03-2021",142.74
"30-04-2021",140.74
"31-05-2021",137.33
"30-06-2021",137.01
"31-07-2021",139.3
"31-08-2021",141.38
"30-09-2021",143.52
"31-10-2021",148.26
"30-11-2021",155
"31-12-2021",157.34
"31-01-2022",148.64
"28-02-2022",142.67
"31-03-2022",145.84
"30-04-2022",141.36
"31-05-2022",144.57
"30-06-2022",134.34
"31-07-2022",138.79
"31-08-2022",145.34
"30-09-2022",145.05
"31-10-2022",151.08
"30-11-2022",154.28
"31-12-2022",158.38
"31-01-2023",157.01
"28-02-2023",155.54
"31-03-2023",153.19
"30-04-2023",154.44
"31-05-2023",159.48
"30-06-2023",155.93
"31-07-2023",164.01
"31-08-2023",161.56
"30-09-2023",159.76
"31-10-2023",160.68
"30-11-2023",167.99
"31-12-2023",170.41
"31-01-2024",168.9
"29-02-2024",165.56
"31-03-2024",161.86
"30-04-2024",166.74
"31-05-2024",172.77
"30-06-2024",162.69
