"Fecha","Valor"
"31-01-2013",98.37
"28-02-2013",98.61
"31-03-2013",102.23
"30-04-2013",103.34
"31-05-2013",100.34
"30-06-2013",95.6
"31-07-2013",95.92
"31-08-2013",96.06
"30-09-2013",97.31
"31-10-2013",99.79
"30-11-2013",103.29
"31-12-2013",109.13
"31-01-2014",101.63
"28-02-2014",102.62
"31-03-2014",105.9
"30-04-2014",107.08
"31-05-2014",105.77
"30-06-2014",100.09
"31-07-2014",102.1
"31-08-2014",102.37
"30-09-2014",102.81
"31-10-2014",106.2
"30-11-2014",107.99
"31-12-2014",115.43
"31-01-2015",104.52
"28-02-2015",104.58
"31-03-2015",108.68
"30-04-2015",108.61
"31-05-2015",106.59
"30-06-2015",105.19
"31-07-2015",107.76
"31-08-2015",107.5
"30-09-2015",109.56
"31-10-2015",115.29
"30-11-2015",119.25
"31-12-2015",123.56
"31-01-2016",107.24
"29-02-2016",105.54
"31-03-2016",107.86
"30-04-2016",112.15
"31-05-2016",113.49
"30-06-2016",108.96
"31-07-2016",108.12
"31-08-2016",111.16
"30-09-2016",112.82
"31-10-2016",114.83
"30-11-2016",119.39
"31-12-2016",127.7
"31-01-2017",116.98
"28-02-2017",113.09
"31-03-2017",116.56
"30-04-2017",116.6
"31-05-2017",114.44
"30-06-2017",112.12
"31-07-2017",111.45
"31-08-2017",113.23
"30-09-2017",112.22
"31-10-2017",115.63
"30-11-2017",118.54
"31-12-2017",125.2
"31-01-2018",117
"28-02-2018",116.88
"31-03-2018",120.58
"30-04-2018",120.64
"31-05-2018",119.47
"30-06-2018",115.9
"31-07-2018",116.36
"31-08-2018",116.79
"30-09-2018",118.02
"31-10-2018",121.12
"30-11-2018",125.27
"31-12-2018",128.34
"31-01-2019",122.29
"28-02-2019",120.93
"31-03-2019",123.61
"30-04-2019",122.24
"31-05-2019",122.95
"30-06-2019",118.85
"31-07-2019",119.77
"31-08-2019",120.17
"30-09-2019",122.85
"31-10-2019",124.47
"30-11-2019",127.15
"31-12-2019",132.24
"31-01-2020",126.83
"29-02-2020",124.47
"31-03-2020",109.14
"30-04-2020",86.52
"31-05-2020",83.52
"30-06-2020",83.11
"31-07-2020",100.47
"31-08-2020",105.99
"30-09-2020",110.57
"31-10-2020",112.65
"30-11-2020",117.26
"31-12-2020",127.63
"31-01-2021",115.05
"28-02-2021",117.17
"31-03-2021",118.49
"30-04-2021",110.83
"31-05-2021",108.32
"30-06-2021",111.84
"31-07-2021",118.6
"31-08-2021",119.66
"30-09-2021",121.66
"31-10-2021",120.61
"30-11-2021",129.68
"31-12-2021",141.28
"31-01-2022",131.12
"28-02-2022",131.06
"31-03-2022",134.52
"30-04-2022",118.49
"31-05-2022",118.29
"30-06-2022",116.95
"31-07-2022",121.4
"31-08-2022",124.13
"30-09-2022",123.69
"31-10-2022",124.18
"30-11-2022",131.57
"31-12-2022",142.38
"31-01-2023",133.74
"28-02-2023",136.22
"31-03-2023",136.21
"30-04-2023",119.56
"31-05-2023",118.54
"30-06-2023",118.46
"31-07-2023",124.65
"31-08-2023",127.99
"30-09-2023",129.51
"31-10-2023",124.25
"30-11-2023",136.72
"31-12-2023",148.14
"31-01-2024",137.59
"29-02-2024",139.84
"31-03-2024",139.9
"30-04-2024",128.94
"31-05-2024",125.21
"30-06-2024",121.23
